Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14,Volume 
22/01/2013 9:35:00 AM,11.55,11.8,11.53,11.69,,,641400
22/01/2013 9:40:00 AM,11.7,11.75,11.63,11.74,,,166600
22/01/2013 9:45:00 AM,11.74,11.81,11.74,11.77,,,177400
22/01/2013 9:50:00 AM,11.76,11.8,11.71,11.79,,,188700
22/01/2013 9:55:00 AM,11.79,11.8,11.72,11.73,,,111000
22/01/2013 10:00:00 AM,11.73,11.75,11.68,11.73,,,132700
22/01/2013 10:05:00 AM,11.75,11.82,11.73,11.8,,,274000
22/01/2013 10:10:00 AM,11.81,11.81,11.72,11.76,,,132800
22/01/2013 10:15:00 AM,11.76,11.88,11.75,11.86,,,199200
22/01/2013 10:20:00 AM,11.86,11.89,11.86,11.88,,,90700
22/01/2013 10:25:00 AM,11.88,11.89,11.85,11.89,,,61000
22/01/2013 10:30:00 AM,11.88,11.96,11.87,11.96,,,88000
22/01/2013 10:35:00 AM,11.96,12,11.91,11.92,,,189200
22/01/2013 10:40:00 AM,11.92,11.93,11.84,11.84,,61.16954,110500
22/01/2013 10:45:00 AM,11.83,11.86,11.71,11.78,,-29.96523,167800
22/01/2013 10:50:00 AM,11.77,11.78,11.73,11.75,54.41179,-67.32718,41500
22/01/2013 10:55:00 AM,11.74,11.79,11.74,11.76,55.12253,-55.21575,78300
22/01/2013 11:00:00 AM,11.76,11.78,11.75,11.76,55.86357,-54.78268,38600
22/01/2013 11:05:00 AM,11.75,11.81,11.75,11.8,58.79449,-33.93426,57400
22/01/2013 11:10:00 AM,11.8,11.84,11.75,11.76,54.87048,-45.54194,82200
22/01/2013 11:15:00 AM,11.77,11.77,11.7,11.75,53.90191,-88.87619,61200
22/01/2013 11:20:00 AM,11.75,11.78,11.66,11.68,47.57176,-115.1446,104700
22/01/2013 11:25:00 AM,11.68,11.7,11.63,11.66,45.91267,-134.9789,77500
22/01/2013 11:30:00 AM,11.67,11.68,11.64,11.67,46.90966,-123.5287,59700
22/01/2013 11:35:00 AM,11.67,11.68,11.66,11.66,45.99658,-107.2656,20700
22/01/2013 11:40:00 AM,11.67,11.8,11.67,11.78,56.85028,-12.14803,123700
22/01/2013 11:45:00 AM,11.78,11.78,11.66,11.68,48.16321,-54.39613,67300
22/01/2013 11:50:00 AM,11.67,11.69,11.65,11.67,47.38345,-92.7312,36200
22/01/2013 11:55:00 AM,11.66,11.68,11.61,11.63,44.29435,-117.2902,41200
22/01/2013 12:00:00 PM,11.62,11.63,11.56,11.62,43.53028,-142.7372,78200
22/01/2013 12:05:00 PM,11.61,11.61,11.57,11.57,39.83074,-139.2865,47900
22/01/2013 12:10:00 PM,11.57,11.59,11.49,11.52,36.49096,-167.7681,170200
22/01/2013 12:15:00 PM,11.51,11.51,11.35,11.38,29.12653,-229.3235,290300
22/01/2013 12:20:00 PM,11.38,11.39,11.23,11.28,25.21248,-226.8609,249100
22/01/2013 12:25:00 PM,11.28,11.3,11.21,11.24,23.83287,-186.3194,184500
22/01/2013 12:30:00 PM,11.24,11.24,11.08,11.17,21.60487,-167.8233,344300
22/01/2013 12:35:00 PM,11.16,11.2,11.11,11.19,23.79676,-127.7918,109600
22/01/2013 12:40:00 PM,11.18,11.24,11.16,11.23,28.12521,-91.80189,153800
22/01/2013 12:45:00 PM,11.23,11.24,11.18,11.2,26.89149,-79.3117,87100
22/01/2013 12:50:00 PM,11.21,11.3,11.2,11.29,35.96632,-52.08054,106300
22/01/2013 12:55:00 PM,11.28,11.28,11.2,11.22,32.57907,-54.76544,66100
22/01/2013 1:00:00 PM,11.21,11.25,11.21,11.25,35.38757,-46.95041,35900
22/01/2013 1:05:00 PM,11.25,11.28,11.21,11.21,33.39035,-42.94238,69300
22/01/2013 1:10:00 PM,11.23,11.26,11.21,11.24,36.29434,-35.2046,53100
22/01/2013 1:15:00 PM,11.24,11.25,11.2,11.23,35.73506,-36.1943,59500
22/01/2013 1:20:00 PM,11.23,11.23,11.01,11.02,26.50016,-207.8655,275600
22/01/2013 1:25:00 PM,11.04,11.09,11.01,11.08,31.91405,-196.8648,155500
22/01/2013 1:30:00 PM,11.08,11.14,11.08,11.11,34.51148,-102.5413,86400
22/01/2013 1:35:00 PM,11.12,11.21,11.11,11.18,40.24028,-24.62636,93300
22/01/2013 1:40:00 PM,11.19,11.2,11.1,11.12,37.23371,-54.9191,86100
22/01/2013 1:45:00 PM,11.13,11.13,11.05,11.08,35.33812,-101.8514,44400
22/01/2013 1:50:00 PM,11.08,11.12,11.07,11.11,37.89199,-74.18585,53400
22/01/2013 1:55:00 PM,11.11,11.15,11.08,11.14,40.42598,-43.19664,126000
22/01/2013 2:00:00 PM,11.14,11.23,11.14,11.22,46.67396,41.83485,130800
22/01/2013 2:05:00 PM,11.22,11.28,11.21,11.26,49.52444,98.94157,92700
22/01/2013 2:10:00 PM,11.26,11.26,11.14,11.16,43.29382,34.59882,102700
22/01/2013 2:15:00 PM,11.13,11.14,11.1,11.11,40.54702,-40.94637,71100
22/01/2013 2:20:00 PM,11.11,11.15,11.1,11.12,41.34852,-25.54258,37500
22/01/2013 2:25:00 PM,11.13,11.15,11.12,11.14,43.00349,3.710335,18700
22/01/2013 2:30:00 PM,11.15,11.17,11.13,11.14,44.6844,14.44684,40100
22/01/2013 2:35:00 PM,11.13,11.13,11.05,11.06,39.64767,-114.5162,87300
22/01/2013 2:40:00 PM,11.06,11.15,11.06,11.14,46.18071,-46.16413,74300
22/01/2013 2:45:00 PM,11.14,11.15,11.1,11.11,44.24641,-34.79694,41100
22/01/2013 2:50:00 PM,11.12,11.12,11.01,11.01,38.46329,-149.0793,156700
22/01/2013 2:55:00 PM,11.02,11.07,11.01,11.03,40.14816,-150.2822,47100
22/01/2013 3:00:00 PM,11.04,11.11,11.04,11.08,44.25737,-78.73751,121700
22/01/2013 3:05:00 PM,11.06,11.1,11.04,11.07,43.61244,-77.77873,57800
22/01/2013 3:10:00 PM,11.07,11.07,11.04,11.05,42.28531,-88.81925,53700
22/01/2013 3:15:00 PM,11.05,11.1,11.05,11.07,44.11665,-46.62199,35700
22/01/2013 3:20:00 PM,11.08,11.09,11,11.01,40.01449,-109.2703,186800
