Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 20,Volume 
2/1/2013 9:45:00 AM,10.92,10.93,10.69,10.76,,,2853200
2/1/2013 10:00:00 AM,10.76,10.92,10.72,10.81,,,920800
2/1/2013 10:15:00 AM,10.8,10.81,10.46,10.6,,,2325200
2/1/2013 10:30:00 AM,10.59,10.6,10.47,10.59,,,656700
2/1/2013 10:45:00 AM,10.59,10.63,10.51,10.59,,,518400
2/1/2013 11:00:00 AM,10.57,10.61,10.5,10.51,,,343400
2/1/2013 11:15:00 AM,10.5,10.62,10.41,10.6,,,653000
2/1/2013 11:30:00 AM,10.61,10.63,10.5,10.62,,,228800
2/1/2013 11:45:00 AM,10.62,10.63,10.47,10.49,,,319100
2/1/2013 12:00:00 PM,10.48,10.54,10.46,10.5,,,254800
2/1/2013 12:15:00 PM,10.48,10.52,10.37,10.41,,,593400
2/1/2013 12:30:00 PM,10.41,10.45,10.39,10.44,,,351200
2/1/2013 12:45:00 PM,10.43,10.49,10.35,10.46,,,605100
2/1/2013 1:00:00 PM,10.47,10.49,10.41,10.48,,,120400
2/1/2013 1:15:00 PM,10.47,10.5,10.36,10.38,,,364100
2/1/2013 1:30:00 PM,10.38,10.44,10.36,10.4,29.5454,,360300
2/1/2013 1:45:00 PM,10.4,10.42,10.37,10.39,29.18823,,238000
2/1/2013 2:00:00 PM,10.39,10.41,10.36,10.4,30.09827,,142400
2/1/2013 2:15:00 PM,10.39,10.46,10.39,10.46,35.45829,,240600
2/1/2013 2:30:00 PM,10.46,10.49,10.42,10.45,34.9769,-44.44431,321400
2/1/2013 2:45:00 PM,10.45,10.5,10.43,10.48,37.70902,-24.73373,382500
2/1/2013 3:00:00 PM,10.49,10.58,10.47,10.55,43.65789,52.21766,578800
2/1/2013 3:15:00 PM,10.54,10.65,10.52,10.57,45.2662,108.7863,354400
2/1/2013 3:30:00 PM,10.57,10.62,10.52,10.6,47.67892,104.728,235500
2/1/2013 3:45:00 PM,10.59,10.59,10.41,10.42,37.10926,-6.341198,559600
2/1/2013 4:00:00 PM,10.42,10.69,10.4,10.64,51.31501,110.0302,935000
2/4/2013 9:45:00 AM,11.29,11.39,11.11,11.22,70.33769,475.5029,1877800
2/4/2013 10:00:00 AM,11.22,11.36,11.04,11.15,66.93823,296.7447,1078000
2/4/2013 10:15:00 AM,11.15,11.24,11.04,11.13,65.95742,202.9667,773000
2/4/2013 10:30:00 AM,11.14,11.25,11.11,11.21,67.97861,167.3883,435500
2/4/2013 10:45:00 AM,11.22,11.34,11.22,11.3,70.12742,152.4098,635600
2/4/2013 11:00:00 AM,11.31,11.37,11.27,11.35,71.28046,132.5503,617500
2/4/2013 11:15:00 AM,11.35,11.5,11.34,11.45,73.48481,127.6809,885300
2/4/2013 11:30:00 AM,11.46,11.59,11.4,11.59,76.23496,123.5735,508300
2/4/2013 11:45:00 AM,11.59,11.81,11.58,11.77,79.21932,134.0454,1126100
2/4/2013 12:00:00 PM,11.78,11.88,11.62,11.77,81.69486,123.0117,808100
2/4/2013 12:15:00 PM,11.76,11.9,11.7,11.8,82.07806,116.5666,532200
2/4/2013 12:30:00 PM,11.8,12,11.75,11.99,84.31726,122.1569,502000
2/4/2013 12:45:00 PM,12,12,11.82,11.84,76.22066,110.5249,544100
2/4/2013 1:00:00 PM,11.85,11.89,11.82,11.83,75.69877,97.06119,190700
2/4/2013 1:15:00 PM,11.83,11.87,11.66,11.7,69.07721,74.4969,424100
2/4/2013 1:30:00 PM,11.69,11.82,11.68,11.8,71.16656,71.38789,284800
2/4/2013 1:45:00 PM,11.8,11.88,11.76,11.79,70.65245,72.26173,331400
2/4/2013 2:00:00 PM,11.8,11.95,11.8,11.85,71.96122,76.49207,374400
2/4/2013 2:15:00 PM,11.85,11.9,11.74,11.76,67.12558,58.35733,240500
2/4/2013 2:30:00 PM,11.76,11.89,11.75,11.76,62.59572,53.10139,240600
2/4/2013 2:45:00 PM,11.76,11.77,11.58,11.62,56.23806,10.01579,448200
2/4/2013 3:00:00 PM,11.63,11.82,11.61,11.64,56.91136,14.14752,366600
2/4/2013 3:15:00 PM,11.63,11.84,11.6,11.79,61.67395,26.34622,500800
2/4/2013 3:30:00 PM,11.8,11.8,11.63,11.69,57.13961,1.363229,476400
2/4/2013 3:45:00 PM,11.7,12.03,11.7,11.97,64.91726,101.806,1116200
2/4/2013 4:00:00 PM,11.97,12.12,11.93,12.09,67.62846,190.789,1218900
2/5/2013 9:45:00 AM,11.59,11.69,11.44,11.44,46.61453,-182.8195,1478300
2/5/2013 10:00:00 AM,11.44,11.61,11.31,11.31,43.69054,-245.2784,1420100
2/5/2013 10:15:00 AM,11.31,11.38,11.18,11.3,43.46468,-251.637,1265400
2/5/2013 10:30:00 AM,11.29,11.37,11.18,11.32,44.08721,-192.1399,602200
2/5/2013 10:45:00 AM,11.31,11.41,11.12,11.17,40.48634,-173.0889,622300
2/5/2013 11:00:00 AM,11.16,11.25,11.15,11.19,41.1762,-152.6303,409100
2/5/2013 11:15:00 AM,11.18,11.2,11.1,11.12,39.45242,-141.1895,618200
2/5/2013 11:30:00 AM,11.13,11.22,11.11,11.17,41.3414,-114.2227,354800
2/5/2013 11:45:00 AM,11.18,11.24,11.12,11.16,41.06545,-98.36066,388300
2/5/2013 12:00:00 PM,11.16,11.19,11.14,11.16,40.77237,-89.96532,262300
2/5/2013 12:15:00 PM,11.16,11.19,11.01,11.04,37.32946,-98.60947,473800
2/5/2013 12:30:00 PM,11.05,11.1,11.01,11.1,40.05511,-91.97459,311800
2/5/2013 12:45:00 PM,11.11,11.15,11.04,11.13,41.42678,-76.78135,239800
2/5/2013 1:00:00 PM,11.12,11.12,11.05,11.08,39.79245,-76.62843,180800
2/5/2013 1:15:00 PM,11.08,11.09,10.9,10.92,35.02999,-98.04678,668800
2/5/2013 1:30:00 PM,10.92,11,10.87,10.89,34.20341,-105.5263,346200
2/5/2013 1:45:00 PM,10.88,10.91,10.81,10.84,32.81366,-119.5442,332000
2/5/2013 2:00:00 PM,10.84,10.86,10.8,10.85,33.39655,-120.6199,329700
2/5/2013 2:15:00 PM,10.85,10.91,10.83,10.9,36.36899,-108.6876,373400
2/5/2013 2:30:00 PM,10.9,10.9,10.81,10.88,35.683,-113.6985,233500
2/5/2013 2:45:00 PM,10.88,10.9,10.81,10.81,33.31446,-114.0647,174400
2/5/2013 3:00:00 PM,10.81,10.81,10.7,10.72,30.51033,-138.4295,633700
2/5/2013 3:15:00 PM,10.72,10.78,10.72,10.72,27.97454,-122.4491,251700
2/5/2013 3:30:00 PM,10.74,10.89,10.73,10.87,37.32423,-74.68799,468600
2/5/2013 3:45:00 PM,10.86,10.91,10.81,10.9,39.02893,-49.42749,476500
2/5/2013 4:00:00 PM,10.91,11.16,10.89,11.16,51.37318,50.35055,1137700
2/6/2013 9:45:00 AM,11.61,11.66,11.23,11.34,57.7506,193.3048,1997700
2/6/2013 10:00:00 AM,11.35,11.52,11.32,11.39,59.3456,172.1212,674800
2/6/2013 10:15:00 AM,11.39,11.57,11.37,11.45,61.23673,171.2343,707900
2/6/2013 10:30:00 AM,11.45,11.52,11.35,11.47,61.87341,146.624,416600
2/6/2013 10:45:00 AM,11.48,11.63,11.44,11.49,62.53604,146.0404,479000
2/6/2013 11:00:00 AM,11.49,11.56,11.32,11.36,55.75299,99.18221,447100
2/6/2013 11:15:00 AM,11.36,11.36,11.13,11.19,48.36516,43.31623,779800
2/6/2013 11:30:00 AM,11.19,11.21,11.08,11.19,42.32522,23.42276,457500
2/6/2013 11:45:00 AM,11.2,11.29,11.14,11.21,43.22356,34.14914,390900
2/6/2013 12:00:00 PM,11.21,11.21,11.11,11.14,40.8267,15.27987,187700
2/6/2013 12:15:00 PM,11.14,11.17,11.02,11.04,37.61746,-9.101562,372500
2/6/2013 12:30:00 PM,11.03,11.15,11.03,11.13,42.03377,-5.610124,152700
2/6/2013 12:45:00 PM,11.12,11.17,11.06,11.06,39.68081,-11.48304,147100
2/6/2013 1:00:00 PM,11.06,11.35,11.05,11.35,51.73493,32.75389,389400
2/6/2013 1:15:00 PM,11.35,11.47,11.35,11.43,54.43977,80.14758,524200
2/6/2013 1:30:00 PM,11.44,11.53,11.37,11.51,57.03293,90.86556,413500
2/6/2013 1:45:00 PM,11.51,11.59,11.45,11.47,55.33698,94.18924,412600
2/6/2013 2:00:00 PM,11.47,11.54,11.45,11.49,56.04083,82.17979,165700
2/6/2013 2:15:00 PM,11.49,11.53,11.38,11.4,52.06449,53.33332,263800
2/6/2013 2:30:00 PM,11.4,11.46,11.3,11.45,54.01655,33.65417,229900
2/6/2013 2:45:00 PM,11.46,11.48,11.21,11.3,47.73615,0.3280604,494900
2/6/2013 3:00:00 PM,11.3,11.37,11.25,11.25,45.82359,-16.58398,157000
2/6/2013 3:15:00 PM,11.25,11.33,11.18,11.3,48.06446,-22.45034,371900
2/6/2013 3:30:00 PM,11.3,11.33,11.15,11.17,43.07566,-44.98264,333400
2/6/2013 3:45:00 PM,11.17,11.24,11.11,11.11,40.9624,-72.36978,607200
2/6/2013 4:00:00 PM,11.11,11.14,11.01,11.02,37.95457,-114.4519,998400
2/7/2013 9:45:00 AM,10.75,10.92,10.68,10.89,34.06367,-197.9388,1758000
2/7/2013 10:00:00 AM,10.89,11,10.74,10.95,37.26047,-146.2319,893000
2/7/2013 10:15:00 AM,10.93,11.22,10.91,11.21,48.83654,-48.28043,977500
2/7/2013 10:30:00 AM,11.21,11.49,11.03,11.41,55.61996,31.31032,1706400
2/7/2013 10:45:00 AM,11.4,11.59,11.37,11.5,58.29931,96.5556,1687800
2/7/2013 11:00:00 AM,11.49,11.73,11.46,11.48,57.46897,113.7277,1373500
2/7/2013 11:15:00 AM,11.48,11.6,11.39,11.42,54.94094,71.70116,675900
2/7/2013 11:30:00 AM,11.42,11.59,11.39,11.56,59.42595,81.28461,460500
2/7/2013 11:45:00 AM,11.56,11.81,11.55,11.75,64.57886,140.8575,803700
2/7/2013 12:00:00 PM,11.76,11.78,11.62,11.68,61.48092,125.4834,739800
2/7/2013 12:15:00 PM,11.68,11.7,11.47,11.48,53.57323,73.37959,480900
2/7/2013 12:30:00 PM,11.49,11.73,11.48,11.64,58.20463,91.44939,539700
2/7/2013 12:45:00 PM,11.63,11.65,11.43,11.44,51.31379,52.34141,425400
2/7/2013 1:00:00 PM,11.43,11.57,11.4,11.52,53.67626,46.41912,329800
2/7/2013 1:15:00 PM,11.53,11.58,11.44,11.53,53.97686,48.43341,217900
2/7/2013 1:30:00 PM,11.53,11.58,11.34,11.37,48.54811,19.18628,322000
2/7/2013 1:45:00 PM,11.36,11.47,11.3,11.31,46.65322,-4.489791,536000
2/7/2013 2:00:00 PM,11.3,11.37,11.25,11.26,45.07433,-27.99913,368800
2/7/2013 2:15:00 PM,11.26,11.35,11.18,11.24,44.42664,-43.22246,647900
2/7/2013 2:30:00 PM,11.25,11.29,11.2,11.22,43.74966,-56.28096,238100
2/7/2013 2:45:00 PM,11.21,11.4,11.2,11.36,49.54559,-41.59476,467000
2/7/2013 3:00:00 PM,11.36,11.37,11.11,11.14,42.18899,-110.3892,588200
