Timestamp,Open,High,Low,Close,Volume
10/4/2011 0:00,24270,24480,20580,20580,10
10/5/2011 0:00,19746,19890,18138,18138,0
10/6/2011 0:00,18114,18780,17400,17400,50
10/7/2011 0:00,17058,18576,16848,17652,20
10/10/2011 0:00,16548,16560,15594,15594,40
10/11/2011 0:00,15702,15726,14910,15060,20
10/12/2011 0:00,13944,13944,12486,12876,30
10/13/2011 0:00,13320,14022,12966,12966,10
10/14/2011 0:00,11736,12414,11484,11688,20
10/17/2011 0:00,11574,13950,11574,13950,70
10/18/2011 0:00,13848,14772,11910,13020,90
10/19/2011 0:00,12600,14832,12360,14466,50
10/20/2011 0:00,14652,15678,14280,14490,60
10/21/2011 0:00,13524,14010,13020,13020,50
10/24/2011 0:00,12702,12702,11382,11436,80
10/25/2011 0:00,11742,13110,11742,12930,80
10/26/2011 0:00,11898,13746,11772,11904,60
10/27/2011 0:00,9438,9918,8562,8730,240
10/28/2011 0:00,9048,9186,8466,8574,120
10/31/2011 0:00,9384,10398,9234,10398,270
11/1/2011 0:00,13560,14088,12618,13446,510
11/2/2011 0:00,12480,13518,12324,12618,280
11/3/2011 0:00,11886,13416,11322,11430,370
11/4/2011 0:00,12012,12714,11526,11862,170
11/7/2011 0:00,11994,12600,11640,11646,220
11/8/2011 0:00,11328,11964,10500,10548,220
11/9/2011 0:00,12126,14610,11970,14454,690
11/10/2011 0:00,12750,14250,12540,12624,420
11/11/2011 0:00,11688,11706,11280,11574,190
11/14/2011 0:00,11916,12588,11868,12126,120
11/15/2011 0:00,12564,12792,11694,11892,320
11/16/2011 0:00,12636,13206,11760,13044,930
11/17/2011 0:00,13242,14790,13008,14286,550
11/18/2011 0:00,13470,14268,13308,13308,430
11/21/2011 0:00,14724,14766,13476,13638,520
11/22/2011 0:00,13782,14052,12996,13068,300
11/23/2011 0:00,13692,14304,13506,14244,430
11/25/2011 0:00,14340,14712,13788,14610,180
11/28/2011 0:00,12666,13500,12444,13218,330
11/29/2011 0:00,12966,13224,12402,12660,300
11/30/2011 0:00,10956,11142,10362,10416,340
12/1/2011 0:00,10500,10548,9804,9942,130
12/2/2011 0:00,9366,9930,9042,9882,480
12/5/2011 0:00,9072,10062,9048,9852,370
12/6/2011 0:00,9852,9978,9510,9762,370
12/7/2011 0:00,10050,10830,10044,10380,410
12/8/2011 0:00,10956,11496,10800,11340,400
12/9/2011 0:00,11028,11052,9726,9768,300
12/12/2011 0:00,10122,10500,9792,9792,220
12/13/2011 0:00,9402,10098,8988,9714,500
12/14/2011 0:00,9684,10164,9438,9750,500
12/15/2011 0:00,9072,9270,8790,9024,450
12/16/2011 0:00,8430,9144,8430,8922,500
12/19/2011 0:00,8730,8880,8370,8724,450
12/20/2011 0:00,7962,7962,7650,7656,440
12/21/2011 0:00,7506,7728,6624,6648,570
12/22/2011 0:00,6354,6780,6102,6642,320
12/23/2011 0:00,6456,7092,6438,6960,290
12/27/2011 0:00,6900,6948,6696,6882,170
