Timestamp,Open,High,Low,Close,Rsi,Cci
3/11/2020 2:00:00 PM,1834.20,1834.43,1819.00,1826.41,0.00,0.00
3/11/2020 3:00:00 PM,1826.41,1829.36,1804.59,1822.74,0.00,0.00
3/11/2020 4:00:00 PM,1822.74,1836.00,1801.50,1819.63,0.00,0.00
3/12/2020 10:00:00 AM,1713.56,1742.99,1696.63,1740.25,0.00,0.00
3/12/2020 11:00:00 AM,1742.03,1748.59,1709.93,1740.00,0.00,0.00
3/12/2020 12:00:00 PM,1740.00,1740.00,1699.50,1705.77,0.00,0.00
3/12/2020 1:00:00 PM,1705.77,1741.00,1689.25,1730.00,0.00,0.00
3/12/2020 2:00:00 PM,1730.00,1765.00,1699.75,1714.17,0.00,0.00
3/12/2020 3:00:00 PM,1714.17,1720.00,1689.34,1689.57,0.00,0.00
3/12/2020 4:00:00 PM,1689.57,1715.01,1675.00,1676.21,0.00,0.00
3/13/2020 10:00:00 AM,1755.60,1772.00,1709.06,1728.36,0.00,0.00
3/13/2020 11:00:00 AM,1728.72,1767.38,1710.14,1710.14,0.00,0.00
3/13/2020 12:00:00 PM,1710.14,1732.14,1688.21,1698.28,0.00,0.00
3/13/2020 1:00:00 PM,1698.28,1726.73,1680.62,1713.98,0.00,-61.41
3/13/2020 2:00:00 PM,1713.98,1736.97,1709.02,1732.64,0.00,-16.02
3/13/2020 3:00:00 PM,1732.64,1733.00,1701.75,1716.79,33.45,-30.29
3/13/2020 4:00:00 PM,1716.79,1786.31,1695.00,1786.31,45.72,183.71
3/16/2020 10:00:00 AM,1641.51,1700.00,1626.03,1689.00,35.77,-188.53
3/16/2020 11:00:00 AM,1689.00,1712.99,1656.52,1699.43,37.35,-94.32
3/16/2020 12:00:00 PM,1699.43,1759.45,1698.28,1738.98,43.04,64.98
3/16/2020 1:00:00 PM,1738.98,1743.77,1700.00,1709.76,40.14,12.16
3/16/2020 2:00:00 PM,1709.76,1724.82,1705.44,1715.14,40.93,5.20
3/16/2020 3:00:00 PM,1715.14,1740.00,1702.03,1726.81,42.70,30.56
3/16/2020 4:00:00 PM,1726.81,1737.89,1685.02,1689.15,38.68,-55.43
3/17/2020 10:00:00 AM,1775.47,1777.43,1691.61,1719.92,43.37,61.78
3/17/2020 11:00:00 AM,1717.90,1790.78,1689.24,1768.50,49.89,133.71
3/17/2020 12:00:00 PM,1768.50,1825.00,1764.02,1824.49,56.15,247.54
3/17/2020 1:00:00 PM,1824.49,1857.78,1792.00,1800.92,53.14,199.95
3/17/2020 2:00:00 PM,1801.78,1817.70,1771.68,1805.91,53.71,119.64
3/17/2020 3:00:00 PM,1805.91,1832.00,1790.86,1808.00,53.96,114.09
3/17/2020 4:00:00 PM,1808.00,1830.50,1786.00,1807.38,53.87,93.37
3/18/2020 10:00:00 AM,1750.00,1819.00,1745.00,1811.70,54.46,56.77
3/18/2020 11:00:00 AM,1811.70,1841.66,1808.08,1823.02,56.04,93.10
3/18/2020 12:00:00 PM,1823.02,1828.00,1783.42,1825.59,56.42,64.75
3/18/2020 1:00:00 PM,1825.59,1826.34,1777.64,1777.64,48.22,29.24
3/18/2020 2:00:00 PM,1777.64,1798.46,1746.00,1760.26,45.64,-25.90
3/18/2020 3:00:00 PM,1760.26,1821.60,1752.28,1820.30,54.68,27.95
3/18/2020 4:00:00 PM,1820.30,1833.18,1772.00,1830.00,55.96,59.81
3/19/2020 10:00:00 AM,1860.00,1873.23,1832.65,1871.71,61.03,216.73
3/19/2020 11:00:00 AM,1871.71,1922.25,1864.98,1900.69,64.13,271.87
3/19/2020 12:00:00 PM,1900.69,1930.65,1889.91,1906.86,64.77,201.58
3/19/2020 1:00:00 PM,1907.90,1923.91,1890.68,1916.98,65.85,146.52
3/19/2020 2:00:00 PM,1916.98,1931.00,1912.00,1921.22,66.31,126.44
3/19/2020 3:00:00 PM,1921.22,1945.00,1912.84,1939.47,68.31,114.07
3/19/2020 4:00:00 PM,1939.47,1942.98,1876.94,1880.93,56.68,61.73
3/20/2020 10:00:00 AM,1926.31,1957.00,1897.17,1921.51,61.57,81.63
3/20/2020 11:00:00 AM,1921.78,1938.00,1900.00,1918.41,61.00,64.16
3/20/2020 12:00:00 PM,1918.08,1925.00,1884.00,1892.09,56.27,35.05
3/20/2020 1:00:00 PM,1892.09,1895.90,1850.00,1873.74,53.18,-11.40
3/20/2020 2:00:00 PM,1873.74,1889.00,1862.46,1867.00,52.04,-31.21
3/20/2020 3:00:00 PM,1867.00,1879.73,1838.13,1842.75,48.08,-94.73
3/20/2020 4:00:00 PM,1842.75,1853.00,1820.73,1846.09,48.66,-147.63
