Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14,Volume 
6/12/2009 12:00:00 AM,36.53,37.23,36.12,36.65,,,5.888431E+08
6/19/2009 12:00:00 AM,36.28,36.36,35.45,36.16,,,6.241809E+08
6/26/2009 12:00:00 AM,35.8,36.5,34.77,36.37,,,5.56067E+08
7/2/2009 12:00:00 AM,36.44,36.84,35.5,35.6,,,3.90739E+08
7/10/2009 12:00:00 AM,35.38,35.54,34.3,34.92,,,6.150285E+08
7/17/2009 12:00:00 AM,34.95,37.57,34.48,37.56,,,6.283205E+08
7/24/2009 12:00:00 AM,37.75,39.49,37.62,39.36,,,6.108706E+08
7/31/2009 12:00:00 AM,39.29,40.18,38.87,39.45,,,5.086948E+08
8/7/2009 12:00:00 AM,39.85,40.18,39.25,39.88,,,5.544353E+08
8/14/2009 12:00:00 AM,39.73,40.22,39.05,39.63,,,5.607248E+08
8/21/2009 12:00:00 AM,38.97,40.36,38.46,40.29,,,5.000217E+08
8/28/2009 12:00:00 AM,40.36,41.08,39.67,40.44,,,5.352081E+08
9/4/2009 12:00:00 AM,40.16,40.59,39.02,40.36,,,5.036073E+08
9/11/2009 12:00:00 AM,40.65,41.62,40.46,41.52,,104.7232,3.633572E+08
9/18/2009 12:00:00 AM,41.23,42.66,41.21,42.44,,119.2451,4.684606E+08
9/25/2009 12:00:00 AM,42.22,43.17,41.58,41.7,72.8094,110.9792,5.10801E+08
10/2/2009 12:00:00 AM,41.92,42.66,40.72,40.88,67.43034,80.51118,6.494864E+08
10/9/2009 12:00:00 AM,41.09,42.62,40.83,42.48,71.80707,96.80587,4.859863E+08
10/16/2009 12:00:00 AM,42.63,43.29,42.28,42.78,72.55186,121.2372,4.125762E+08
10/23/2009 12:00:00 AM,42.81,43.82,42.59,43.13,73.43365,125.0833,4.86462E+08
10/30/2009 12:00:00 AM,43.17,43.76,40.92,40.96,60.46421,45.8558,6.197388E+08
11/6/2009 12:00:00 AM,41.01,42.65,40.64,42.6,65.43305,43.92545,5.76882E+08
11/13/2009 12:00:00 AM,42.92,44.16,42.88,44.01,69.03618,138.2723,4.39308E+08
11/20/2009 12:00:00 AM,44.19,44.65,43.28,43.44,66.03935,134.4499,4.551759E+08
11/27/2009 12:00:00 AM,43.87,44.4,42.9,43.51,66.23321,107.8419,2.509324E+08
12/4/2009 12:00:00 AM,43.41,44.73,43.11,44.12,67.95013,111.9806,4.456417E+08
12/11/2009 12:00:00 AM,44.08,44.59,43.32,44.13,67.97887,99.64009,3.76057E+08
12/18/2009 12:00:00 AM,44.43,44.7,43.76,44.46,68.96796,105.5524,3.574544E+08
12/24/2009 12:00:00 AM,44.67,45.98,44.67,45.98,73.09093,163.2744,2.395592E+08
12/31/2009 12:00:00 AM,46.08,46.3,45.75,45.75,71.54201,157.7743,1.890369E+08
1/8/2010 12:00:00 AM,46.32,46.55,45.92,46.55,73.63488,160.6857,3.87667E+08
1/15/2010 12:00:00 AM,46.6,46.64,45.53,45.85,68.86271,116.2017,4.979909E+08
1/22/2010 12:00:00 AM,45.96,46.64,44.04,44.16,58.93247,43.53571,6.055982E+08
1/29/2010 12:00:00 AM,44.39,44.89,42.63,42.79,52.34297,-49.61489,8.899453E+08
