Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14,Volume 
9/26/2018 3:00:00 PM,185.1,185.99,185.03,185.42,,,6545200
9/26/2018 4:00:00 PM,185.42,185.59,183.9,184.21,,,1.06664E+07
9/27/2018 10:00:00 AM,185.02,185.78,184.92,185.63,,,4697900
9/27/2018 11:00:00 AM,185.64,186.29,185.63,186.27,,,6116000
9/27/2018 12:00:00 PM,186.27,186.45,185.94,186.28,,,3555400
9/27/2018 1:00:00 PM,186.27,186.49,186.15,186.4,,,3646500
9/27/2018 2:00:00 PM,186.4,186.41,186.24,186.34,,,2505300
9/27/2018 3:00:00 PM,186.34,186.35,185.92,185.97,,,2672200
9/27/2018 4:00:00 PM,185.97,186.09,185.64,185.81,,,6588900
9/28/2018 10:00:00 AM,185.31,185.68,184.97,185.31,,,3899400
9/28/2018 11:00:00 AM,185.31,185.93,185.05,185.81,,,3828400
9/28/2018 12:00:00 PM,185.81,186.28,185.79,185.84,,,2959900
9/28/2018 1:00:00 PM,185.84,186,185.24,185.61,,,2047700
9/28/2018 2:00:00 PM,185.6,185.86,185.41,185.66,,-19.51123,1765900
9/28/2018 3:00:00 PM,185.66,185.69,185.31,185.54,,-43.58294,3276600
9/28/2018 4:00:00 PM,185.54,185.82,185.47,185.79,53.26275,-32.7284,8676300
10/1/2018 10:00:00 AM,186.87,187.46,186.65,187.32,63.78647,224.899,4184000
10/1/2018 11:00:00 AM,187.33,187.53,187.11,187.3,63.58488,187.0124,3487600
10/1/2018 12:00:00 PM,187.31,187.31,186.88,187.05,60.99065,123.4284,2337000
10/1/2018 1:00:00 PM,187.05,187.08,186.42,186.51,55.70393,64.8456,3217100
10/1/2018 2:00:00 PM,186.51,186.77,186.44,186.62,56.53052,52.79829,3486200
10/1/2018 3:00:00 PM,186.63,186.63,186,186.36,53.96719,18.29991,3697900
10/1/2018 4:00:00 PM,186.36,186.42,185.7,186.15,51.91931,-10.98278,5500700
10/2/2018 10:00:00 AM,186.01,186.45,185.32,186.38,53.97913,-23.45337,4704800
10/2/2018 11:00:00 AM,186.38,186.79,185.94,186.57,55.66866,18.18183,4009600
10/2/2018 12:00:00 PM,186.57,187.08,186.42,187.03,59.54121,63.12766,2716800
10/2/2018 1:00:00 PM,187.03,187.18,186.32,186.46,53.32505,31.30092,2799700
10/2/2018 2:00:00 PM,186.45,186.74,186.39,186.45,53.21997,4.919976,1469200
10/2/2018 3:00:00 PM,186.45,186.6,186.03,186.1,49.54381,-57.59163,2202600
10/2/2018 4:00:00 PM,186.1,186.1,185.33,185.75,46.11337,-156.5792,6537000
10/3/2018 10:00:00 AM,186.53,186.84,186.28,186.48,53.36596,5.576036,3823400
10/3/2018 11:00:00 AM,186.5,186.97,186.21,186.31,51.62348,12.20455,4487600
10/3/2018 12:00:00 PM,186.3,186.67,186,186.66,54.88935,11.76059,4177600
10/3/2018 1:00:00 PM,186.66,186.78,186.28,186.56,53.77234,44.4006,1999000
10/3/2018 2:00:00 PM,186.56,186.83,186.42,186.54,53.53764,62.15194,2877000
10/3/2018 3:00:00 PM,186.54,186.72,185.87,186.11,48.62479,-44.96626,4214400
10/3/2018 4:00:00 PM,186.11,186.21,185.66,185.95,46.90014,-120.6565,6207300
10/4/2018 10:00:00 AM,185.2,185.32,183.95,184.3,33.64682,-305.0825,6974600
10/4/2018 11:00:00 AM,184.3,184.3,182.96,183.1,27.54941,-265.4354,1.10644E+07
10/4/2018 12:00:00 PM,183.1,183.56,182.48,182.58,25.40125,-207.845,9115700
10/4/2018 1:00:00 PM,182.59,182.74,181.8,181.98,23.15747,-174.2185,1.13731E+07
10/4/2018 2:00:00 PM,181.98,182.16,181.27,181.45,21.36241,-149.3846,9569000
10/4/2018 3:00:00 PM,181.45,182.33,181.06,182.25,30.16234,-111.2438,1.17165E+07
