Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14,Volume 
1/31/2017 12:00:00 AM,124.38,124.6,123.85,124.57,,,1.90798E+07
2/1/2017 12:00:00 AM,125.45,125.68,124.86,125.43,,,2.28505E+07
2/2/2017 12:00:00 AM,125.21,125.7,124.86,125.32,,,1.50902E+07
2/3/2017 12:00:00 AM,125.45,125.81,125.33,125.68,,,1.6956E+07
2/6/2017 12:00:00 AM,125.47,125.85,125.35,125.83,,,1.16223E+07
2/7/2017 12:00:00 AM,126.09,126.55,125.97,126.29,,,1.75406E+07
2/8/2017 12:00:00 AM,126.12,126.68,125.88,126.5,,,1.2568E+07
2/9/2017 12:00:00 AM,126.63,127.24,126.56,126.96,,,1.75398E+07
2/10/2017 12:00:00 AM,127.24,127.56,127.02,127.38,,,1.39105E+07
2/13/2017 12:00:00 AM,127.77,128.26,127.72,128.1,,,1.91156E+07
2/14/2017 12:00:00 AM,128.15,128.54,127.74,128.53,,,1.63293E+07
2/15/2017 12:00:00 AM,128.44,129.35,128.37,129.29,,,1.78691E+07
2/16/2017 12:00:00 AM,129.36,129.63,128.92,129.25,,,1.50934E+07
2/17/2017 12:00:00 AM,129.09,129.82,129.04,129.81,,124.6978,1.55576E+07
2/21/2017 12:00:00 AM,130.06,130.53,129.99,130.45,,134.8396,1.84741E+07
2/22/2017 12:00:00 AM,130.33,130.59,130.11,130.5,97.59239,116.2045,1.21067E+07
2/23/2017 12:00:00 AM,130.7,130.7,129.49,130.01,89.97153,89.71149,1.74871E+07
2/24/2017 12:00:00 AM,129.42,130.26,129.38,130.26,90.38411,74.65634,1.86219E+07
2/27/2017 12:00:00 AM,130.02,130.43,129.8,130.42,90.64925,77.11891,1.20077E+07
2/28/2017 12:00:00 AM,130.39,130.45,129.66,130.02,84.38498,61.85804,1.65785E+07
3/1/2017 12:00:00 AM,130.85,131.68,130.6,131.44,87.64825,124.2567,2.58108E+07
3/2/2017 12:00:00 AM,131.41,131.43,130.62,130.78,79.34801,98.83068,1.99487E+07
3/3/2017 12:00:00 AM,130.69,131.06,130.34,131.02,80.08652,84.23828,1.37202E+07
3/6/2017 12:00:00 AM,130.56,130.95,130.21,130.73,76.52551,64.06384,1.20154E+07
3/7/2017 12:00:00 AM,130.47,131.08,130.28,130.51,73.84312,54.91774,1.54974E+07
3/8/2017 12:00:00 AM,130.59,131.15,130.46,130.74,74.83624,67.92849,1.57698E+07
3/9/2017 12:00:00 AM,130.71,131.02,130.14,130.84,75.27571,39.93161,2.08531E+07
3/10/2017 12:00:00 AM,131.44,131.6,130.82,131.39,77.59373,135.9207,2.19189E+07
3/13/2017 12:00:00 AM,131.34,131.64,131.27,131.61,78.46352,150.916,1.0729E+07
3/14/2017 12:00:00 AM,131.31,131.36,130.76,131.29,73.96578,73.24317,1.40087E+07
3/15/2017 12:00:00 AM,131.56,132.41,131.14,132.1,77.48409,165.0586,2.27075E+07
3/16/2017 12:00:00 AM,132.35,132.35,131.71,132.01,76.25091,153.655,1.8451E+07
3/17/2017 12:00:00 AM,131.9,132.04,131.62,131.69,71.8717,101.1192,2.12289E+07
3/20/2017 12:00:00 AM,131.65,132.11,131.46,131.81,72.5093,90.43031,1.00995E+07
3/21/2017 12:00:00 AM,132.31,132.43,129.73,129.81,51.53954,-76.52289,3.58322E+07
3/22/2017 12:00:00 AM,129.89,130.82,129.68,130.69,57.38007,-101.4296,2.91674E+07
3/23/2017 12:00:00 AM,130.52,130.88,130.14,130.36,54.71688,-85.17396,2.03068E+07
3/24/2017 12:00:00 AM,130.78,131.29,130.13,130.63,56.49602,-57.06301,2.29671E+07
3/27/2017 12:00:00 AM,129.7,131.07,129.4,130.84,57.882,-85.38524,1.84668E+07
3/28/2017 12:00:00 AM,130.84,132.03,130.55,131.64,62.75076,33.10223,2.37176E+07
3/29/2017 12:00:00 AM,131.73,132.3,131.59,132.25,65.98006,100.0122,1.3688E+07
3/30/2017 12:00:00 AM,132.22,132.61,132.08,132.47,67.08826,117.5272,1.60847E+07
3/31/2017 12:00:00 AM,132.28,132.74,132.13,132.38,66.13913,103.9866,1.98327E+07
4/3/2017 12:00:00 AM,132.49,132.81,131.56,132.3,65.25532,73.32079,2.36768E+07
4/4/2017 12:00:00 AM,131.92,132.53,131.87,132.51,66.51997,75.36161,1.33951E+07
4/5/2017 12:00:00 AM,132.68,133.48,131.72,131.97,60.42881,78.55885,3.1993E+07
4/6/2017 12:00:00 AM,132.12,132.39,131.7,132.04,60.92822,44.33182,1.88149E+07
4/7/2017 12:00:00 AM,131.99,132.37,131.5,131.97,60.11123,34.31011,1.67372E+07
4/10/2017 12:00:00 AM,132.1,132.57,131.66,132.02,60.51854,40.34323,1.56125E+07
4/11/2017 12:00:00 AM,131.86,132.1,130.5,131.45,53.77727,-40.92325,3.37647E+07
4/12/2017 12:00:00 AM,131.43,131.54,130.78,130.92,48.38085,-82.72199,1.59507E+07
4/13/2017 12:00:00 AM,130.74,131.51,130.38,130.4,43.74285,-122.9244,2.368E+07
4/17/2017 12:00:00 AM,130.8,131.5,130.72,131.48,53.6756,-84.00741,1.33223E+07
4/18/2017 12:00:00 AM,131.04,131.66,130.95,131.28,51.84992,-72.51172,1.28357E+07
4/19/2017 12:00:00 AM,131.85,132.29,131.31,131.49,53.63332,-14.37311,1.7741E+07
4/20/2017 12:00:00 AM,132.02,132.88,131.82,132.59,61.64635,85.80801,2.19657E+07
4/21/2017 12:00:00 AM,132.71,132.76,132.22,132.56,61.33504,95.12587,2.2447E+07
4/24/2017 12:00:00 AM,134.03,134.29,133.8,134.16,70.02866,235.3225,2.24617E+07
4/25/2017 12:00:00 AM,134.6,135.37,134.48,135.13,73.86518,232.703,1.93807E+07
4/26/2017 12:00:00 AM,135.18,135.51,134.86,134.94,71.92308,173.1667,2.53969E+07
4/27/2017 12:00:00 AM,135.27,135.75,135.19,135.75,74.94719,147.7582,1.61157E+07
4/28/2017 12:00:00 AM,136.29,136.34,135.77,135.99,75.77962,129.2402,2.27711E+07
5/1/2017 12:00:00 AM,136.44,137.38,136.38,137.2,79.48124,130.8338,2.48109E+07
5/2/2017 12:00:00 AM,137.37,137.49,137.02,137.43,80.10369,117.6664,1.83376E+07
5/3/2017 12:00:00 AM,137.12,137.17,136.62,136.99,75.39192,92.24116,2.38006E+07
5/4/2017 12:00:00 AM,137.01,137.43,136.56,137.04,75.56776,84.28216,1.46268E+07
5/5/2017 12:00:00 AM,137.39,137.54,136.88,137.54,77.31389,87.03283,1.93029E+07
5/8/2017 12:00:00 AM,137.61,137.84,137.33,137.84,78.31528,91.20863,1.32558E+07
5/9/2017 12:00:00 AM,138.05,138.63,137.93,138.32,79.84805,106.9122,2.84106E+07
5/10/2017 12:00:00 AM,138.4,138.45,137.91,138.4,80.10046,96.92814,2.04968E+07
5/11/2017 12:00:00 AM,138.02,138.33,137.38,138.29,78.64161,80.56023,2.72266E+07
5/12/2017 12:00:00 AM,138.35,138.63,138.23,138.6,79.7604,109.1,1.97286E+07
5/15/2017 12:00:00 AM,138.66,139.12,138.53,139.04,81.2607,125.4751,2.04744E+07
5/16/2017 12:00:00 AM,139.4,139.64,138.99,139.62,83.04492,144.2169,2.17093E+07
5/17/2017 12:00:00 AM,138.51,138.77,136.05,136.07,51.02312,-64.07865,5.56354E+07
5/18/2017 12:00:00 AM,136.02,137.72,135.87,137.26,57.00758,-76.84727,4.13114E+07
5/19/2017 12:00:00 AM,137.75,138.42,137.66,137.84,59.59877,15.6605,3.67165E+07
5/22/2017 12:00:00 AM,138.15,139.08,138.1,139,64.24082,80.34087,1.94972E+07
5/23/2017 12:00:00 AM,139.41,139.42,138.78,139.14,64.76698,104.038,1.96845E+07
5/24/2017 12:00:00 AM,139.56,139.85,139.17,139.78,67.14681,132.8381,1.83189E+07
5/25/2017 12:00:00 AM,140.31,141.33,140.01,140.97,71.06092,192.8047,2.39267E+07
5/26/2017 12:00:00 AM,141,141.28,140.81,141.22,71.82049,171.8916,1.38505E+07
5/30/2017 12:00:00 AM,141.15,141.51,141.06,141.34,72.19769,145.3527,2.03056E+07
5/31/2017 12:00:00 AM,141.84,141.84,140.57,141.29,71.76659,114.8352,3.32211E+07
6/1/2017 12:00:00 AM,141.58,141.9,140.98,141.84,73.63163,111.2377,2.01186E+07
6/2/2017 12:00:00 AM,142.34,143.49,142.11,143.46,78.19965,145.6845,3.72174E+07
6/5/2017 12:00:00 AM,143.44,143.68,143.23,143.43,77.93028,132.3394,1.57214E+07
6/6/2017 12:00:00 AM,143.26,143.73,142.65,142.86,72.80159,99.99745,2.23835E+07
6/7/2017 12:00:00 AM,143.26,143.54,142.6,143.42,74.57215,96.23357,1.88341E+07
6/8/2017 12:00:00 AM,143.74,143.8,142.79,143.57,75.04087,97.33608,2.54069E+07
6/9/2017 12:00:00 AM,143.74,143.9,138.11,139.98,50.87238,-40.29517,1.097716E+08
6/12/2017 12:00:00 AM,138.84,139.48,137.47,139.23,47.4352,-140.3442,1.044512E+08
6/13/2017 12:00:00 AM,140.01,140.56,139.28,140.36,52.62848,-78.17297,5.11855E+07
6/14/2017 12:00:00 AM,140.93,140.93,138.62,139.75,49.76991,-95.8432,6.00679E+07
6/15/2017 12:00:00 AM,138.34,139.28,137.49,139.13,46.97701,-134.9074,5.51442E+07
6/16/2017 12:00:00 AM,138.72,138.78,137.64,138.15,42.88083,-126.9294,4.8083E+07
6/19/2017 12:00:00 AM,139.45,140.59,139.28,140.46,53.23241,-39.65239,3.95949E+07
6/20/2017 12:00:00 AM,140.32,140.5,139.31,139.36,48.70583,-48.96856,4.09225E+07
6/21/2017 12:00:00 AM,139.68,140.81,139.59,140.74,53.99153,-20.11592,3.57268E+07
6/22/2017 12:00:00 AM,140.96,141.22,140.34,140.7,53.81838,1.41005,2.40885E+07
6/23/2017 12:00:00 AM,140.54,141.42,140.15,141.24,55.87527,20.99499,2.16437E+07
6/26/2017 12:00:00 AM,142.05,142.29,140.27,140.58,52.78106,39.91139,3.43975E+07
6/27/2017 12:00:00 AM,140.05,140.22,138.02,138.03,42.89697,-92.17964,6.59298E+07
6/28/2017 12:00:00 AM,138.54,140.14,137.74,140.02,50.66192,-42.07029,5.74156E+07
6/29/2017 12:00:00 AM,139.44,139.44,136.25,137.59,42.97678,-138.8032,8.87433E+07
6/30/2017 12:00:00 AM,137.98,138.67,137.19,137.64,43.16783,-118.483,6.88965E+07
7/3/2017 12:00:00 AM,138.27,138.43,136.1,136.19,39.07912,-145.0609,3.27814E+07
7/5/2017 12:00:00 AM,136.62,137.9,136.16,137.53,44.32709,-105.1578,4.2111E+07
7/6/2017 12:00:00 AM,136.48,137.06,135.8,136.29,40.82256,-124.5363,4.84277E+07
7/7/2017 12:00:00 AM,136.75,138.13,136.74,137.76,46.24799,-63.82604,3.69652E+07
7/10/2017 12:00:00 AM,137.84,138.99,137.5,138.66,49.31204,-19.49438,2.48476E+07
7/11/2017 12:00:00 AM,138.46,139.22,137.94,139.05,50.62547,1.477185,3.15166E+07
7/12/2017 12:00:00 AM,140.24,140.86,139.96,140.7,55.83913,92.6237,3.60114E+07
7/13/2017 12:00:00 AM,140.87,141.35,140.6,141.01,56.76289,115.1186,3.10617E+07
7/14/2017 12:00:00 AM,141.57,142.3,141.19,142.12,59.99016,147.5647,3.45373E+07
7/17/2017 12:00:00 AM,142.27,142.69,141.92,142.19,60.19197,150.3027,2.53379E+07
7/18/2017 12:00:00 AM,142.09,143.17,141.64,143.14,62.92493,129.1996,2.57379E+07
7/19/2017 12:00:00 AM,143.56,144.19,143.5,143.98,65.19994,134.9075,3.37499E+07
7/20/2017 12:00:00 AM,144.35,144.44,143.52,144.17,65.71245,115.1773,3.61307E+07
7/21/2017 12:00:00 AM,143.64,144.11,143.35,144.11,65.38499,95.14633,3.96877E+07
7/24/2017 12:00:00 AM,144.07,144.87,143.92,144.77,67.31458,100.3914,2.66977E+07
7/25/2017 12:00:00 AM,144.29,144.74,144.01,144.4,65.12285,85.92419,2.8118E+07
7/26/2017 12:00:00 AM,144.76,144.95,144.53,144.87,66.61003,90.78324,1.86039E+07
7/27/2017 12:00:00 AM,145.82,145.96,142.3,143.96,61.17138,60.17779,8.0655E+07
7/28/2017 12:00:00 AM,143.1,144.08,142.87,143.84,60.47015,33.31316,3.801E+07
7/31/2017 12:00:00 AM,144.25,144.43,142.92,143.23,56.89973,18.9496,3.38345E+07
8/1/2017 12:00:00 AM,143.7,143.76,143.12,143.56,58.33305,4.467298,2.01428E+07
8/2/2017 12:00:00 AM,144.49,144.52,142.61,143.95,60.02497,8.300379,4.17656E+07
8/3/2017 12:00:00 AM,144.17,144.17,143.13,143.39,56.47863,-24.01357,2.70994E+07
8/4/2017 12:00:00 AM,143.65,143.97,143.06,143.65,57.72737,-45.98591,2.94705E+07
8/7/2017 12:00:00 AM,143.91,144.56,143.71,144.56,61.85301,64.18224,1.79271E+07
8/8/2017 12:00:00 AM,144.27,145.47,143.9,144.31,60.11716,98.48683,3.07362E+07
8/9/2017 12:00:00 AM,143.12,144.19,142.8,144.12,58.76729,-44.75325,3.61661E+07
8/10/2017 12:00:00 AM,143.33,143.4,140.89,141.03,42.1798,-260.3018,6.33121E+07
8/11/2017 12:00:00 AM,141.22,142.41,140.9,142.1,47.68628,-208.3235,4.5859E+07
8/14/2017 12:00:00 AM,143.23,144.15,143.19,143.93,55.493,21.51162,3.41508E+07
8/15/2017 12:00:00 AM,144.29,144.3,143.64,144.03,55.88048,61.589,2.55051E+07
8/16/2017 12:00:00 AM,144.39,144.96,143.8,144.28,56.89086,104.0154,3.18834E+07
8/17/2017 12:00:00 AM,143.73,143.94,141.33,141.33,44.06663,-127.4631,7.01786E+07
8/18/2017 12:00:00 AM,141.41,142.2,140.65,141.23,43.70694,-149.5198,6.07345E+07
8/21/2017 12:00:00 AM,141.22,141.53,140.18,141.05,43.02622,-136.4564,3.71066E+07
8/22/2017 12:00:00 AM,141.81,143.35,141.76,143.2,52.53556,-17.07832,3.62902E+07
8/23/2017 12:00:00 AM,142.5,143.01,142.38,142.69,50.3872,-18.20403,2.56775E+07
8/24/2017 12:00:00 AM,143.01,143.17,141.47,142.27,48.62372,-37.51529,3.8158E+07
8/25/2017 12:00:00 AM,142.82,143.18,141.78,141.97,47.34897,-30.91552,2.63706E+07
8/28/2017 12:00:00 AM,142.41,142.74,141.95,142.41,49.44248,-18.48506,1.53298E+07
8/29/2017 12:00:00 AM,141.19,143.21,141.06,142.97,52.05539,-8.045977,2.44792E+07
8/30/2017 12:00:00 AM,143.09,144.89,143,144.65,58.91537,123.3788,3.36053E+07
8/31/2017 12:00:00 AM,145.06,146.21,144.98,146.2,64.02917,181.9431,3.84624E+07
9/1/2017 12:00:00 AM,146.39,146.59,145.61,146,62.94057,156.713,2.22887E+07
9/5/2017 12:00:00 AM,145.57,145.88,143.6,144.69,56.20049,78.21301,4.54742E+07
9/6/2017 12:00:00 AM,145.06,145.46,144.08,145.13,57.8338,81.58686,3.07103E+07
9/7/2017 12:00:00 AM,145.4,145.84,144.94,145.47,59.1029,88.4352,2.27136E+07
9/8/2017 12:00:00 AM,145.28,145.35,144.06,144.21,52.76487,40.901,2.78858E+07
9/11/2017 12:00:00 AM,145.3,146.12,145.3,145.87,59.00255,88.18389,2.7115E+07
9/12/2017 12:00:00 AM,146.25,146.41,145.53,146.22,60.1961,91.01228,3.02478E+07
9/13/2017 12:00:00 AM,145.95,146.44,145.73,146.42,60.89663,88.55235,2.84227E+07
9/14/2017 12:00:00 AM,145.85,146.29,145.47,145.56,56.30751,60.01837,3.52752E+07
9/15/2017 12:00:00 AM,145.56,146.59,145.29,146.06,58.2762,64.98676,4.64103E+07
9/18/2017 12:00:00 AM,145.91,146.37,145.11,145.55,55.52792,36.43226,2.48543E+07
9/19/2017 12:00:00 AM,145.81,146.01,145.31,145.8,56.6082,28.46391,2.0858E+07
9/20/2017 12:00:00 AM,145.75,145.91,144.23,145.35,54.06254,-60.00007,3.42257E+07
9/21/2017 12:00:00 AM,145.25,145.26,143.95,144.46,49.33693,-121.1297,2.88324E+07
9/22/2017 12:00:00 AM,144,144.53,143.85,144.32,48.61703,-131.8107,2.16925E+07
9/25/2017 12:00:00 AM,143.75,143.83,142.1,142.8,41.5314,-217.0688,5.49367E+07
9/26/2017 12:00:00 AM,143.53,143.8,142.67,143.17,43.68302,-146.2855,2.96258E+07
9/27/2017 12:00:00 AM,143.93,145,143.57,144.46,50.51985,-49.61388,3.32395E+07
9/28/2017 12:00:00 AM,144.14,144.56,143.78,144.41,50.26513,-53.61399,2.41448E+07
9/29/2017 12:00:00 AM,144.7,145.56,144.32,145.45,55.31196,12.89268,4.31013E+07
10/2/2017 12:00:00 AM,145.67,146.17,144.93,145.58,55.9142,51.57222,2.73401E+07
10/3/2017 12:00:00 AM,145.77,146.06,145.45,145.89,57.38884,74.85613,1.96971E+07
10/4/2017 12:00:00 AM,145.6,146.34,145.47,146.03,58.07095,84.65336,2.63769E+07
10/5/2017 12:00:00 AM,146.54,147.54,146.41,147.46,64.34869,159.7254,3.15572E+07
10/6/2017 12:00:00 AM,146.96,147.66,146.96,147.66,65.13493,153.6761,2.35597E+07
10/9/2017 12:00:00 AM,147.86,148.01,147.3,147.49,63.84604,136.8058,1.36987E+07
10/10/2017 12:00:00 AM,147.98,148.14,146.95,147.6,64.33779,109.4538,1.9222E+07
10/11/2017 12:00:00 AM,147.53,148.07,147.34,148.04,66.31156,103.4513,1.24213E+07
10/12/2017 12:00:00 AM,147.82,148.35,147.62,147.77,63.97182,92.98111,1.45044E+07
10/13/2017 12:00:00 AM,148.37,148.51,147.78,148.34,66.64739,92.74751,1.84057E+07
10/16/2017 12:00:00 AM,148.71,148.89,148.39,148.85,68.87471,105.6028,2.18059E+07
10/17/2017 12:00:00 AM,148.8,149.06,148.57,149.04,69.68681,106.4106,1.3132E+07
10/18/2017 12:00:00 AM,149.19,149.21,148.64,148.86,67.87982,103.7909,1.71813E+07
10/19/2017 12:00:00 AM,148.02,148.33,147.27,148.31,62.54303,35.31284,2.76743E+07
10/20/2017 12:00:00 AM,148.91,149.04,148.53,148.71,64.71578,91.64727,3.01707E+07
10/23/2017 12:00:00 AM,149.02,149.03,147.53,147.74,56.20212,20.0939,2.92727E+07
10/24/2017 12:00:00 AM,148.03,148.3,147.44,147.99,57.74501,-22.72238,2.02755E+07
