Date,Open,High,Low,Close,Moving Average 50,Wilder's RSI 14,Commodity Channel Index (CCI) 14
5/16/2017 12:00:00 AM,139.4,139.64,138.99,139.62,,,
5/17/2017 12:00:00 AM,138.51,138.77,136.05,136.07,,,
5/18/2017 12:00:00 AM,136.02,137.72,135.87,137.26,,,
5/19/2017 12:00:00 AM,137.75,138.42,137.66,137.84,,,
5/22/2017 12:00:00 AM,138.15,139.08,138.1,139,,,
5/23/2017 12:00:00 AM,139.41,139.42,138.78,139.14,,,
5/24/2017 12:00:00 AM,139.56,139.85,139.17,139.78,,,
5/25/2017 12:00:00 AM,140.31,141.33,140.01,140.97,,,
5/26/2017 12:00:00 AM,141,141.28,140.81,141.22,,,
5/30/2017 12:00:00 AM,141.15,141.51,141.06,141.34,,,
5/31/2017 12:00:00 AM,141.84,141.84,140.57,141.29,,,
6/1/2017 12:00:00 AM,141.58,141.9,140.98,141.84,,,
6/2/2017 12:00:00 AM,142.34,143.49,142.11,143.46,,,
6/5/2017 12:00:00 AM,143.44,143.68,143.23,143.43,,,132.3394
6/6/2017 12:00:00 AM,143.26,143.73,142.65,142.86,,,99.99745
6/7/2017 12:00:00 AM,143.26,143.54,142.6,143.42,,65.57378,96.23357
6/8/2017 12:00:00 AM,143.74,143.8,142.79,143.57,,66.02369,97.33608
6/9/2017 12:00:00 AM,143.74,143.9,138.11,139.98,,49.38877,-40.29517
6/12/2017 12:00:00 AM,138.84,139.48,137.47,139.23,,46.73933,-140.3442
6/13/2017 12:00:00 AM,140.01,140.56,139.28,140.36,,51.00404,-78.17297
6/14/2017 12:00:00 AM,140.93,140.93,138.62,139.75,,48.73542,-95.8432
6/15/2017 12:00:00 AM,138.34,139.28,137.49,139.13,,46.47286,-134.9074
6/16/2017 12:00:00 AM,138.72,138.78,137.64,138.15,,43.06918,-126.9294
6/19/2017 12:00:00 AM,139.45,140.59,139.28,140.46,,51.99424,-39.65239
6/20/2017 12:00:00 AM,140.32,140.5,139.31,139.36,,48.12521,-48.96856
6/21/2017 12:00:00 AM,139.68,140.81,139.59,140.74,,52.86402,-20.11592
6/22/2017 12:00:00 AM,140.96,141.22,140.34,140.7,,52.71367,1.41005
6/23/2017 12:00:00 AM,140.54,141.42,140.15,141.24,,54.59087,20.99499
6/26/2017 12:00:00 AM,142.05,142.29,140.27,140.58,,51.88003,39.91139
6/27/2017 12:00:00 AM,140.05,140.22,138.02,138.03,,42.99633,-92.17964
6/28/2017 12:00:00 AM,138.54,140.14,137.74,140.02,,50.16771,-42.07029
6/29/2017 12:00:00 AM,139.44,139.44,136.25,137.59,,43.04619,-138.8032
6/30/2017 12:00:00 AM,137.98,138.67,137.19,137.64,,43.22479,-118.483
7/3/2017 12:00:00 AM,138.27,138.43,136.1,136.19,,39.36937,-145.0609
7/5/2017 12:00:00 AM,136.62,137.9,136.16,137.53,,44.31266,-105.1578
7/6/2017 12:00:00 AM,136.48,137.06,135.8,136.29,,40.98277,-124.5363
7/7/2017 12:00:00 AM,136.75,138.13,136.74,137.76,,46.14901,-63.82604
7/10/2017 12:00:00 AM,137.84,138.99,137.5,138.66,,49.08757,-19.49438
7/11/2017 12:00:00 AM,138.46,139.22,137.94,139.05,,50.35185,1.477185
7/12/2017 12:00:00 AM,140.24,140.86,139.96,140.7,,55.39819,92.6237
7/13/2017 12:00:00 AM,140.87,141.35,140.6,141.01,,56.29696,115.1186
7/14/2017 12:00:00 AM,141.57,142.3,141.19,142.12,,59.44801,147.5647
7/17/2017 12:00:00 AM,142.27,142.69,141.92,142.19,,59.64563,150.3027
7/18/2017 12:00:00 AM,142.09,143.17,141.64,143.14,,62.32852,129.1996
7/19/2017 12:00:00 AM,143.56,144.19,143.5,143.98,,64.5714,134.9075
7/20/2017 12:00:00 AM,144.35,144.44,143.52,144.17,,65.07788,115.1773
7/21/2017 12:00:00 AM,143.64,144.11,143.35,144.11,,64.76304,95.14633
7/24/2017 12:00:00 AM,144.07,144.87,143.92,144.77,,66.67312,100.3914
7/25/2017 12:00:00 AM,144.29,144.74,144.01,144.4,,64.56026,85.92419
7/26/2017 12:00:00 AM,144.76,144.95,144.53,144.87,140.5202,66.03275,90.78324
7/27/2017 12:00:00 AM,145.82,145.96,142.3,143.96,140.607,60.76823,60.17779
7/28/2017 12:00:00 AM,143.1,144.08,142.87,143.84,140.7624,60.08785,33.31316
7/31/2017 12:00:00 AM,144.25,144.43,142.92,143.23,140.8818,56.61788,18.9496
8/1/2017 12:00:00 AM,143.7,143.76,143.12,143.56,140.9962,58.02993,4.467298
8/2/2017 12:00:00 AM,144.49,144.52,142.61,143.95,141.0952,59.69941,8.300379
8/3/2017 12:00:00 AM,144.17,144.17,143.13,143.39,141.1802,56.24006,-24.01357
8/4/2017 12:00:00 AM,143.65,143.97,143.06,143.65,141.2576,57.4722,-45.98591
8/7/2017 12:00:00 AM,143.91,144.56,143.71,144.56,141.3294,61.5527,64.18224
8/8/2017 12:00:00 AM,144.27,145.47,143.9,144.31,141.3912,59.85363,98.48683
8/9/2017 12:00:00 AM,143.12,144.19,142.8,144.12,141.4468,58.53124,-44.75325
8/10/2017 12:00:00 AM,143.33,143.4,140.89,141.03,141.4416,42.20153,-260.3018
8/11/2017 12:00:00 AM,141.22,142.41,140.9,142.1,141.4468,47.64825,-208.3235
8/14/2017 12:00:00 AM,143.23,144.15,143.19,143.93,141.4562,55.39088,21.51162
8/15/2017 12:00:00 AM,144.29,144.3,143.64,144.03,141.4682,55.77581,61.589
8/16/2017 12:00:00 AM,144.39,144.96,143.8,144.28,141.4966,56.77983,104.0154
8/17/2017 12:00:00 AM,143.73,143.94,141.33,141.33,141.4548,44.06657,-127.4631
