Date,Open,High,Low,Close,Moving Average 50,Wilder's RSI 14,Commodity Channel Index (CCI) 14
4/12/2019 2:45:00 PM,185.76,185.81,185.71,185.77,,,
4/12/2019 3:00:00 PM,185.76,185.77,185.68,185.7,,,
4/12/2019 3:15:00 PM,185.7,185.76,185.65,185.72,,,
4/12/2019 3:30:00 PM,185.72,185.74,185.63,185.74,,,
4/12/2019 3:45:00 PM,185.74,185.85,185.71,185.79,,,
4/12/2019 4:00:00 PM,185.8,185.85,185.61,185.84,,,
4/15/2019 9:45:00 AM,185.83,186.07,185.81,185.95,,,
4/15/2019 10:00:00 AM,185.94,185.99,185.6,185.7,,,
4/15/2019 10:15:00 AM,185.7,185.71,185.44,185.46,,,
4/15/2019 10:30:00 AM,185.45,185.47,185,185,,,
4/15/2019 10:45:00 AM,185,185,184.62,184.65,,,
4/15/2019 11:00:00 AM,184.65,185.02,184.62,184.99,,,
4/15/2019 11:15:00 AM,185,185.25,184.94,185.21,,,
4/15/2019 11:30:00 AM,185.21,185.35,185.2,185.3,,,-43.2571
4/15/2019 11:45:00 AM,185.3,185.31,185.06,185.06,,,-60.81608
4/15/2019 12:00:00 PM,185.06,185.31,185.05,185.22,,39.70043,-43.50631
4/15/2019 12:15:00 PM,185.22,185.26,184.96,185.08,,37.57848,-54.34756
4/15/2019 12:30:00 PM,185.08,185.21,185.07,185.16,,39.5663,-39.10697
4/15/2019 12:45:00 PM,185.16,185.28,185.13,185.26,,42.05023,-16.06727
4/15/2019 1:00:00 PM,185.26,185.29,185.19,185.22,,41.31872,-4.865039
4/15/2019 1:15:00 PM,185.22,185.49,185.21,185.43,,46.57407,67.30954
4/15/2019 1:30:00 PM,185.43,185.44,185.38,185.43,,51.27356,111.3389
4/15/2019 1:45:00 PM,185.43,185.58,185.4,185.53,,53.3769,156.6317
4/15/2019 2:00:00 PM,185.52,185.56,185.49,185.52,,53.13007,133.2321
4/15/2019 2:15:00 PM,185.52,185.6,185.48,185.58,,54.4906,126.0827
4/15/2019 2:30:00 PM,185.58,185.72,185.58,185.69,,56.95754,143.8195
4/15/2019 2:45:00 PM,185.69,185.85,185.69,185.81,,59.53443,155.4976
4/15/2019 3:00:00 PM,185.81,185.88,185.75,185.87,,60.79818,139.2384
4/15/2019 3:15:00 PM,185.86,186.06,185.86,185.99,,63.26919,149.8952
4/15/2019 3:30:00 PM,185.99,186.01,185.93,185.94,,61.52895,124.8119
4/15/2019 3:45:00 PM,185.94,185.95,185.78,185.8,,56.81689,78.09842
4/15/2019 4:00:00 PM,185.8,185.91,185.71,185.88,,58.76048,64.34275
4/16/2019 9:45:00 AM,186.54,186.58,186.32,186.57,,70.91806,210.5856
4/16/2019 10:00:00 AM,186.57,186.6,186.36,186.55,,70.27126,180.6916
4/16/2019 10:15:00 AM,186.55,186.91,186.55,186.86,,74.19842,186.2915
4/16/2019 10:30:00 AM,186.86,186.88,186.6,186.77,,71.25555,139.0299
4/16/2019 10:45:00 AM,186.77,186.79,186.47,186.47,,62.3744,86.11697
4/16/2019 11:00:00 AM,186.47,186.64,186.36,186.55,,63.67463,63.2558
4/16/2019 11:15:00 AM,186.55,186.8,186.44,186.78,,67.18544,77.29221
4/16/2019 11:30:00 AM,186.78,186.79,186.55,186.57,,61.35485,62.29476
