Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
6/13/2019 2:11:00 PM,183.31,183.33,183.3,183.31,,
6/13/2019 2:12:00 PM,183.33,183.38,183.33,183.38,,
6/13/2019 2:13:00 PM,183.39,183.41,183.38,183.4,,
6/13/2019 2:14:00 PM,183.4,183.4,183.37,183.39,,
6/13/2019 2:15:00 PM,183.38,183.41,183.38,183.41,,
6/13/2019 2:16:00 PM,183.41,183.44,183.4,183.44,,
6/13/2019 2:17:00 PM,183.44,183.44,183.31,183.31,,
6/13/2019 2:18:00 PM,183.31,183.33,183.15,183.18,,
6/13/2019 2:19:00 PM,183.17,183.2,183.05,183.05,,
6/13/2019 2:20:00 PM,183.05,183.16,183.02,183.16,,
6/13/2019 2:21:00 PM,183.15,183.15,183.09,183.12,,
6/13/2019 2:22:00 PM,183.12,183.22,183.12,183.2,,
6/13/2019 2:23:00 PM,183.2,183.21,183.17,183.21,,
6/13/2019 2:24:00 PM,183.22,183.22,183.19,183.19,,-42.82808
6/13/2019 2:25:00 PM,183.19,183.21,183.17,183.21,,-39.42384
6/13/2019 2:26:00 PM,183.21,183.22,183.17,183.2,43.37371,-34.04198
6/13/2019 2:27:00 PM,183.2,183.25,183.2,183.23,45.49514,-7.718347
6/13/2019 2:28:00 PM,183.23,183.24,183.21,183.23,47.60889,1.097758
6/13/2019 2:29:00 PM,183.23,183.25,183.22,183.23,49.70923,22.75523
6/13/2019 2:30:00 PM,183.23,183.28,183.23,183.23,51.7906,70.90724
6/13/2019 2:31:00 PM,183.23,183.23,183.2,183.21,50.29686,42.29452
6/13/2019 2:32:00 PM,183.21,183.21,183.15,183.16,46.67062,-26.17886
6/13/2019 2:33:00 PM,183.16,183.2,183.16,183.2,49.78874,-16.58234
6/13/2019 2:34:00 PM,183.2,183.2,183.12,183.13,44.84674,-126.1273
6/13/2019 2:35:00 PM,183.13,183.14,183.05,183.05,39.96387,-268.8854
6/13/2019 2:36:00 PM,183.05,183.09,183,183.09,43.28809,-211.1984
6/13/2019 2:37:00 PM,183.08,183.08,182.89,182.89,33.34486,-234.3902
6/13/2019 2:38:00 PM,182.89,182.98,182.86,182.95,37.94954,-178.873
6/13/2019 2:39:00 PM,182.95,183.02,182.94,183.01,42.24619,-102.3752
6/13/2019 2:40:00 PM,183.01,183.04,182.99,183.02,42.95589,-69.92831
6/13/2019 2:41:00 PM,183.03,183.03,183,183.01,42.39486,-61.85865
6/13/2019 2:42:00 PM,183.01,183.05,182.99,183.02,43.19385,-49.78899
6/13/2019 2:43:00 PM,183.02,183.05,182.98,183.02,44.02989,-45.37185
6/13/2019 2:44:00 PM,183.02,183.09,183,183.08,48.88575,-4.477451
6/13/2019 2:45:00 PM,183.08,183.17,183.06,183.16,54.5483,77.5713
6/13/2019 2:46:00 PM,183.18,183.18,183.07,183.09,49.39182,69.31358
6/13/2019 2:47:00 PM,183.09,183.11,183.05,183.06,47.32726,39.02343
6/13/2019 2:48:00 PM,183.06,183.09,183.03,183.04,45.94801,25.52128
6/13/2019 2:49:00 PM,183.03,183.06,183.03,183.06,47.59279,24.96654
6/13/2019 2:50:00 PM,183.05,183.11,183.05,183.09,50.0476,71.66765
6/13/2019 2:51:00 PM,183.09,183.12,183.09,183.1,50.87447,90.96706
6/13/2019 2:52:00 PM,183.1,183.14,183.1,183.1,51.73487,96.77407
6/13/2019 2:53:00 PM,183.1,183.1,183.04,183.05,47.28007,-2.903398
6/13/2019 2:54:00 PM,183.05,183.08,183,183.07,49.16594,-37.40261
6/13/2019 2:55:00 PM,183.08,183.09,183.06,183.06,48.23612,-2.968092
6/13/2019 2:56:00 PM,183.06,183.18,183.06,183.18,58.39415,137.2979
6/13/2019 2:57:00 PM,183.18,183.21,183.13,183.16,56.40834,158.8483
6/13/2019 2:58:00 PM,183.16,183.18,183.07,183.16,54.41548,82.13258
6/13/2019 2:59:00 PM,183.16,183.18,183.13,183.13,51.47623,96.50021
6/13/2019 3:00:00 PM,183.13,183.13,183.1,183.11,49.55404,31.24953
6/13/2019 3:01:00 PM,183.11,183.15,183.05,183.05,44.22057,-29.53857
6/13/2019 3:02:00 PM,183.05,183.1,183.04,183.07,46.29601,-60.72853
6/13/2019 3:03:00 PM,183.07,183.07,182.85,182.9,34.53506,-252.3677
6/13/2019 3:04:00 PM,182.9,182.99,182.85,182.96,40.30029,-192.3255
6/13/2019 3:05:00 PM,182.95,182.98,182.94,182.95,39.67271,-129.7934
6/13/2019 3:06:00 PM,182.95,182.99,182.91,182.93,38.3862,-114.6394
6/13/2019 3:07:00 PM,182.92,182.92,182.82,182.84,33.17414,-146.565
6/13/2019 3:08:00 PM,182.84,182.91,182.84,182.88,37.25301,-106.4927
6/13/2019 3:09:00 PM,182.88,182.91,182.86,182.89,38.26671,-84.01405
6/13/2019 3:10:00 PM,182.87,182.92,182.85,182.88,37.61233,-75.65987
6/13/2019 3:11:00 PM,182.88,182.97,182.88,182.94,43.82281,-38.79975
6/13/2019 3:12:00 PM,182.94,183,182.94,182.96,45.76151,-3.557115
6/13/2019 3:13:00 PM,182.96,182.97,182.92,182.94,44.12172,-14.67472
6/13/2019 3:14:00 PM,182.93,182.97,182.93,182.96,46.19793,13.06955
6/13/2019 3:15:00 PM,182.96,182.96,182.86,182.89,40.52331,-53.01614
6/13/2019 3:16:00 PM,182.89,182.89,182.77,182.79,34.08284,-176.9717
6/13/2019 3:17:00 PM,182.79,182.8,182.76,182.79,29.10183,-180.1279
6/13/2019 3:18:00 PM,182.8,182.82,182.78,182.79,25.14445,-129.4836
6/13/2019 3:19:00 PM,182.8,182.81,182.76,182.76,24.08636,-130.3422
6/13/2019 3:20:00 PM,182.75,182.83,182.74,182.8,28.41296,-94.34416
6/13/2019 3:21:00 PM,182.79,182.86,182.77,182.86,34.44671,-42.20772
6/13/2019 3:22:00 PM,182.86,182.89,182.83,182.86,39.90177,-6.565988
6/13/2019 3:23:00 PM,182.86,182.86,182.8,182.85,39.31486,-29.18962
6/13/2019 3:24:00 PM,182.84,182.92,182.84,182.9,43.76977,27.69571
6/13/2019 3:25:00 PM,182.9,182.92,182.89,182.89,43.08868,47.35076
6/13/2019 3:26:00 PM,182.89,182.94,182.89,182.92,45.81415,76.37952
6/13/2019 3:27:00 PM,182.92,182.92,182.85,182.86,41.53041,34.67075
6/13/2019 3:28:00 PM,182.86,182.92,182.86,182.87,42.495,56.97432
6/13/2019 3:29:00 PM,182.87,182.92,182.87,182.92,47.18912,88.26603
6/13/2019 3:30:00 PM,182.92,182.98,182.92,182.94,48.98333,130.4023
6/13/2019 3:31:00 PM,182.96,183.02,182.95,183,54.02805,165.4894
6/13/2019 3:32:00 PM,183,183.08,183,183.06,58.45245,198.8331
6/13/2019 3:33:00 PM,183.06,183.12,183.04,183.06,62.35423,180.0429
6/13/2019 3:34:00 PM,183.06,183.06,183.01,183.02,58.41611,106.4442
6/13/2019 3:35:00 PM,183.02,183.05,182.99,183.04,59.78327,85.56498
6/13/2019 3:36:00 PM,183.04,183.08,183.02,183.07,61.81339,96.23575
6/13/2019 3:37:00 PM,183.06,183.11,183.01,183.04,58.62632,80.03717
6/13/2019 3:38:00 PM,183.05,183.1,183.01,183.09,62.12954,81.68111
6/13/2019 3:39:00 PM,183.08,183.09,183.05,183.07,59.94444,75.76399
6/13/2019 3:40:00 PM,183.06,183.12,183.06,183.07,57.75687,80.65061
6/13/2019 3:41:00 PM,183.07,183.09,183.06,183.06,56.64214,62.54448
6/13/2019 3:42:00 PM,183.05,183.13,183.05,183.08,58.37132,83.61137
6/13/2019 3:43:00 PM,183.08,183.08,183.02,183.03,52.71227,-6.343687
6/13/2019 3:44:00 PM,183.03,183.05,183.01,183.03,47.72902,-70.64073
6/13/2019 3:45:00 PM,183.04,183.04,183,183.03,43.31879,-114.0597
6/13/2019 3:46:00 PM,183.03,183.06,182.98,182.99,40.12525,-132.5912
6/13/2019 3:47:00 PM,182.98,183.02,182.97,183.02,43.49051,-126.3523
6/13/2019 3:48:00 PM,183.02,183.03,182.93,182.94,37.446,-182.6569
6/13/2019 3:49:00 PM,182.94,182.94,182.86,182.88,33.6669,-241.591
6/13/2019 3:50:00 PM,182.89,182.92,182.86,182.9,35.98487,-176.1571
6/13/2019 3:51:00 PM,182.9,182.94,182.85,182.93,39.40701,-124.3604
6/13/2019 3:52:00 PM,182.94,182.94,182.84,182.86,34.74061,-122.6498
6/13/2019 3:53:00 PM,182.86,182.88,182.85,182.87,35.90772,-110.6459
6/13/2019 3:54:00 PM,182.88,183.02,182.88,183.01,49.52508,-4.736514
6/13/2019 3:55:00 PM,183.02,183.08,182.99,183,48.72911,57.70323
6/13/2019 3:56:00 PM,182.99,183.09,182.86,183.06,53.55489,46.02406
6/13/2019 3:57:00 PM,183.06,183.11,183.04,183.09,55.79527,130.6866
6/13/2019 3:58:00 PM,183.09,183.15,183.09,183.15,59.95567,161.3237
6/13/2019 3:59:00 PM,183.15,183.19,183.14,183.18,61.88716,165.072
6/13/2019 4:00:00 PM,183.19,183.49,183.18,183.42,73.07616,230.7645
6/14/2019 9:31:00 AM,182.46,182.54,182.35,182.44,31.89783,-260.244
6/14/2019 9:32:00 AM,182.44,182.52,182.31,182.35,30.21404,-203.248
6/14/2019 9:33:00 AM,182.35,182.42,182.29,182.3,29.28895,-168.7742
6/14/2019 9:34:00 AM,182.3,182.48,182.3,182.37,32.4086,-118.1358
6/14/2019 9:35:00 AM,182.38,182.39,182.2,182.27,30.34866,-110.7017
6/14/2019 9:36:00 AM,182.27,182.41,182.14,182.16,28.22335,-98.31278
6/14/2019 9:37:00 AM,182.16,182.2,182.03,182.06,26.4124,-102.6163
6/14/2019 9:38:00 AM,182.06,182.11,181.97,182.07,26.91787,-94.89712
6/14/2019 9:39:00 AM,182.07,182.14,182.06,182.1,28.5029,-77.68597
6/14/2019 9:40:00 AM,182.09,182.13,181.94,182.11,29.05497,-77.47672
6/14/2019 9:41:00 AM,182.11,182.15,182.04,182.14,30.78258,-65.62564
6/14/2019 9:42:00 AM,182.15,182.23,182.11,182.22,35.307,-45.91004
6/14/2019 9:43:00 AM,182.22,182.22,182.01,182.03,30.24977,-67.4142
6/14/2019 9:44:00 AM,182.05,182.14,181.96,182.08,32.97083,-76.50018
6/14/2019 9:45:00 AM,182.09,182.12,181.96,182.01,31.13922,-84.50494
6/14/2019 9:46:00 AM,182.01,182.15,181.97,182.13,37.54443,-46.24738
6/14/2019 9:47:00 AM,182.14,182.26,182.14,182.19,40.52301,44.63141
6/14/2019 9:48:00 AM,182.19,182.24,182.15,182.21,41.52437,72.13885
6/14/2019 9:49:00 AM,182.21,182.24,182.14,182.17,40.0713,73.28743
6/14/2019 9:50:00 AM,182.17,182.3,182.17,182.25,44.27081,137.8391
6/14/2019 9:51:00 AM,182.24,182.51,182.22,182.5,54.90524,222.4356
6/14/2019 9:52:00 AM,182.5,182.5,182.31,182.31,47.48834,153.7961
6/14/2019 9:53:00 AM,182.31,182.33,182.2,182.3,47.1277,71.70673
6/14/2019 9:54:00 AM,182.29,182.33,182.18,182.19,43.23592,33.4248
6/14/2019 9:55:00 AM,182.19,182.19,182.01,182.01,37.74316,-89.4292
6/14/2019 9:56:00 AM,182.02,182.19,182.01,182.04,39.131,-69.66488
6/14/2019 9:57:00 AM,182.04,182.17,181.98,182.16,44.46461,-55.05763
6/14/2019 9:58:00 AM,182.15,182.21,182.08,182.1,42.46143,-42.13113
6/14/2019 9:59:00 AM,182.12,182.14,182.03,182.1,40.49668,-78.99645
6/14/2019 10:00:00 AM,182.1,182.18,182.01,182.17,43.76568,-59.34354
6/14/2019 10:01:00 AM,182.17,182.24,182.02,182.19,44.70077,-31.45474
6/14/2019 10:02:00 AM,182.19,182.23,182.04,182.09,41.0278,-49.02665
6/14/2019 10:03:00 AM,182.09,182.22,182.05,182.1,41.54553,-41.75581
6/14/2019 10:04:00 AM,182.05,182.17,182.02,182.17,45.1703,-39.50363
6/14/2019 10:05:00 AM,182.17,182.19,182.04,182.17,48.60262,-19.98088
6/14/2019 10:06:00 AM,182.17,182.17,182.05,182.06,43.94647,-67.0729
6/14/2019 10:07:00 AM,182.06,182.15,182.03,182.15,48.30954,-26.51044
6/14/2019 10:08:00 AM,182.14,182.3,182.13,182.29,54.2724,318.4686
6/14/2019 10:09:00 AM,182.29,182.34,182.25,182.28,53.7953,264.1213
6/14/2019 10:10:00 AM,182.28,182.37,182.21,182.37,57.4247,196.9557
6/14/2019 10:11:00 AM,182.37,182.39,182.33,182.33,55.3442,162.7651
6/14/2019 10:12:00 AM,182.33,182.33,182.27,182.33,53.26592,100.1849
6/14/2019 10:13:00 AM,182.35,182.39,182.3,182.36,54.64182,107.1138
6/14/2019 10:14:00 AM,182.35,182.51,182.35,182.46,58.97775,138.8645
6/14/2019 10:15:00 AM,182.45,182.45,182.31,182.38,54.49026,86.56213
6/14/2019 10:16:00 AM,182.37,182.37,182.24,182.32,51.33561,36.37904
