Date,Open,High,Low,Close,Volume ,Moving Average 50,Wilder's RSI 14,Commodity Channel Index (CCI) 14
6/24/2019 1:25:00 PM,188.54,188.54,188.41,188.42,74000,,,
6/24/2019 1:30:00 PM,188.42,188.43,188.35,188.38,165300,,,
6/24/2019 1:35:00 PM,188.37,188.41,188.34,188.36,74300,,,
6/24/2019 1:40:00 PM,188.35,188.48,188.35,188.47,123600,,,
6/24/2019 1:45:00 PM,188.47,188.47,188.29,188.33,132700,,,
6/24/2019 1:50:00 PM,188.32,188.32,188.24,188.28,413200,,,
6/24/2019 1:55:00 PM,188.28,188.32,188.18,188.19,111800,,,
6/24/2019 2:00:00 PM,188.2,188.29,188.2,188.28,105600,,,
6/24/2019 2:05:00 PM,188.28,188.3,188.25,188.3,339100,,,
6/24/2019 2:10:00 PM,188.3,188.38,188.3,188.35,168000,,,
6/24/2019 2:15:00 PM,188.35,188.38,188.31,188.32,38700,,,
6/24/2019 2:20:00 PM,188.32,188.38,188.27,188.3,111100,,,
6/24/2019 2:25:00 PM,188.29,188.36,188.23,188.27,98200,,,
6/24/2019 2:30:00 PM,188.27,188.27,188.19,188.21,85600,,,-118.0193
6/24/2019 2:35:00 PM,188.21,188.31,188.21,188.27,156800,,,-62.99049
6/24/2019 2:40:00 PM,188.27,188.33,188.24,188.3,861300,,42.8574,-21.84925
6/24/2019 2:45:00 PM,188.3,188.31,188.18,188.19,95300,,37.56038,-100.9045
6/24/2019 2:50:00 PM,188.19,188.3,188.16,188.23,179100,,40.44254,-92.81953
6/24/2019 2:55:00 PM,188.23,188.31,188.23,188.3,112600,,45.21015,11.17433
6/24/2019 3:00:00 PM,188.31,188.37,188.28,188.31,546200,,45.87627,83.89005
6/24/2019 3:05:00 PM,188.31,188.34,188.23,188.26,102000,,43.0559,-9.561869
6/24/2019 3:10:00 PM,188.26,188.33,188.18,188.18,131400,,38.93195,-102.0704
6/24/2019 3:15:00 PM,188.18,188.3,188.13,188.24,227000,,43.31782,-95.26694
6/24/2019 3:20:00 PM,188.25,188.26,188.18,188.18,107100,,40.20798,-108.1744
6/24/2019 3:25:00 PM,188.18,188.32,188.18,188.28,173900,,47.03217,1.016631
6/24/2019 3:30:00 PM,188.28,188.29,188.15,188.16,106000,,40.9874,-109.426
6/24/2019 3:35:00 PM,188.16,188.21,188.15,188.17,123700,,41.65996,-135.2706
6/24/2019 3:40:00 PM,188.17,188.26,188.14,188.21,773200,,44.39209,-75.42963
6/24/2019 3:45:00 PM,188.21,188.31,188.2,188.3,255800,,50.05787,53.17553
6/24/2019 3:50:00 PM,188.3,188.31,188.18,188.18,266200,,43.66835,-30.49747
6/24/2019 3:55:00 PM,188.18,188.27,188.14,188.14,647700,,41.75558,-102.0743
6/24/2019 4:00:00 PM,188.14,188.24,188.06,188.16,1560800,,43.09817,-134.671
6/25/2019 9:35:00 AM,188.08,188.14,187.82,187.95,611800,,34.18846,-311.4388
6/25/2019 9:40:00 AM,187.95,187.98,187.42,187.59,1126800,,24.74475,-334.3091
6/25/2019 9:45:00 AM,187.6,187.65,187.49,187.56,259600,,24.14621,-224.5134
6/25/2019 9:50:00 AM,187.55,187.71,187.2,187.31,460900,,19.83934,-188.3388
6/25/2019 9:55:00 AM,187.31,187.54,187.21,187.52,265000,,30.9768,-137.3474
6/25/2019 10:00:00 AM,187.52,187.54,187.43,187.48,153900,,30.11826,-98.79575
6/25/2019 10:05:00 AM,187.48,187.61,187.34,187.35,278300,,27.45572,-90.40895
6/25/2019 10:10:00 AM,187.34,187.47,187.24,187.47,302400,,33.31611,-83.75837
6/25/2019 10:15:00 AM,187.47,187.49,187.08,187.23,429100,,28.37813,-94.22426
6/25/2019 10:20:00 AM,187.23,187.23,187.04,187.12,251700,,26.4436,-108.3466
6/25/2019 10:25:00 AM,187.1,187.11,186.88,187.04,831000,,25.10328,-122.2566
6/25/2019 10:30:00 AM,187.04,187.21,187.03,187.2,287600,,32.475,-88.28534
6/25/2019 10:35:00 AM,187.2,187.26,186.97,187,525000,,28.67574,-102.0362
6/25/2019 10:40:00 AM,187,187.09,186.66,186.66,407200,,23.61731,-155.5975
6/25/2019 10:45:00 AM,186.66,186.9,186.66,186.71,203800,,25.69335,-144.9229
6/25/2019 10:50:00 AM,186.7,186.84,186.57,186.57,355200,,23.74724,-143.8851
6/25/2019 10:55:00 AM,186.57,186.78,186.45,186.56,603100,,23.60954,-135.7083
6/25/2019 11:00:00 AM,186.56,186.6,186.37,186.56,491000,326214,23.46303,-128.4653
6/25/2019 11:05:00 AM,186.56,186.6,186.42,186.5,544900,335632,22.55937,-107.5937
6/25/2019 11:10:00 AM,186.5,186.57,186.4,186.53,205500,336436,24.13274,-93.61448
6/25/2019 11:15:00 AM,186.53,186.64,186.51,186.64,200200,338954,29.76752,-63.14195
6/25/2019 11:20:00 AM,186.64,186.75,186.6,186.7,201900,340520,32.70341,-34.61265
6/25/2019 11:25:00 AM,186.7,186.78,186.63,186.72,162600,341118,33.69858,-18.435
6/25/2019 11:30:00 AM,186.72,186.76,186.58,186.61,131400,335482,30.98517,-32.13386
6/25/2019 11:35:00 AM,186.61,186.71,186.54,186.56,241900,338084,29.81013,-45.41288
6/25/2019 11:40:00 AM,186.56,186.59,186.44,186.47,378400,343540,27.76898,-93.56353
6/25/2019 11:45:00 AM,186.47,186.62,186.45,186.61,71300,338184,35.20187,-47.25594
6/25/2019 11:50:00 AM,186.61,186.64,186.52,186.62,74600,336316,35.71049,-8.839816
6/25/2019 11:55:00 AM,186.62,186.64,186.53,186.56,85800,337258,33.9859,-15.17767
6/25/2019 12:00:00 PM,186.56,186.58,186.51,186.56,61800,336272,32.30572,-39.8757
6/25/2019 12:05:00 PM,186.56,186.58,186.51,186.57,155400,337416,32.90171,-31.39612
6/25/2019 12:10:00 PM,186.58,186.75,186.58,186.71,122500,338154,40.75785,108.8063
6/25/2019 12:15:00 PM,186.71,186.82,186.69,186.76,123600,337490,43.31011,157.7481
6/25/2019 12:20:00 PM,186.77,186.77,186.64,186.65,154600,323356,39.29794,69.48435
6/25/2019 12:25:00 PM,186.65,186.68,186.59,186.67,88500,323220,40.37961,23.06773
6/25/2019 12:30:00 PM,186.68,186.71,186.52,186.62,151900,322676,38.53133,-4.078203
6/25/2019 12:35:00 PM,186.62,186.67,186.5,186.52,100200,322428,35.07402,-57.2916
6/25/2019 12:40:00 PM,186.52,186.54,185.97,185.99,479400,321092,23.19431,-341.6396
6/25/2019 12:45:00 PM,185.98,186.08,185.86,185.86,447300,327998,21.28949,-282.2511
6/25/2019 12:50:00 PM,185.86,186.08,185.81,186.07,314600,331662,31.12889,-169.7848
6/25/2019 12:55:00 PM,186.06,186.08,185.93,186.02,173700,330596,30.16207,-120.5374
6/25/2019 1:00:00 PM,186.02,186.05,185.9,185.91,108000,330614,28.09483,-106.698
6/25/2019 1:05:00 PM,185.91,185.92,185.33,185.78,1308400,353304,25.84068,-133.6072
6/25/2019 1:10:00 PM,185.78,186.02,185.68,185.99,743500,366054,34.92384,-76.13961
6/25/2019 1:15:00 PM,185.99,185.99,185.78,185.83,156900,366718,31.73461,-71.44884
6/25/2019 1:20:00 PM,185.83,185.91,185.72,185.85,154400,354342,32.56376,-71.22592
6/25/2019 1:25:00 PM,185.84,185.97,185.73,185.85,302900,355284,33.43446,-60.57485
6/25/2019 1:30:00 PM,185.83,186.09,185.82,186.03,340400,356768,40.83641,-24.35689
6/25/2019 1:35:00 PM,186.03,186.22,185.96,186.22,406100,351936,47.47603,34.7707
6/25/2019 1:40:00 PM,186.22,186.36,186.09,186.19,291200,326544,46.58707,91.58588
6/25/2019 1:45:00 PM,186.19,186.26,186.13,186.13,712100,328550,44.78107,110.8456
6/25/2019 1:50:00 PM,186.13,186.24,186.1,186.17,138400,308782,46.27612,108.6203
6/25/2019 1:55:00 PM,186.16,186.19,185.87,185.93,659000,316770,39.3846,8.972346
6/25/2019 2:00:00 PM,185.93,185.98,185.79,185.85,658600,320724,37.38634,-53.58781
