Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
7/22/2019 2:11:00 PM,192.49,192.5,192.43,192.44,,
7/22/2019 2:12:00 PM,192.44,192.46,192.39,192.45,,
7/22/2019 2:13:00 PM,192.45,192.49,192.45,192.48,,
7/22/2019 2:14:00 PM,192.48,192.51,192.48,192.48,,
7/22/2019 2:15:00 PM,192.48,192.48,192.46,192.47,,
7/22/2019 2:16:00 PM,192.46,192.48,192.42,192.48,,
7/22/2019 2:17:00 PM,192.48,192.52,192.48,192.51,,
7/22/2019 2:18:00 PM,192.51,192.51,192.47,192.49,,
7/22/2019 2:19:00 PM,192.49,192.5,192.46,192.46,,
7/22/2019 2:20:00 PM,192.46,192.46,192.44,192.44,,
7/22/2019 2:21:00 PM,192.44,192.44,192.42,192.44,,
7/22/2019 2:22:00 PM,192.43,192.45,192.42,192.44,,
7/22/2019 2:23:00 PM,192.44,192.46,192.42,192.44,,
7/22/2019 2:24:00 PM,192.44,192.45,192.43,192.44,,-69.67809
7/22/2019 2:25:00 PM,192.44,192.44,192.42,192.44,,-80.12619
7/22/2019 2:26:00 PM,192.43,192.43,192.39,192.42,44.44256,-129.8445
7/22/2019 2:27:00 PM,192.42,192.43,192.4,192.4,39.69154,-117.9951
7/22/2019 2:28:00 PM,192.4,192.41,192.38,192.39,37.53269,-146.4719
7/22/2019 2:29:00 PM,192.39,192.39,192.38,192.39,35.45588,-143.5739
7/22/2019 2:30:00 PM,192.39,192.43,192.38,192.4,39.08575,-85.36755
7/22/2019 2:31:00 PM,192.39,192.4,192.37,192.39,36.85372,-110.8584
7/22/2019 2:32:00 PM,192.39,192.42,192.39,192.41,43.77458,-46.14791
7/22/2019 2:33:00 PM,192.41,192.42,192.39,192.39,39.15327,-58.34688
7/22/2019 2:34:00 PM,192.39,192.4,192.36,192.4,42.42374,-96.04207
7/22/2019 2:35:00 PM,192.41,192.48,192.41,192.43,50.94632,100.1514
7/22/2019 2:36:00 PM,192.43,192.43,192.38,192.41,46.05448,-15.57424
7/22/2019 2:37:00 PM,192.41,192.42,192.35,192.37,38.15714,-114.5637
7/22/2019 2:38:00 PM,192.37,192.38,192.29,192.29,27.86683,-273.6365
7/22/2019 2:39:00 PM,192.29,192.32,192.29,192.29,21.59504,-243.8621
7/22/2019 2:40:00 PM,192.3,192.3,192.28,192.28,20.96037,-187.0374
7/22/2019 2:41:00 PM,192.28,192.31,192.28,192.3,25.66916,-123.6201
7/22/2019 2:42:00 PM,192.3,192.3,192.28,192.29,24.87073,-105.8053
7/22/2019 2:43:00 PM,192.29,192.31,192.28,192.29,24.06462,-83.62044
7/22/2019 2:44:00 PM,192.3,192.33,192.3,192.3,26.62575,-52.89491
7/22/2019 2:45:00 PM,192.3,192.3,192.28,192.28,24.82382,-72.85725
7/22/2019 2:46:00 PM,192.28,192.3,192.27,192.29,27.46506,-65.54254
7/22/2019 2:47:00 PM,192.29,192.3,192.29,192.29,30.10948,-51.24237
7/22/2019 2:48:00 PM,192.29,192.31,192.28,192.28,28.97199,-52.50167
7/22/2019 2:49:00 PM,192.3,192.37,192.29,192.36,46.4207,64.88979
7/22/2019 2:50:00 PM,192.36,192.37,192.32,192.37,48.13488,130.7018
7/22/2019 2:51:00 PM,192.37,192.45,192.37,192.44,58.21836,271.6183
7/22/2019 2:52:00 PM,192.43,192.44,192.41,192.43,56.52617,190.9245
7/22/2019 2:53:00 PM,192.43,192.44,192.43,192.44,57.84569,151.7354
7/22/2019 2:54:00 PM,192.44,192.45,192.4,192.41,52.68465,104.1474
7/22/2019 2:55:00 PM,192.42,192.46,192.42,192.46,59.2164,111.6178
7/22/2019 2:56:00 PM,192.47,192.48,192.47,192.48,61.50421,118.1557
7/22/2019 2:57:00 PM,192.47,192.49,192.46,192.48,63.6973,99.65439
7/22/2019 2:58:00 PM,192.48,192.5,192.48,192.5,65.79731,100.4852
7/22/2019 2:59:00 PM,192.5,192.52,192.49,192.52,67.80309,106.1458
7/22/2019 3:00:00 PM,192.52,192.57,192.49,192.54,69.71431,123.2958
7/22/2019 3:01:00 PM,192.54,192.59,192.53,192.59,73.88972,145.2396
7/22/2019 3:02:00 PM,192.59,192.65,192.59,192.64,77.26521,177.3283
7/22/2019 3:03:00 PM,192.64,192.76,192.64,192.73,81.82053,208.4131
7/22/2019 3:04:00 PM,192.73,192.93,192.73,192.9,87.08476,233.0049
7/22/2019 3:05:00 PM,192.9,192.94,192.8,192.82,75.94199,168.0899
7/22/2019 3:06:00 PM,192.83,192.91,192.83,192.85,77.12421,133.4892
7/22/2019 3:07:00 PM,192.86,192.86,192.79,192.79,69.7409,90.04629
7/22/2019 3:08:00 PM,192.79,192.79,192.77,192.77,67.42554,61.63131
7/22/2019 3:09:00 PM,192.77,192.79,192.74,192.74,63.99193,43.98755
7/22/2019 3:10:00 PM,192.74,192.78,192.73,192.75,64.63804,35.43002
7/22/2019 3:11:00 PM,192.74,192.74,192.72,192.72,61.09451,14.23315
7/22/2019 3:12:00 PM,192.72,192.72,192.68,192.68,56.6352,-16.85388
7/22/2019 3:13:00 PM,192.69,192.69,192.66,192.67,55.54452,-45.54343
7/22/2019 3:14:00 PM,192.67,192.67,192.63,192.63,51.28814,-84.8384
7/22/2019 3:15:00 PM,192.63,192.65,192.61,192.63,47.37826,-107.1217
7/22/2019 3:16:00 PM,192.63,192.68,192.61,192.68,52.27548,-86.13396
7/22/2019 3:17:00 PM,192.68,192.72,192.67,192.72,55.81944,-38.86058
7/22/2019 3:18:00 PM,192.72,192.73,192.69,192.69,52.66169,-31.34834
7/22/2019 3:19:00 PM,192.69,192.69,192.6,192.6,44.52414,-101.7331
7/22/2019 3:20:00 PM,192.6,192.65,192.6,192.65,49.21802,-91.75335
7/22/2019 3:21:00 PM,192.65,192.66,192.64,192.65,53.45884,-59.24183
7/22/2019 3:22:00 PM,192.65,192.65,192.54,192.54,44.62696,-153.1798
7/22/2019 3:23:00 PM,192.54,192.55,192.46,192.46,39.51484,-233.8376
7/22/2019 3:24:00 PM,192.45,192.48,192.43,192.44,38.33218,-220.1525
7/22/2019 3:25:00 PM,192.44,192.5,192.44,192.5,43.76814,-135.9252
7/22/2019 3:26:00 PM,192.5,192.56,192.5,192.53,46.31622,-69.90359
7/22/2019 3:27:00 PM,192.53,192.57,192.5,192.53,48.81408,-56.04971
7/22/2019 3:28:00 PM,192.53,192.56,192.53,192.55,50.4691,-37.34074
7/22/2019 3:29:00 PM,192.55,192.59,192.54,192.59,53.69278,-9.001835
7/22/2019 3:30:00 PM,192.61,192.61,192.57,192.57,51.87548,6.341373
7/22/2019 3:31:00 PM,192.57,192.58,192.51,192.53,48.34822,-30.78307
7/22/2019 3:32:00 PM,192.53,192.53,192.39,192.39,38.48671,-140
7/22/2019 3:33:00 PM,192.38,192.44,192.35,192.4,39.43642,-156.86
7/22/2019 3:34:00 PM,192.4,192.47,192.39,192.45,44.08751,-91.19389
7/22/2019 3:35:00 PM,192.45,192.46,192.36,192.37,38.9355,-118.5548
7/22/2019 3:36:00 PM,192.37,192.43,192.35,192.41,42.5511,-102.6243
7/22/2019 3:37:00 PM,192.4,192.43,192.37,192.42,43.45185,-77.95442
7/22/2019 3:38:00 PM,192.42,192.44,192.39,192.41,42.73034,-65.18924
7/22/2019 3:39:00 PM,192.41,192.42,192.37,192.38,40.55367,-76.71213
7/22/2019 3:40:00 PM,192.38,192.39,192.35,192.38,38.44468,-82.64066
7/22/2019 3:41:00 PM,192.38,192.4,192.37,192.39,39.5722,-63.95859
7/22/2019 3:42:00 PM,192.39,192.42,192.37,192.42,42.95006,-42.42001
7/22/2019 3:43:00 PM,192.43,192.47,192.38,192.4,41.29246,-16.52942
7/22/2019 3:44:00 PM,192.4,192.46,192.39,192.45,46.81758,43.88849
7/22/2019 3:45:00 PM,192.46,192.47,192.44,192.45,51.7117,155.5556
7/22/2019 3:46:00 PM,192.46,192.48,192.44,192.46,52.65106,157.3771
7/22/2019 3:47:00 PM,192.46,192.49,192.45,192.48,54.55236,153.3619
7/22/2019 3:48:00 PM,192.48,192.5,192.46,192.49,55.51566,145.9939
7/22/2019 3:49:00 PM,192.49,192.49,192.43,192.48,54.27672,88.50631
7/22/2019 3:50:00 PM,192.48,192.54,192.48,192.52,58.28402,150.1677
7/22/2019 3:51:00 PM,192.52,192.56,192.49,192.5,55.65743,127.2668
7/22/2019 3:52:00 PM,192.5,192.5,192.47,192.49,54.33983,66.72702
