Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14,,,,,,
9/3/2019 9:30,,,,,,9/3/2019 9:32,186.24,186.32,186,186.12,27.7325,-447.8105
9/3/2019 9:31,,,,,,9/3/2019 9:34,186.12,186.23,186.03,186.16,28.9978,-234.1198
9/3/2019 9:32,186.24,,,186.12,,9/3/2019 9:36,186.15,186.78,186.11,186.71,43.61352,-105.4921
9/3/2019 9:33,,,,,,9/3/2019 9:38,186.71,186.99,186.61,186.62,42.08662,-54.32481
9/3/2019 9:34,186.12,,,186.03,,9/3/2019 9:40,186.64,186.89,186.64,186.83,46.76907,-38.72006
9/3/2019 9:35,,,,,,9/3/2019 9:42,186.83,186.93,186.56,186.57,42.21806,-47.80341
9/3/2019 9:36,,,,,,9/3/2019 9:44,186.57,186.85,186.49,186.8,47.12013,-37.34971
9/3/2019 9:37,,,,,,9/3/2019 9:46,186.81,186.96,186.73,186.92,49.52606,-7.945395
9/3/2019 9:38,,,,,,9/3/2019 9:48,186.92,186.95,186.67,186.78,46.84794,-16.01621
9/3/2019 9:39,,,,,,9/3/2019 9:50,186.78,186.8,186.38,186.62,43.92451,-46.47007
9/3/2019 9:40,,,,,,9/3/2019 9:52,186.62,187.12,186.62,187.03,52.16236,20.82397
9/3/2019 9:41,,,,,,9/3/2019 9:54,187.03,187.17,187.02,187.1,53.42064,70.16566
9/3/2019 9:42,,,,,,9/3/2019 9:56,187.1,187.18,186.95,187,51.34307,76.89672
9/3/2019 9:43,,,,,,9/3/2019 9:58,187,187.02,186.86,186.86,48.49948,63.65041
9/3/2019 9:44,,,,,,9/3/2019 10:00,186.86,186.99,186.84,186.98,51.00424,64.28875
9/3/2019 9:45,,,,,,9/3/2019 10:02,186.96,186.96,186.03,186.11,36.96642,-181.6174
9/3/2019 9:46,,,,,,9/3/2019 10:04,186.1,186.39,186.06,186.18,38.43449,-204.4037
9/3/2019 9:47,,,,,,9/3/2019 10:06,186.17,186.17,185.53,185.67,32.49565,-231.6625
9/3/2019 9:48,,,,,,9/3/2019 10:08,185.67,185.78,185.38,185.59,31.66897,-191.7409
9/3/2019 9:49,,,,,,9/3/2019 10:10,185.57,185.71,185.44,185.63,32.59251,-140.5928
9/3/2019 9:50,,,,,,9/3/2019 10:12,185.63,185.81,185.55,185.7,34.26632,-102.3156
9/3/2019 9:51,,,,,,9/3/2019 10:14,185.7,185.7,185.46,185.52,32.0615,-99.75027
9/3/2019 9:52,,,,,,9/3/2019 10:16,185.52,185.59,185.26,185.5,31.81648,-95.36533
9/3/2019 9:53,,,,,,9/3/2019 10:18,185.49,185.66,185.49,185.63,35.27824,-68.33871
9/3/2019 9:54,,,,,,9/3/2019 10:20,185.63,185.7,185.58,185.6,34.83869,-56.41213
9/3/2019 9:55,,,,,,9/3/2019 10:22,185.61,185.77,185.58,185.74,38.6786,-41.4873
9/3/2019 9:56,,,,,,9/3/2019 10:24,185.75,185.81,185.61,185.81,40.56435,-28.05812
9/3/2019 9:57,,,,,,9/3/2019 10:26,185.81,185.81,185.59,185.59,36.73988,-36.00624
