Date,Open,High,Low,Close,Moving Average 21,Moving Average 43,Moving Average 178,Wilder's RSI 14,Commodity Channel Index (CCI) 14
9/13/2019 2:11:00 PM,192.67,192.68,192.59,192.6,,,,,
9/13/2019 2:12:00 PM,192.59,192.62,192.58,192.6,,,,,
9/13/2019 2:13:00 PM,192.59,192.71,192.59,192.7,,,,,
9/13/2019 2:14:00 PM,192.7,192.73,192.69,192.69,,,,,
9/13/2019 2:15:00 PM,192.69,192.7,192.61,192.63,,,,,
9/13/2019 2:16:00 PM,192.63,192.63,192.58,192.63,,,,,
9/13/2019 2:17:00 PM,192.61,192.66,192.58,192.6,,,,,
9/13/2019 2:18:00 PM,192.61,192.62,192.59,192.6,,,,,
9/13/2019 2:19:00 PM,192.59,192.62,192.56,192.56,,,,,
9/13/2019 2:20:00 PM,192.55,192.56,192.51,192.54,,,,,
9/13/2019 2:21:00 PM,192.54,192.58,192.54,192.54,,,,,
9/13/2019 2:22:00 PM,192.54,192.55,192.51,192.54,,,,,
9/13/2019 2:23:00 PM,192.54,192.58,192.54,192.55,,,,,
9/13/2019 2:24:00 PM,192.55,192.63,192.55,192.62,,,,,-3.90925
9/13/2019 2:25:00 PM,192.62,192.7,192.62,192.65,,,,,89.17098
9/13/2019 2:26:00 PM,192.65,192.66,192.63,192.64,,,,55.26242,57.47858
9/13/2019 2:27:00 PM,192.63,192.63,192.55,192.56,,,,45.04848,-37.02636
9/13/2019 2:28:00 PM,192.56,192.58,192.52,192.54,,,,42.9127,-83.00172
9/13/2019 2:29:00 PM,192.54,192.56,192.52,192.55,,,,44.33485,-79.19711
9/13/2019 2:30:00 PM,192.55,192.61,192.55,192.61,,,,52.0461,18.71532
9/13/2019 2:31:00 PM,192.61,192.65,192.61,192.65,192.6,,,56.3835,107.8252
9/13/2019 2:32:00 PM,192.66,192.7,192.64,192.7,192.6048,,,61.11873,154.6075
9/13/2019 2:33:00 PM,192.7,192.72,192.69,192.69,192.609,,,59.72306,143.5015
9/13/2019 2:34:00 PM,192.69,192.73,192.68,192.69,192.6086,,,58.28961,116.8251
9/13/2019 2:35:00 PM,192.69,192.73,192.69,192.7,192.609,,,59.34057,105.175
9/13/2019 2:36:00 PM,192.69,192.7,192.66,192.69,192.6119,,,57.77291,67.937
9/13/2019 2:37:00 PM,192.69,192.69,192.66,192.68,192.6143,,,56.17236,52.54964
9/13/2019 2:38:00 PM,192.69,192.69,192.64,192.64,192.6162,,,50.18953,20.28888
9/13/2019 2:39:00 PM,192.64,192.68,192.63,192.66,192.619,,,52.89223,20.28888
9/13/2019 2:40:00 PM,192.66,192.75,192.66,192.67,192.6243,,,54.2285,65.24758
9/13/2019 2:41:00 PM,192.67,192.7,192.66,192.7,192.6319,,,58.07286,50.82438
9/13/2019 2:42:00 PM,192.7,192.76,192.7,192.75,192.6419,,,63.56592,126.4774
9/13/2019 2:43:00 PM,192.75,192.83,192.73,192.74,192.6514,,,61.82245,189.1676
9/13/2019 2:44:00 PM,192.74,192.78,192.71,192.78,192.6624,,,65.85789,147.3684
9/13/2019 2:45:00 PM,192.78,192.81,192.75,192.76,192.6691,,,62.31007,148.6393
9/13/2019 2:46:00 PM,192.76,192.76,192.72,192.74,192.6733,,,58.89585,63.03194
9/13/2019 2:47:00 PM,192.74,192.74,192.7,192.7,192.6762,,,52.67455,5.949256
9/13/2019 2:48:00 PM,192.69,192.69,192.62,192.62,192.679,,,42.91304,-118.5627
9/13/2019 2:49:00 PM,192.62,192.62,192.57,192.59,192.6814,,,39.92524,-165.1563
9/13/2019 2:50:00 PM,192.59,192.65,192.59,192.61,192.6843,,,42.78592,-110.3422
9/13/2019 2:51:00 PM,192.6,192.66,192.6,192.65,192.6862,,,48.10628,-73.10629
9/13/2019 2:52:00 PM,192.65,192.72,192.64,192.72,192.6895,,,55.84637,0
9/13/2019 2:53:00 PM,192.72,192.77,192.71,192.71,192.69,192.6463,,54.59443,44.90324
9/13/2019 2:54:00 PM,192.71,192.71,192.65,192.67,192.689,192.6479,,49.78331,-28.8651
9/13/2019 2:55:00 PM,192.68,192.68,192.65,192.67,192.6881,192.6495,,45.4682,-39.62761
9/13/2019 2:56:00 PM,192.67,192.72,192.64,192.72,192.689,192.65,,51.16543,0.6816986
9/13/2019 2:57:00 PM,192.72,192.72,192.69,192.7,192.6895,192.6502,,48.96159,23.59436
9/13/2019 2:58:00 PM,192.7,192.75,192.67,192.74,192.6924,192.6528,,53.29456,56.94889
9/13/2019 2:59:00 PM,192.74,192.78,192.7,192.71,192.6957,192.6546,,49.87547,84.26378
9/13/2019 3:00:00 PM,192.69,192.73,192.67,192.73,192.6991,192.6577,,52.08146,55.19238
9/13/2019 3:01:00 PM,192.73,192.74,192.64,192.66,192.6986,192.6591,,44.66842,3.783824
9/13/2019 3:02:00 PM,192.66,192.66,192.6,192.61,192.6943,192.6602,,40.25967,-100.8939
9/13/2019 3:03:00 PM,192.61,192.62,192.55,192.6,192.6871,192.6616,,39.42213,-162.0899
9/13/2019 3:04:00 PM,192.6,192.64,192.57,192.58,192.6795,192.6626,,37.73024,-139.7129
9/13/2019 3:05:00 PM,192.58,192.6,192.57,192.58,192.67,192.6635,,36.06345,-138.5131
9/13/2019 3:06:00 PM,192.58,192.62,192.57,192.57,192.6609,192.664,,35.22615,-106.2283
9/13/2019 3:07:00 PM,192.57,192.57,192.45,192.45,192.6471,192.66,,27.09222,-178.6633
9/13/2019 3:08:00 PM,192.45,192.49,192.44,192.49,192.6371,192.6563,,32.67357,-154.1709
9/13/2019 3:09:00 PM,192.48,192.48,192.41,192.41,192.6272,192.6509,,28.04952,-153.4128
9/13/2019 3:10:00 PM,192.41,192.44,192.39,192.39,192.6176,192.647,,27.01981,-146.2984
9/13/2019 3:11:00 PM,192.38,192.44,192.34,192.44,192.6095,192.6447,,33.58318,-118.408
9/13/2019 3:12:00 PM,192.44,192.5,192.43,192.45,192.6,192.6423,,34.84449,-67.17143
9/13/2019 3:13:00 PM,192.45,192.46,192.43,192.43,192.5862,192.6381,,33.47424,-69.8395
9/13/2019 3:14:00 PM,192.43,192.46,192.42,192.46,192.5743,192.6337,,37.4488,-56.61246
9/13/2019 3:15:00 PM,192.46,192.48,192.39,192.42,192.5624,192.6272,,34.49069,-64.15617
9/13/2019 3:16:00 PM,192.41,192.41,192.29,192.3,192.5448,192.6181,,27.47964,-144.9753
9/13/2019 3:17:00 PM,192.3,192.35,192.29,192.32,192.5257,192.6095,,30.03304,-144.5452
9/13/2019 3:18:00 PM,192.32,192.37,192.31,192.31,192.5071,192.6005,,29.47382,-123.5657
9/13/2019 3:19:00 PM,192.32,192.36,192.3,192.34,192.4881,192.5923,,33.47189,-103.4268
9/13/2019 3:20:00 PM,192.34,192.41,192.33,192.38,192.4724,192.5853,,38.48082,-44.44846
9/13/2019 3:21:00 PM,192.38,192.41,192.33,192.39,192.4562,192.5795,,39.70215,-30.44599
9/13/2019 3:22:00 PM,192.39,192.42,192.35,192.35,192.4414,192.5723,,36.57321,-27.05172
9/13/2019 3:23:00 PM,192.35,192.42,192.34,192.42,192.4324,192.5665,,44.77594,10.223
9/13/2019 3:24:00 PM,192.42,192.44,192.4,192.42,192.4238,192.56,,51.52697,53.08845
9/13/2019 3:25:00 PM,192.42,192.48,192.41,192.48,192.4191,192.5537,,56.44254,99.63193
9/13/2019 3:26:00 PM,192.47,192.5,192.45,192.46,192.4133,192.5472,,54.46101,117.1141
9/13/2019 3:27:00 PM,192.46,192.49,192.45,192.49,192.4095,192.5405,,56.90617,115.6643
9/13/2019 3:28:00 PM,192.48,192.5,192.46,192.5,192.4119,192.5344,,57.72067,117.6013
9/13/2019 3:29:00 PM,192.5,192.51,192.47,192.48,192.4114,192.5284,,55.46116,102.7637
9/13/2019 3:30:00 PM,192.48,192.5,192.48,192.49,192.4152,192.5235,,56.38128,90.97081
9/13/2019 3:31:00 PM,192.49,192.51,192.44,192.47,192.4191,192.52,,53.98118,61.854
9/13/2019 3:32:00 PM,192.46,192.5,192.45,192.47,192.4205,192.5172,,51.61496,53.71049
9/13/2019 3:33:00 PM,192.48,192.53,192.46,192.5,192.4229,192.5146,,54.81374,80.04632
9/13/2019 3:34:00 PM,192.49,192.52,192.48,192.49,192.4257,192.5109,,53.54368,75.7664
9/13/2019 3:35:00 PM,192.49,192.56,192.49,192.56,192.4305,192.5072,,60.45414,147.3903
9/13/2019 3:36:00 PM,192.56,192.63,192.55,192.63,192.4405,192.5054,,65.91548,259.4838
9/13/2019 3:37:00 PM,192.63,192.66,192.6,192.61,192.4552,192.504,,63.22844,218.0773
9/13/2019 3:38:00 PM,192.61,192.62,192.59,192.61,192.4691,192.5026,,60.5694,137.348
9/13/2019 3:39:00 PM,192.62,192.63,192.56,192.56,192.481,192.4988,,54.40986,83.40742
9/13/2019 3:40:00 PM,192.56,192.58,192.55,192.56,192.4914,192.4956,,49.03925,47.12062
9/13/2019 3:41:00 PM,192.56,192.58,192.5,192.53,192.4986,192.4907,,46.09935,5.80622
9/13/2019 3:42:00 PM,192.52,192.56,192.52,192.56,192.5067,192.4872,,49.36821,14.90702
9/13/2019 3:43:00 PM,192.56,192.59,192.56,192.59,192.5181,192.4839,,52.4723,56.34606
9/13/2019 3:44:00 PM,192.59,192.64,192.59,192.63,192.5281,192.4833,,56.31858,101.0698
9/13/2019 3:45:00 PM,192.62,192.68,192.61,192.66,192.5395,192.4844,,58.99797,127.9257
9/13/2019 3:46:00 PM,192.66,192.71,192.64,192.66,192.5481,192.4858,,61.53864,140.5179
9/13/2019 3:47:00 PM,192.66,192.7,192.65,192.66,192.5576,192.4877,,63.94465,121.4853
9/13/2019 3:48:00 PM,192.65,192.65,192.58,192.6,192.5629,192.4881,,56.35195,18.41199
9/13/2019 3:49:00 PM,192.6,192.62,192.58,192.59,192.5671,192.4886,,55.17487,-16.15167
9/13/2019 3:50:00 PM,192.58,192.66,192.58,192.66,192.5757,192.4935,,61.26839,54.1361
9/13/2019 3:51:00 PM,192.66,192.77,192.66,192.7,192.5857,192.4984,,64.25762,163.7251
9/13/2019 3:52:00 PM,192.7,192.7,192.65,192.66,192.5948,192.5042,,59.3267,81.31864
9/13/2019 3:53:00 PM,192.67,192.71,192.64,192.66,192.6038,192.5105,,54.79819,70.24348
9/13/2019 3:54:00 PM,192.66,192.7,192.65,192.7,192.6133,192.5165,,58.23169,79.63216
9/13/2019 3:55:00 PM,192.71,192.76,192.65,192.68,192.6224,192.5219,,55.9427,91.04865
9/13/2019 3:56:00 PM,192.68,192.86,192.6,192.64,192.6262,192.5267,,51.57759,90.50578
9/13/2019 3:57:00 PM,192.64,192.65,192.59,192.61,192.6252,192.5302,,48.51937,-87.43472
