Date,Open,High,Low,Close,Moving Average 21,Moving Average 43
9/18/2019 14:11,191.39,191.41,191.16,191.2,,
9/18/2019 14:12,191.2,191.22,191.02,191.07,,
9/18/2019 14:13,191.06,191.3,191.01,191.21,,
9/18/2019 14:14,191.2,191.2,190.92,190.96,,
9/18/2019 14:15,190.95,191,190.59,190.66,,
9/18/2019 14:16,190.65,190.71,190.48,190.59,,
9/18/2019 14:17,190.59,190.66,190.42,190.64,,
9/18/2019 14:18,190.65,190.93,190.61,190.81,,
9/18/2019 14:19,190.8,190.86,190.73,190.84,,
9/18/2019 14:20,190.81,190.84,190.61,190.68,,
9/18/2019 14:21,190.67,190.67,190.37,190.38,,
9/18/2019 14:22,190.39,190.65,190.38,190.65,,
9/18/2019 14:23,190.65,190.77,190.64,190.73,,
9/18/2019 14:24,190.73,190.74,190.57,190.67,,
9/18/2019 14:25,190.67,190.71,190.59,190.6,,
9/18/2019 14:26,190.61,190.62,190.45,190.52,,
9/18/2019 14:27,190.52,190.61,190.5,190.53,,
9/18/2019 14:28,190.53,190.65,190.5,190.6,,
9/18/2019 14:29,190.6,190.63,190.51,190.54,,
9/18/2019 14:30,190.54,190.56,190.42,190.53,,
9/18/2019 14:31,190.54,190.57,190.38,190.42,190.7062,
9/18/2019 14:32,190.4,190.62,190.29,190.6,190.6776,
9/18/2019 14:33,190.56,190.59,190.38,190.43,190.6471,
9/18/2019 14:34,190.42,190.57,190.4,190.57,190.6167,
9/18/2019 14:35,190.56,190.75,190.47,190.72,190.6052,
9/18/2019 14:36,190.71,190.74,190.5,190.56,190.6005,
9/18/2019 14:37,190.54,190.62,190.36,190.62,190.6019,
9/18/2019 14:38,190.61,190.63,190.48,190.55,190.5976,
9/18/2019 14:39,190.55,190.6,190.42,190.43,190.5795,
9/18/2019 14:40,190.42,190.54,190.35,190.5,190.5633,
9/18/2019 14:41,190.49,190.61,190.42,190.5,190.5548,
9/18/2019 14:42,190.5,190.6,190.46,190.56,190.5633,
9/18/2019 14:43,190.54,190.8,190.5,190.77,190.569,
9/18/2019 14:44,190.78,190.78,190.52,190.68,190.5667,
9/18/2019 14:45,190.67,190.7,190.59,190.7,190.5681,
9/18/2019 14:46,190.68,190.68,190.46,190.54,190.5652,
9/18/2019 14:47,190.54,190.56,190.22,190.32,190.5557,
9/18/2019 14:48,190.32,190.34,190.12,190.17,190.5386,
9/18/2019 14:49,190.17,190.24,190.11,190.19,190.519,
9/18/2019 14:50,190.19,190.4,190.16,190.35,190.51,
9/18/2019 14:51,190.35,190.48,190.29,190.45,190.5062,
9/18/2019 14:52,190.45,190.62,190.45,190.56,190.5129,
9/18/2019 14:53,190.57,190.78,190.56,190.73,190.519,190.6123
9/18/2019 14:54,190.73,190.91,190.73,190.88,190.5405,190.6049
9/18/2019 14:55,190.86,190.97,190.85,190.86,190.5543,190.6
9/18/2019 14:56,190.86,190.91,190.75,190.79,190.5576,190.5902
9/18/2019 14:57,190.78,190.81,190.71,190.78,190.5681,190.586
9/18/2019 14:58,190.78,190.84,190.74,190.77,190.5752,190.5886
9/18/2019 14:59,190.77,190.8,190.72,190.73,190.5838,190.5919
9/18/2019 15:00,190.72,190.83,190.72,190.83,190.6029,190.5963
9/18/2019 15:01,190.82,190.94,190.76,190.9,190.6219,190.5984
9/18/2019 15:02,190.89,190.9,190.77,190.77,190.6348,190.5967
9/18/2019 15:03,190.77,190.8,190.63,190.77,190.6448,190.5988
9/18/2019 15:04,190.76,190.77,190.67,190.73,190.6429,190.607
9/18/2019 15:05,190.73,190.88,190.73,190.82,190.6495,190.6109
9/18/2019 15:06,190.82,190.85,190.76,190.81,190.6548,190.6128
9/18/2019 15:07,190.82,190.85,190.79,190.85,190.6695,190.617
9/18/2019 15:08,190.86,191,190.86,191,190.7019,190.6263
9/18/2019 15:09,191,191.17,190.99,191.15,190.7486,190.6409
9/18/2019 15:10,191.15,191.16,191.09,191.11,190.7924,190.6544
9/18/2019 15:11,191.11,191.26,191.11,191.22,190.8338,190.6688
9/18/2019 15:12,191.23,191.34,191.2,191.3,190.8743,190.6865
9/18/2019 15:13,191.31,191.41,191.31,191.32,190.9105,190.7049
9/18/2019 15:14,191.31,191.34,191.27,191.29,190.9371,190.7251
9/18/2019 15:15,191.29,191.31,191.24,191.3,190.9571,190.7414
9/18/2019 15:16,191.31,191.32,191.25,191.25,190.9757,190.7605
9/18/2019 15:17,191.24,191.36,191.23,191.36,191.0029,190.7788
9/18/2019 15:18,191.36,191.46,191.36,191.42,191.0333,190.7951
9/18/2019 15:19,191.42,191.46,191.4,191.41,191.0638,190.8149
9/18/2019 15:20,191.41,191.54,191.39,191.51,191.101,190.8356
9/18/2019 15:21,191.51,191.6,191.5,191.6,191.1376,190.86
9/18/2019 15:22,191.6,191.63,191.51,191.51,191.1667,190.8851
9/18/2019 15:23,191.52,191.53,191.46,191.46,191.1995,190.9074
9/18/2019 15:24,191.46,191.48,191.42,191.43,191.231,190.9291
9/18/2019 15:25,191.43,191.55,191.43,191.54,191.2695,190.9519
9/18/2019 15:26,191.54,191.61,191.52,191.57,191.3052,190.9705
9/18/2019 15:27,191.57,191.7,191.57,191.64,191.3448,190.9928
9/18/2019 15:28,191.65,191.69,191.62,191.69,191.3848,191.0158
9/18/2019 15:29,191.69,191.74,191.66,191.66,191.4162,191.0419
9/18/2019 15:30,191.67,191.7,191.62,191.67,191.4409,191.0733
9/18/2019 15:31,191.67,191.76,191.67,191.72,191.47,191.1093
9/18/2019 15:32,191.71,191.77,191.68,191.76,191.4957,191.1458
9/18/2019 15:33,191.76,191.95,191.76,191.95,191.5267,191.183
9/18/2019 15:34,191.96,192.1,191.96,192.09,191.5633,191.2212
9/18/2019 15:35,192.1,192.28,192.09,192.26,191.6095,191.2607
9/18/2019 15:36,192.26,192.43,192.19,192.34,191.659,191.2981
9/18/2019 15:37,192.36,192.37,192.18,192.18,191.7033,191.3284
9/18/2019 15:38,192.19,192.24,192.17,192.18,191.7424,191.3591
9/18/2019 15:39,192.18,192.32,192.18,192.26,191.7824,191.3932
9/18/2019 15:40,192.26,192.29,192.24,192.26,191.8229,191.4277
9/18/2019 15:41,192.26,192.35,192.23,192.32,191.8614,191.4637
9/18/2019 15:42,192.32,192.49,192.32,192.42,191.9005,191.503
9/18/2019 15:43,192.43,192.44,192.27,192.32,191.939,191.5377
9/18/2019 15:44,192.32,192.37,192.26,192.36,191.9819,191.5716
9/18/2019 15:45,192.36,192.54,192.35,192.49,192.0324,191.6116
9/18/2019 15:46,192.5,192.59,192.4,192.4,192.0733,191.6495
9/18/2019 15:47,192.41,192.48,192.38,192.38,192.1119,191.6879
9/18/2019 15:48,192.38,192.39,192.34,192.34,192.1452,191.7233
