Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
4/23/2010 12:00:00 AM,49.36,50.57,48.9,50.52,,
4/30/2010 12:00:00 AM,50.53,50.65,48.98,49.24,,
5/7/2010 12:00:00 AM,49.43,50.17,41.55,45.41,,
5/14/2010 12:00:00 AM,47.42,48.79,46.38,46.93,,
5/21/2010 12:00:00 AM,47.04,47.58,43.49,44.84,,
5/28/2010 12:00:00 AM,44.81,45.99,43.23,45.6,,
6/4/2010 12:00:00 AM,45.46,46.77,44.94,45.09,,
6/11/2010 12:00:00 AM,45.33,45.54,43.59,45.5,,
6/18/2010 12:00:00 AM,45.92,47.34,45.41,47,,
6/25/2010 12:00:00 AM,47.6,47.68,44.95,45.27,,
7/2/2010 12:00:00 AM,45.27,45.55,41.77,42.47,,
7/9/2010 12:00:00 AM,43.09,44.63,42.25,44.62,,
7/16/2010 12:00:00 AM,44.61,45.81,44.3,44.34,,
7/23/2010 12:00:00 AM,44.47,46.1,43.86,46.06,,-28.73085
7/30/2010 12:00:00 AM,46.13,46.72,45.07,45.81,,14.04884
8/6/2010 12:00:00 AM,46.39,46.99,46.05,46.76,41.36822,96.19136
8/13/2010 12:00:00 AM,47.01,47.19,44.45,44.72,37.57779,3.233951
8/20/2010 12:00:00 AM,44.48,45.82,44.3,44.92,38.17587,-23.00487
8/27/2010 12:00:00 AM,45.21,45.34,42.97,44.07,36.57208,-91.7562
9/3/2010 12:00:00 AM,43.86,46.02,43.18,46.01,42.50857,-9.157811
9/10/2010 12:00:00 AM,45.82,46.7,45.62,46.6,44.21849,91.01458
9/17/2010 12:00:00 AM,46.97,48.14,46.94,48,48.15861,162.8566
9/24/2010 12:00:00 AM,48.18,49.69,48.11,49.66,52.44761,208.3478
10/1/2010 12:00:00 AM,49.63,49.84,48.59,49.01,50.67952,158.3753
10/8/2010 12:00:00 AM,48.87,49.87,48.2,49.75,52.6371,132.614
10/15/2010 12:00:00 AM,49.78,51.5,49.26,51.49,56.96262,152.3629
10/22/2010 12:00:00 AM,51.5,51.72,50.42,51.64,57.32444,135.0379
10/29/2010 12:00:00 AM,51.86,52.49,51.42,52.18,58.67154,131.0147
11/5/2010 12:00:00 AM,52.37,53.86,51.98,53.67,62.21563,133.8999
11/12/2010 12:00:00 AM,53.58,54.04,52.11,52.51,58.04253,107.3986
11/19/2010 12:00:00 AM,52.76,52.88,50.85,52.47,57.89832,78.13577
11/26/2010 12:00:00 AM,52.26,53.25,51.77,52.77,58.72661,80.06938
12/3/2010 12:00:00 AM,52.69,53.94,51.88,53.87,61.70181,88.17987
12/10/2010 12:00:00 AM,53.88,54.55,53.68,54.5,63.33211,111.8156
12/17/2010 12:00:00 AM,54.7,54.74,54.03,54.52,63.3854,110.2412
12/23/2010 12:00:00 AM,54.62,54.96,54.16,54.74,64.00506,111.0407
12/31/2010 12:00:00 AM,54.61,54.92,54.21,54.46,62.55403,95.90064
1/7/2011 12:00:00 AM,54.97,56.05,54.92,55.87,66.65371,133.1225
1/14/2011 12:00:00 AM,55.75,57.02,55.58,57,69.53259,154.0216
1/21/2011 12:00:00 AM,56.57,57.26,55.65,55.68,62.72071,117.4592
1/28/2011 12:00:00 AM,55.78,57.35,55.47,55.73,62.86909,104.365
2/4/2011 12:00:00 AM,55.81,57.42,55.39,57.38,67.47062,116.9259
2/11/2011 12:00:00 AM,57.49,58.48,57.4,58.44,70.03938,148.2746
2/18/2011 12:00:00 AM,58.44,59.04,58.23,58.73,70.7206,142.1771
2/25/2011 12:00:00 AM,57.93,58.13,56.13,57.65,64.81055,75.81336
