Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
8/27/2019 11:00:00 AM,185.97,186.18,185.32,185.37,,
8/27/2019 12:00:00 PM,185.37,185.55,184.32,184.72,,
8/27/2019 1:00:00 PM,184.72,184.91,183.82,183.88,,
8/27/2019 2:00:00 PM,183.88,186.14,183.71,184.77,,
8/27/2019 3:00:00 PM,184.77,185.08,184.2,184.98,,
8/27/2019 4:00:00 PM,184.99,185.42,184.34,184.43,,
8/28/2019 10:00:00 AM,183.86,184.23,182.91,184.04,,
8/28/2019 11:00:00 AM,184.06,184.82,183.88,184.61,,
8/28/2019 12:00:00 PM,184.61,185.25,184.24,185.04,,
8/28/2019 1:00:00 PM,185.03,185.11,184.67,185.04,,
8/28/2019 2:00:00 PM,185.05,185.05,184.44,184.81,,
8/28/2019 3:00:00 PM,184.81,185.25,184.68,185.19,,
8/28/2019 4:00:00 PM,185.18,185.4,184.82,185.09,,
8/29/2019 10:00:00 AM,187.39,188.34,187.32,188.11,,366.356
8/29/2019 11:00:00 AM,188.1,188.13,186.68,187.61,,212.9717
8/29/2019 12:00:00 PM,187.6,188.21,187.49,187.97,64.25443,163.7477
8/29/2019 1:00:00 PM,187.98,188.26,187.82,188.06,64.6303,127.8635
8/29/2019 2:00:00 PM,188.07,188.39,185.13,188.3,65.66715,71.77352
8/29/2019 3:00:00 PM,188.32,188.46,187.89,187.99,63.09441,92.1749
8/29/2019 4:00:00 PM,187.98,188.09,187.68,187.92,62.4989,70.71095
8/30/2019 10:00:00 AM,188.91,188.97,188.24,188.41,64.98969,87.23518
8/30/2019 11:00:00 AM,188.42,188.7,187.76,187.77,59.43688,59.74735
8/30/2019 12:00:00 PM,187.75,187.87,186.41,187.14,54.5004,7.048089
8/30/2019 1:00:00 PM,187.15,187.91,186.83,187.22,55.01139,9.345354
8/30/2019 2:00:00 PM,187.21,187.31,186.87,187.06,53.71216,-24.57199
8/30/2019 3:00:00 PM,187.05,187.41,186.9,187.02,53.37285,-45.46526
8/30/2019 4:00:00 PM,187.02,187.67,186.7,187.52,57.02776,-57.84521
9/3/2019 10:00:00 AM,186.24,187.18,186,186.98,52.26294,-126.1001
9/3/2019 11:00:00 AM,186.96,186.96,185.26,186.46,48.09573,-159.0685
9/3/2019 12:00:00 PM,186.46,186.46,185.56,186.13,45.61019,-154.4047
9/3/2019 1:00:00 PM,186.13,186.3,185.67,185.77,42.99954,-144.7439
9/3/2019 2:00:00 PM,185.77,185.95,185.03,185.11,38.63358,-157.4845
9/3/2019 3:00:00 PM,185.11,185.42,185.07,185.27,40.2183,-133.3208
9/3/2019 4:00:00 PM,185.28,185.97,185.14,185.66,44.01341,-89.36275
9/4/2019 10:00:00 AM,187.42,187.9,187.3,187.44,57.32828,81.14942
9/4/2019 11:00:00 AM,187.44,187.61,186.9,187.33,56.43505,67.07124
9/4/2019 12:00:00 PM,187.34,187.84,187.29,187.78,59.23337,93.1618
9/4/2019 1:00:00 PM,187.78,188.14,187.53,188.08,61.03053,109.1084
9/4/2019 2:00:00 PM,188.08,188.23,187.86,187.9,59.34016,102.9349
9/4/2019 3:00:00 PM,187.9,188.1,187.78,188.02,60.13295,89.31014
9/4/2019 4:00:00 PM,188.02,188.49,188.02,188.33,62.18407,99.60475
9/5/2019 10:00:00 AM,190.39,191.4,190.34,191.27,75.21039,212.5947
9/5/2019 11:00:00 AM,191.28,192.32,191.27,191.7,76.48615,201.317
9/5/2019 12:00:00 PM,191.7,191.96,191.51,191.53,74.84618,157.6274
9/5/2019 1:00:00 PM,191.52,191.77,191.38,191.53,73.15693,118.9474
9/5/2019 2:00:00 PM,191.54,191.62,191.18,191.47,72.53471,91.26385
9/5/2019 3:00:00 PM,191.48,191.79,191.31,191.74,73.62202,81.4843
