Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
12/5/2017 12:00:00 AM,41.16,42.45,39.21,39.45,,
12/6/2017 12:00:00 AM,38.5,44.55,37.81,44.26,,
12/7/2017 12:00:00 AM,43.02,45.44,42.07,42.52,,
12/8/2017 12:00:00 AM,43.15,44.98,42.1,44.79,,
12/11/2017 12:00:00 AM,45,48.2,44.43,47.98,,
12/12/2017 12:00:00 AM,48.06,48.7,46.5,46.95,,
12/13/2017 12:00:00 AM,47.79,48.66,44.25,45.46,,
12/14/2017 12:00:00 AM,47.49,48.52,45.63,46.15,,
12/15/2017 12:00:00 AM,47.48,53.17,46.76,52.31,,
12/18/2017 12:00:00 AM,54.55,57.25,53.01,56.1,,
12/19/2017 12:00:00 AM,57.71,58.8,53.92,56.58,,
12/20/2017 12:00:00 AM,56.58,56.74,52.43,52.89,,
12/21/2017 12:00:00 AM,52.4,55.1,52.3,53.85,,
12/22/2017 12:00:00 AM,52.5,53.69,51.32,51.62,,54.56661
12/26/2017 12:00:00 AM,51.2,54.9,51.01,54.87,,64.30853
12/27/2017 12:00:00 AM,55.2,56.7,54.61,54.76,71.32906,81.74469
12/28/2017 12:00:00 AM,54.85,55.09,53.03,53.19,68.11994,48.08488
12/29/2017 12:00:00 AM,53.3,53.6,51.5,51.78,65.27942,11.66964
1/2/2018 12:00:00 AM,52.64,52.85,50.35,52.07,65.59717,-9.473938
1/3/2018 12:00:00 AM,52.8,57.42,52.72,55.44,69.13238,72.68761
1/4/2018 12:00:00 AM,51.56,52.78,50.21,51.24,60.75332,-58.38197
1/5/2018 12:00:00 AM,48.06,48.99,46.13,46.28,52.63922,-214.6255
1/8/2018 12:00:00 AM,45.14,48.36,42.79,47.47,54.21903,-196.8671
1/9/2018 12:00:00 AM,46.75,48.11,44.26,44.73,50.077,-164.0569
1/10/2018 12:00:00 AM,43.2,45.75,42.91,44.71,50.04695,-147.6974
1/11/2018 12:00:00 AM,45,45.61,43.7,43.87,48.7243,-115.725
1/12/2018 12:00:00 AM,44.5,44.57,43.05,43.38,47.92858,-105.0872
1/16/2018 12:00:00 AM,43.41,43.75,39.1,39.19,41.66289,-126.5907
1/17/2018 12:00:00 AM,39.47,42.09,39.47,41.54,45.93214,-104.8871
1/18/2018 12:00:00 AM,41.2,41.84,40.66,40.76,44.76124,-95.32269
1/19/2018 12:00:00 AM,40.61,41.35,40.1,40.22,43.92638,-94.88519
1/22/2018 12:00:00 AM,40.1,43.82,39.53,43.62,50.22174,-57.42336
1/23/2018 12:00:00 AM,45.64,46.75,42.54,42.62,48.49716,-19.02715
1/24/2018 12:00:00 AM,43.44,43.9,41.3,42.25,47.84253,-43.11563
1/25/2018 12:00:00 AM,42.85,44.7,41.85,44.1,51.37661,6.786675
1/26/2018 12:00:00 AM,44.36,44.89,42.77,42.91,49.07324,18.02422
1/29/2018 12:00:00 AM,42.25,43.36,41.91,42.36,48.00207,-15.66652
1/30/2018 12:00:00 AM,41.25,42.23,40.8,41.52,46.33844,-58.97178
1/31/2018 12:00:00 AM,42.3,42.3,40.48,40.62,44.55664,-69.97208
2/1/2018 12:00:00 AM,40.36,41.73,39.42,39.92,43.16636,-99.51159
2/2/2018 12:00:00 AM,40.57,42.12,40,40.46,44.60238,-61.03432
2/5/2018 12:00:00 AM,39.97,41.86,39.52,40.17,43.95998,-81.14266
2/6/2018 12:00:00 AM,39.01,42,39.01,41.9,48.70615,-52.40564
2/7/2018 12:00:00 AM,42.73,46.45,42.55,45.69,57.24842,150.9525
2/8/2018 12:00:00 AM,46.04,47.35,43.56,43.7,52.32139,127.2637
2/9/2018 12:00:00 AM,45,45.35,40.1,42.46,49.46464,11.2522
2/12/2018 12:00:00 AM,43.56,44,41.83,43.23,51.24483,35.87682
2/13/2018 12:00:00 AM,42.22,43.69,42.14,43.02,50.72007,29.67795
2/14/2018 12:00:00 AM,42.95,46.1,42.87,44.85,55.04072,106.833
2/15/2018 12:00:00 AM,45.8,46.1,44.37,45.64,56.80152,126.9014
2/16/2018 12:00:00 AM,45.6,49.4,45.4,48.13,61.87037,172.517
2/20/2018 12:00:00 AM,50.48,51.75,49.48,51.18,66.98115,203.3826
2/21/2018 12:00:00 AM,52.03,52.7,49.14,51.1,66.7285,164.1838
2/22/2018 12:00:00 AM,40.32,44.33,39.75,42.05,45.71957,-61.8503
2/23/2018 12:00:00 AM,42.92,43.2,41.38,41.52,44.82941,-66.42538
2/26/2018 12:00:00 AM,41.82,42.15,40.21,40.44,42.99249,-97.71562
2/27/2018 12:00:00 AM,40.3,41.39,40.28,40.91,44.06662,-99.16735
2/28/2018 12:00:00 AM,41.1,41.8,40.5,40.77,43.80188,-81.20032
3/1/2018 12:00:00 AM,40.21,40.88,38.38,38.72,40.01121,-105.9066
3/2/2018 12:00:00 AM,38.11,38.65,37.33,37.57,38.02328,-121.9335
3/5/2018 12:00:00 AM,37.6,40.12,37.4,39,41.88958,-88.22294
3/6/2018 12:00:00 AM,39.8,40.14,38.5,38.58,41.07903,-73.59161
3/7/2018 12:00:00 AM,37.76,39.6,37.76,38.89,41.97154,-71.72449
3/8/2018 12:00:00 AM,39.2,39.47,38.05,38.69,41.53441,-66.83063
3/9/2018 12:00:00 AM,38.8,39.56,38.5,38.5,41.09652,-59.92145
3/12/2018 12:00:00 AM,38.4,39.09,37.16,37.87,39.60549,-78.7335
3/13/2018 12:00:00 AM,37.67,38.4,37.05,37.37,38.41428,-101.2378
3/14/2018 12:00:00 AM,37.2,37.8,36.8,36.93,37.34968,-118.2814
3/15/2018 12:00:00 AM,36.81,37.03,35.3,36.27,35.74925,-167.1019
3/16/2018 12:00:00 AM,36,36.15,35.38,35.86,34.75301,-154.8853
3/19/2018 12:00:00 AM,35.44,35.79,33.25,33.85,30.29565,-192.8093
3/20/2018 12:00:00 AM,35.37,35.5,33.58,34.73,34.27046,-143.1165
