Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
9/29/2017 12:00:00 AM,15.78,29.8,15.75,26.54,,
10/6/2017 12:00:00 AM,25.16,26.28,20.77,23.2,,
10/13/2017 12:00:00 AM,23.85,25.6,22.7,23.02,,
10/20/2017 12:00:00 AM,22.97,23.2,21.35,21.87,,
10/27/2017 12:00:00 AM,21.75,22,18.35,18.79,,
11/3/2017 12:00:00 AM,18.72,20.88,18.7,19.55,,
11/10/2017 12:00:00 AM,19.41,36.65,18.56,33.25,,
11/17/2017 12:00:00 AM,35,48.8,34.22,38.59,,
11/24/2017 12:00:00 AM,39.1,41.26,35.03,39.47,,
12/1/2017 12:00:00 AM,40.86,51.8,40.6,43.55,,
12/8/2017 12:00:00 AM,44.5,45.44,37.81,44.79,,
12/15/2017 12:00:00 AM,45,53.17,44.25,52.31,,
12/22/2017 12:00:00 AM,54.55,58.8,51.32,51.62,,
12/29/2017 12:00:00 AM,51.2,56.7,51.01,51.78,,106.2429
1/5/2018 12:00:00 AM,52.64,57.42,46.13,46.28,,76.62447
1/12/2018 12:00:00 AM,45.14,48.36,42.79,43.38,66.66666,41.38202
1/19/2018 12:00:00 AM,43.41,43.75,39.1,40.22,62.45934,11.59815
1/26/2018 12:00:00 AM,40.1,46.75,39.53,42.91,64.5125,18.38044
2/2/2018 12:00:00 AM,42.25,43.36,39.42,40.46,61.228,-13.79337
2/9/2018 12:00:00 AM,39.97,47.35,39.01,42.46,62.88903,-15.53735
2/16/2018 12:00:00 AM,43.56,49.4,41.83,48.13,67.18156,20.68744
2/23/2018 12:00:00 AM,50.48,52.7,39.75,41.52,58.66279,-16.07046
3/2/2018 12:00:00 AM,41.82,42.15,37.33,37.57,54.23688,-119.8433
3/9/2018 12:00:00 AM,37.6,40.14,37.4,38.5,55.09589,-107.362
3/16/2018 12:00:00 AM,38.4,39.09,35.3,35.86,52.10588,-122.5181
3/23/2018 12:00:00 AM,35.44,35.79,31.8,32.06,48.06267,-149.3091
3/29/2018 12:00:00 AM,32.85,35.45,29.8,31.1,47.06899,-144.8911
4/6/2018 12:00:00 AM,30.57,33.05,29,31.36,47.38626,-137.8634
4/13/2018 12:00:00 AM,31.32,34.04,31.25,32.69,49.06803,-99.63812
4/20/2018 12:00:00 AM,32.88,37.27,30.87,32.57,48.91611,-72.74093
4/27/2018 12:00:00 AM,32.53,33.38,31.36,32.7,49.09997,-76.19345
5/4/2018 12:00:00 AM,32.76,33.75,30.88,31.55,47.47219,-72.31456
5/11/2018 12:00:00 AM,31.95,38.84,31.78,35.14,52.73956,-19.70935
5/18/2018 12:00:00 AM,35.46,36.5,33.53,35.4,53.10632,-14.42806
5/25/2018 12:00:00 AM,36.4,39.08,33.62,38.54,57.40543,42.55169
6/1/2018 12:00:00 AM,39.11,39.88,36.14,37.07,54.86933,84.19461
6/8/2018 12:00:00 AM,37.33,40.47,37.13,39.24,57.83099,120.63
6/15/2018 12:00:00 AM,39.66,45.81,39.6,43.3,62.75562,200.0608
6/22/2018 12:00:00 AM,43,47.64,42.75,44.71,64.31429,187.3341
6/29/2018 12:00:00 AM,44.14,44.98,40,42.62,60.28687,110.4322
7/6/2018 12:00:00 AM,41.74,47.27,40.55,46.7,64.90685,124.3699
7/13/2018 12:00:00 AM,47.13,49.69,44.67,48.76,66.99461,137.85
7/20/2018 12:00:00 AM,48.51,51.45,47.16,49.77,67.99982,132.1365
7/27/2018 12:00:00 AM,51.26,51.82,46.08,47.54,63.40805,100.6071
8/3/2018 12:00:00 AM,47.5,47.65,43.41,46.47,61.27017,58.24093
8/10/2018 12:00:00 AM,46.94,60.65,45.87,58.05,72.19604,162.2248
8/17/2018 12:00:00 AM,58.02,58.35,53.61,56.07,68.63094,153.5635
8/24/2018 12:00:00 AM,55.83,63.53,54.96,63.26,73.70818,173.5632
8/31/2018 12:00:00 AM,64,64.48,58.21,59.49,67.53574,143.4343
9/7/2018 12:00:00 AM,60.54,65.99,58.78,65.23,71.45518,137.1543
9/14/2018 12:00:00 AM,66.5,72.18,64.8,71.12,74.81522,155.5895
