Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14,,,,
12/5/2017 0:00,95.16,98.58,92.41,95.28,,,,,,
12/6/2017 0:00,94.9,96.62,93.82,95.77,,,,0.51%,,-1.53%
12/7/2017 0:00,96.33,99.97,96.11,99.79,,,,4.20%,,0.36%
12/8/2017 0:00,102.12,102.96,99.87,100.77,,,,0.98%,,0.08%
12/11/2017 0:00,101.29,105.12,101.29,104.11,,,,3.31%,,0.52%
12/12/2017 0:00,104,104,100.5,101.4,,,,-2.60%,,-3.47%
12/13/2017 0:00,101.86,104.22,101.86,103.21,,,,1.79%,,0.45%
12/14/2017 0:00,103.63,104.65,102.8,103.23,,,,0.02%,,-0.40%
12/15/2017 0:00,103.63,106.35,102.8,105.22,,,,1.93%,,-0.42%
12/18/2017 0:00,106.73,108.04,106.34,107.62,,,,2.28%,,1.06%
12/19/2017 0:00,107.63,107.63,105.61,105.73,,,,-1.76%,,-1.87%
12/20/2017 0:00,106.67,106.84,103.61,105.24,,,,-0.46%,,-2.01%
12/21/2017 0:00,105.78,106.59,104.56,104.8,,,,-0.42%,,-0.65%
12/22/2017 0:00,104.13,104.55,102.13,103.86,,23.18327,,-0.90%,,-2.55%
12/26/2017 0:00,102.41,105.39,101.55,104.84,,24.2862,,0.94%,,-2.22%
12/27/2017 0:00,104.83,105.2,103.32,104.5,70.18389,24.57418,,-0.32%,,-1.45%
12/28/2017 0:00,104.8,105.22,101.59,102.39,63.83324,-53.73209,,-2.02%,,-2.78%
12/29/2017 0:00,102.52,102.55,100.4,101,59.98269,-147.4751,,-1.36%,,-1.94%
1/2/2018 0:00,101.59,105.72,101.02,105.49,66.92352,-3.058448,,4.45%,,0.02%
1/3/2018 0:00,106.5,108.12,106.17,107.75,69.76606,142.9392,,2.14%,,0.64%
1/4/2018 0:00,108.33,110.06,107.21,109.95,72.26478,175.8237,,2.04%,,-0.50%
1/5/2018 0:00,110.55,111.77,109.02,110.58,72.95411,175.473,,0.57%,,-0.85%
1/8/2018 0:00,110,112.69,109.99,112.35,74.84569,161.2114,,1.60%,,-0.53%
1/9/2018 0:00,112.35,113.67,109.73,110.73,70.01884,127.0565,,-1.44%,,-2.33%
1/10/2018 0:00,109.7,111.46,109,111,70.36191,86.90601,,0.24%,,-1.56%
1/11/2018 0:00,111.21,111.75,110.5,111.13,70.53672,85.0584,,0.12%,,-0.45%
1/12/2018 0:00,111.29,114.5,111.09,112.8,72.75953,100.6252,,1.50%,,-0.04%
1/16/2018 0:00,114,114.66,111.18,111.92,69.77238,84.64844,,-0.78%,,-1.44%
1/17/2018 0:00,112.56,115.84,111.48,114.91,73.72022,101.473,,2.67%,,-0.39%
1/18/2018 0:00,114.59,116.73,114.07,114.8,73.34073,112.1974,,-0.10%,,-0.73%
1/19/2018 0:00,115.1,115.81,114.6,115.48,74.22408,111.0032,,0.59%,,-0.17%
1/22/2018 0:00,115.5,119.65,115.44,119.43,78.6496,168.3741,,3.42%,,-0.03%
