Date,Open,High,Low,Close,Moving Average 21,Moving Average 43,Moving Average 178,Wilder's RSI 14,Commodity Channel Index (CCI) 14
12/2/2019 12:22:00 PM,320.5,321,320.31,320.58,,,,,
12/2/2019 12:24:00 PM,320.5,320.59,318.94,318.94,,,,,
12/2/2019 12:26:00 PM,318.94,320.11,318.94,320,,,,,
12/2/2019 12:28:00 PM,320,320.25,319.66,319.8,,,,,
12/2/2019 12:30:00 PM,319.8,320.03,318.88,320.03,,,,,
12/2/2019 12:32:00 PM,320.17,320.17,319.18,319.52,,,,,
12/2/2019 12:34:00 PM,319.52,319.52,318.22,318.48,,,,,
12/2/2019 12:36:00 PM,318.48,319.3,318.38,319.3,,,,,
12/2/2019 12:38:00 PM,319.3,319.3,317.97,318.04,,,,,
12/2/2019 12:40:00 PM,317.98,318.21,317.5,318.21,,,,,
12/2/2019 12:42:00 PM,318.21,319,317.96,318.51,,,,,
12/2/2019 12:44:00 PM,318.51,319.2,318.33,318.94,,,,,
12/2/2019 12:46:00 PM,318.97,319.65,318.97,319.65,,,,,
12/2/2019 12:48:00 PM,319.65,319.76,319.42,319.49,,,,,36.44461
12/2/2019 12:50:00 PM,319.49,320.29,319.49,319.96,,,,,90.92319
12/2/2019 12:52:00 PM,319.96,320.04,319.67,319.87,,,,46.09463,77.53873
12/2/2019 12:54:00 PM,319.71,320,319.71,319.8,,,,45.71546,72.15982
12/2/2019 12:56:00 PM,319.8,320.85,319.8,320.59,,,,50.6489,129.221
12/2/2019 12:58:00 PM,320.59,320.6,320.46,320.55,,,,50.3991,124.4894
12/2/2019 1:00:00 PM,320.55,320.92,320.05,320.66,,,,51.11312,108.9046
12/2/2019 1:02:00 PM,320.66,320.66,320.41,320.66,319.599,,,51.85943,97.55807
12/2/2019 1:04:00 PM,320.58,320.82,320.44,320.53,319.5966,,,50.87113,86.64083
12/2/2019 1:06:00 PM,320.52,321.33,320.52,320.84,319.6871,,,53.16321,104.5391
12/2/2019 1:08:00 PM,320.84,321,320.84,320.84,319.7271,,,55.40386,94.67368
12/2/2019 1:10:00 PM,320.83,321.01,320.51,320.73,319.7714,,,54.40932,70.80997
12/2/2019 1:12:00 PM,320.73,320.73,319.47,320.23,319.7809,,,50.01398,-21.80651
12/2/2019 1:14:00 PM,320.36,321,320.36,320.8,319.8419,,,54.52395,63.0581
12/2/2019 1:16:00 PM,320.8,321.42,320.57,321.29,319.9757,,,58.02991,126.2887
12/2/2019 1:18:00 PM,321.29,321.29,321,321.11,320.0619,,,56.3123,125.4273
12/2/2019 1:20:00 PM,321.11,321.11,320.7,320.91,320.1986,,,54.38649,65.00613
12/2/2019 1:22:00 PM,320.93,320.93,320.32,320.46,320.3057,,,50.22413,-39.67106
12/2/2019 1:24:00 PM,320.46,321.11,320.46,320.83,320.4162,,,53.38312,24.87826
12/2/2019 1:26:00 PM,320.83,321.5,320.8,321.42,320.5343,,,57.9646,141.3868
12/2/2019 1:28:00 PM,321.38,321.99,321.38,321.99,320.6457,,,61.86375,226.8233
12/2/2019 1:30:00 PM,321.99,322.6,321.69,322.16,320.7729,,,62.9672,217.4024
12/2/2019 1:32:00 PM,322.16,322.64,322.16,322.64,320.9005,,,65.96177,197.5976
12/2/2019 1:34:00 PM,322.67,323.13,322.51,322.99,321.049,,,67.9939,176.9833
12/2/2019 1:36:00 PM,322.99,323.33,322.35,323.22,321.2119,,,69.29149,139.048
12/2/2019 1:38:00 PM,323.22,323.65,323.01,323.63,321.3567,,,71.50887,139.7785
12/2/2019 1:40:00 PM,323.63,324.09,323.28,324.09,321.5252,,,73.79505,139.0947
12/2/2019 1:42:00 PM,324.09,324.16,323.65,324.08,321.6881,,,73.65654,123.7091
12/2/2019 1:44:00 PM,324.08,324.27,323.73,324.1,321.8519,,,73.76261,108.1638
12/2/2019 1:46:00 PM,324.1,324.99,324.1,324.8,322.0552,320.8202,,77.21674,123.1705
12/2/2019 1:48:00 PM,324.77,325.21,324.63,324.88,322.2476,320.9202,,77.5801,121.4927
12/2/2019 1:50:00 PM,324.88,325.44,324.16,325.44,322.4667,321.0714,,79.98582,112.24
12/2/2019 1:52:00 PM,325.44,325.8,324.98,325.59,322.6981,321.2014,,80.58669,123.7234
12/2/2019 1:54:00 PM,325.59,326.77,325.59,326,322.9729,321.3456,,82.16307,146.1975
12/2/2019 1:56:00 PM,325.98,326.26,325.21,325.66,323.2043,321.4765,,76.60778,104.0652
12/2/2019 1:58:00 PM,325.79,326.5,325.78,326.44,323.4495,321.6375,,79.95603,118.1682
12/2/2019 2:00:00 PM,326.44,327.18,326.01,326.86,323.7233,321.8323,,81.49216,128.2274
12/2/2019 2:02:00 PM,326.86,327.49,326.56,326.81,324.0043,322.007,,80.69942,126.7111
12/2/2019 2:04:00 PM,326.81,327.19,326.68,327,324.3157,322.2153,,81.43852,109.2706
12/2/2019 2:06:00 PM,327,327.11,326.06,327,324.6095,322.4198,,82.17368,83.14996
12/2/2019 2:08:00 PM,327,327.35,326.62,326.63,324.8576,322.6086,,75.87179,82.49888
12/2/2019 2:10:00 PM,326.62,326.62,326.2,326.2,325.0581,322.7774,,69.22725,36.05468
12/2/2019 2:12:00 PM,326.2,327.01,325.73,327,325.2886,322.9484,,73.82079,49.17156
12/2/2019 2:14:00 PM,327.02,327.49,327.02,327.4,325.5152,323.1323,,75.76847,114.1014
12/2/2019 2:16:00 PM,327.34,328.29,327.24,328.07,325.7571,323.3209,,78.63571,159.4062
12/2/2019 2:18:00 PM,328.07,328.15,327.48,327.75,325.9729,323.5042,,74.12437,141.0298
12/2/2019 2:20:00 PM,327.76,328.35,327.5,328,326.1809,323.6949,,75.3158,139.0614
12/2/2019 2:22:00 PM,328,328.24,327.68,327.73,326.3543,323.8609,,71.48756,108.3618
12/2/2019 2:24:00 PM,327.66,327.82,327.15,327.78,326.5305,324.0291,,71.77363,58.98109
12/2/2019 2:26:00 PM,327.65,328,327.65,327.99,326.7157,324.1995,,72.99919,83.43525
12/2/2019 2:28:00 PM,327.91,328.08,327.77,327.91,326.8638,324.3681,,71.72178,77.16293
12/2/2019 2:30:00 PM,328.02,328.24,327.16,327.6,326.9933,324.5326,,66.84002,38.2072
12/2/2019 2:32:00 PM,327.64,328.25,327.58,328.18,327.1238,324.7032,,70.83919,74.09258
12/2/2019 2:34:00 PM,328.18,328.18,327.45,327.67,327.2229,324.8621,,63.5784,36.69085
12/2/2019 2:36:00 PM,327.67,328.13,327.21,327.21,327.2805,325.0128,,57.82123,-10.67146
12/2/2019 2:38:00 PM,327.21,327.56,326.18,326.99,327.3438,325.17,,55.24479,-150.6822
12/2/2019 2:40:00 PM,326.99,327.4,326.5,326.79,327.3605,325.3093,,52.93574,-174.6117
12/2/2019 2:42:00 PM,326.95,327.07,326.31,326.48,327.3424,325.43,,49.4831,-186.8395
12/2/2019 2:44:00 PM,326.48,326.48,325.6,325.88,327.2981,325.5409,,43.56092,-201.0947
12/2/2019 2:46:00 PM,325.88,327.23,325.88,327.02,327.299,325.683,,54.66302,-82.76134
12/2/2019 2:48:00 PM,326.97,327.2,326.14,326.95,327.2967,325.834,,53.96132,-63.85547
12/2/2019 2:50:00 PM,326.95,327.1,326.59,326.82,327.3057,325.9733,,52.61014,-46.81762
12/2/2019 2:52:00 PM,326.82,326.93,326.51,326.84,327.3362,326.0993,,52.80582,-49.16014
12/2/2019 2:54:00 PM,326.64,327.11,326.64,327.01,327.3367,326.216,,54.52568,-23.37511
12/2/2019 2:56:00 PM,327.01,327.39,326.02,327.18,327.3262,326.3328,,56.24265,-24.60095
12/2/2019 2:58:00 PM,327.18,327.4,326.95,327.4,327.2943,326.4435,,58.4303,47.52186
12/2/2019 3:00:00 PM,327.4,328.25,327.24,328,327.3062,326.56,,63.75281,161.8697
12/2/2019 3:02:00 PM,328.25,329,327.99,328.34,327.3224,326.6791,,66.37971,224.6759
12/2/2019 3:04:00 PM,328.34,328.91,327.98,328.91,327.3786,326.8018,,70.26979,187.9539
12/2/2019 3:06:00 PM,328.91,328.96,328.29,328.89,327.4314,326.9135,,69.96407,147.593
12/2/2019 3:08:00 PM,328.7,329.05,327.57,327.57,327.4114,326.9947,,53.43191,68.89718
12/2/2019 3:10:00 PM,327.78,328.98,327.4,328.52,327.4405,327.0974,,60.64018,75.60116
12/2/2019 3:12:00 PM,328.52,329,328.5,329,327.5071,327.1951,,63.69788,104.745
12/2/2019 3:14:00 PM,329,329,328.33,328.74,327.5338,327.2849,,60.9364,81.01543
12/2/2019 3:16:00 PM,328.74,328.98,328.69,328.92,327.5933,327.3658,,62.1596,85.79922
12/2/2019 3:18:00 PM,328.92,330,328.79,329.99,327.7257,327.4681,,68.47753,135.8105
12/2/2019 3:20:00 PM,329.99,329.99,328.98,329.56,327.8481,327.5509,,63.86288,118.444
12/2/2019 3:22:00 PM,329.56,329.74,329.16,329.72,327.9876,327.6454,,64.8131,112.4071
12/2/2019 3:24:00 PM,329.72,330.5,329.32,330.5,328.179,327.7398,,69.08128,158.9735
12/2/2019 3:26:00 PM,330.5,330.76,330.23,330.74,328.4105,327.83,,70.27596,167.9816
12/2/2019 3:28:00 PM,330.74,331.43,330.09,331.12,328.6057,327.9302,,72.11338,156.0106
12/2/2019 3:30:00 PM,331.12,331.12,330,330.88,328.7928,328.0205,,69.20387,113.4531
12/2/2019 3:32:00 PM,330.88,330.88,329.13,329.13,328.9029,328.07,,52.55319,25.58435
12/2/2019 3:34:00 PM,329.13,329.77,329.06,329.44,329.0267,328.1353,,54.6354,-5.878932
12/2/2019 3:36:00 PM,329.44,329.99,329.12,329.5,329.1452,328.2121,,55.04658,-5.990695
12/2/2019 3:38:00 PM,329.54,330.4,329.41,330.23,329.2905,328.2872,,59.81885,38.2622
12/2/2019 3:40:00 PM,330.23,330.44,330.06,330.36,329.4314,328.356,,60.62043,60.49126
12/2/2019 3:42:00 PM,330.24,330.83,330.19,330.74,329.5619,328.4182,,62.94774,85.69623
12/2/2019 3:44:00 PM,330.55,330.75,329.7,329.82,329.6324,328.4663,,54.54344,8.374972
12/2/2019 3:46:00 PM,329.83,330.75,329.83,330.73,329.7191,328.5298,,60.20343,55.38789
12/2/2019 3:48:00 PM,330.73,330.89,330.16,330.89,329.8143,328.6033,,61.1201,77.19662
