Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
12/12/2017 12:00:00 AM,104,104,100.5,101.4,,
12/13/2017 12:00:00 AM,101.86,104.22,101.86,103.21,,
12/14/2017 12:00:00 AM,103.63,104.65,102.8,103.23,,
12/15/2017 12:00:00 AM,103.63,106.35,102.8,105.22,,
12/18/2017 12:00:00 AM,106.73,108.04,106.34,107.62,,
12/19/2017 12:00:00 AM,107.63,107.63,105.61,105.73,,
12/20/2017 12:00:00 AM,106.67,106.84,103.61,105.24,,
12/21/2017 12:00:00 AM,105.78,106.59,104.56,104.8,,
12/22/2017 12:00:00 AM,104.13,104.55,102.13,103.86,,
12/26/2017 12:00:00 AM,102.41,105.39,101.55,104.84,,
12/27/2017 12:00:00 AM,104.83,105.2,103.32,104.5,,
12/28/2017 12:00:00 AM,104.8,105.22,101.59,102.39,,
12/29/2017 12:00:00 AM,102.52,102.55,100.4,101,,
1/2/2018 12:00:00 AM,101.59,105.72,101.02,105.49,,-3.058448
1/3/2018 12:00:00 AM,106.5,108.12,106.17,107.75,,142.9392
1/4/2018 12:00:00 AM,108.33,110.06,107.21,109.95,67.99999,175.8237
1/5/2018 12:00:00 AM,110.55,111.77,109.02,110.58,68.88876,175.473
1/8/2018 12:00:00 AM,110,112.69,109.99,112.35,71.30044,161.2114
1/9/2018 12:00:00 AM,112.35,113.67,109.73,110.73,66.23933,127.0565
1/10/2018 12:00:00 AM,109.7,111.46,109,111,66.66405,86.90601
1/11/2018 12:00:00 AM,111.21,111.75,110.5,111.13,66.88009,85.0584
1/12/2018 12:00:00 AM,111.29,114.5,111.09,112.8,69.60522,100.6252
1/16/2018 12:00:00 AM,114,114.66,111.18,111.92,66.50014,84.64844
1/17/2018 12:00:00 AM,112.56,115.84,111.48,114.91,71.20103,101.473
1/18/2018 12:00:00 AM,114.59,116.73,114.07,114.8,70.80737,112.1974
1/19/2018 12:00:00 AM,115.1,115.81,114.6,115.48,71.84373,111.0032
1/22/2018 12:00:00 AM,115.5,119.65,115.44,119.43,76.96038,168.3741
1/23/2018 12:00:00 AM,119.71,120.06,115.8,118.69,74.23856,146.0944
1/24/2018 12:00:00 AM,119.94,121.95,118.25,119.67,75.47556,153.9209
1/25/2018 12:00:00 AM,121,126.24,120.33,124.9,80.77976,188.5526
1/26/2018 12:00:00 AM,126.36,130.47,124,129.07,83.79013,195.7411
1/29/2018 12:00:00 AM,129.7,129.97,125.22,127.3,78.19197,146.6859
1/30/2018 12:00:00 AM,121.5,125.83,119.09,124.21,69.46635,72.20291
1/31/2018 12:00:00 AM,126.42,128.59,125.58,127.92,73.31649,110.2273
2/1/2018 12:00:00 AM,127.17,131.16,125.7,126.28,69.16468,97.33687
2/2/2018 12:00:00 AM,125.6,128.68,123.8,125.12,66.30461,62.6738
2/5/2018 12:00:00 AM,120.03,127.29,118.3,118.3,52.54676,-7.854452
2/6/2018 12:00:00 AM,113.5,122.7,112.06,122.14,57.84994,-53.13048
2/7/2018 12:00:00 AM,122.32,127.7,121.41,123.34,59.37775,25.31554
2/8/2018 12:00:00 AM,124.55,127.07,118.5,118.51,51.31528,-40.35738
2/9/2018 12:00:00 AM,120.81,123.93,114.16,119.55,52.80137,-90.42515
2/12/2018 12:00:00 AM,123.44,128.95,122.17,127.94,62.69459,58.77262
2/13/2018 12:00:00 AM,127.75,130.42,125.13,126.06,59.67609,68.7022
2/14/2018 12:00:00 AM,125.02,138.16,125.02,137.56,69.38581,175.0799
2/15/2018 12:00:00 AM,135,140.75,130.3,137.95,69.65269,189.0032
2/16/2018 12:00:00 AM,135.58,138.66,134.11,137.53,68.95554,157.8661
2/20/2018 12:00:00 AM,136.99,146.12,136.62,142.78,72.64172,175.0295
2/21/2018 12:00:00 AM,136.92,137.34,132.77,132.9,58.55161,68.38036
2/22/2018 12:00:00 AM,133.96,136.53,133.2,134.18,59.64375,61.15036
