Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
5/22/2015 12:00:00 AM,28,31.1,24.11,28.31,,
5/29/2015 12:00:00 AM,29.8,30.81,26.48,27.2,,
6/5/2015 12:00:00 AM,27.2,27.5,25.51,27.39,,
6/12/2015 12:00:00 AM,26.9,33.7,26.64,33.63,,
6/19/2015 12:00:00 AM,33.97,42.13,32.55,35.52,,
6/26/2015 12:00:00 AM,36.76,38.5,32.63,33.52,,
7/2/2015 12:00:00 AM,32.52,34.97,29.88,31.31,,
7/10/2015 12:00:00 AM,31.07,31.74,28.5,29.6,,
7/17/2015 12:00:00 AM,29.76,32.35,28.91,32.27,,
7/24/2015 12:00:00 AM,32.37,34.75,31.36,33.57,,
7/31/2015 12:00:00 AM,33.4,40.25,32.05,37.39,,
8/7/2015 12:00:00 AM,37.49,41.11,34.25,35.16,,
8/14/2015 12:00:00 AM,35.3,36.49,32.87,34.56,,
8/21/2015 12:00:00 AM,34.77,35,27.31,27.77,,-49.89688
8/28/2015 12:00:00 AM,25.34,29.78,22.7,28,,-120.482
9/4/2015 12:00:00 AM,28.14,28.77,26.06,26.81,47.80573,-107.7301
9/11/2015 12:00:00 AM,27.03,28.51,25.55,26.36,47.13741,-116.8775
9/18/2015 12:00:00 AM,26.27,37.95,26.01,35.66,59.68218,23.38853
9/25/2015 12:00:00 AM,35.7,37,32.09,33.91,56.94376,55.16642
10/2/2015 12:00:00 AM,33.64,36.1,32.41,35.81,59.13604,65.82854
10/9/2015 12:00:00 AM,36.05,39.29,35.01,37.02,60.51487,101.1675
10/16/2015 12:00:00 AM,37.04,37.34,30.5,34.33,55.99168,31.6028
10/23/2015 12:00:00 AM,34.28,34.89,31.09,31.66,51.84913,-4.145159
10/30/2015 12:00:00 AM,31.66,32.49,29.72,32.22,52.64056,-25.3387
11/6/2015 12:00:00 AM,32.36,33.93,29.63,31.54,51.53292,-13.27205
11/13/2015 12:00:00 AM,31.63,31.64,27.58,28.33,46.55316,-62.9264
11/20/2015 12:00:00 AM,28.26,29.72,25.53,28.23,46.40273,-81.47233
11/27/2015 12:00:00 AM,28.15,29,26.26,26.71,44.0715,-82.37413
12/4/2015 12:00:00 AM,26.9,27.4,25.8,27.12,44.87597,-94.38451
12/11/2015 12:00:00 AM,26.63,27.15,24.42,24.76,41.20224,-115.5518
12/18/2015 12:00:00 AM,24.63,26.8,24.16,25.31,42.38598,-109.9363
12/24/2015 12:00:00 AM,25.5,25.74,24.06,25.34,42.45404,-98.50258
12/31/2015 12:00:00 AM,25.27,26.56,24.76,25.8,43.555,-75.47849
1/8/2016 12:00:00 AM,25.42,26.5,24.18,24.93,41.92142,-76.72952
1/15/2016 12:00:00 AM,24.95,25.03,18.48,19.89,33.97225,-153.8621
1/22/2016 12:00:00 AM,21.5,23.71,18.61,23.07,41.50857,-127.5731
1/29/2016 12:00:00 AM,23.13,23.68,22,23.22,41.84575,-89.17682
2/5/2016 12:00:00 AM,23.26,23.79,21.27,21.87,39.63145,-100.0712
2/12/2016 12:00:00 AM,21.52,21.75,18.58,19.33,35.79369,-145.5253
2/19/2016 12:00:00 AM,20.54,24.81,19.82,20.57,38.90413,-74.85868
2/26/2016 12:00:00 AM,20.8,22.12,19.51,22,42.37135,-78.11862
3/4/2016 12:00:00 AM,22.03,25.71,21.9,25.16,49.22826,26.60862
3/11/2016 12:00:00 AM,25,26.99,24.77,26.7,52.21242,96.39059
3/18/2016 12:00:00 AM,26.93,28.78,25.57,28.49,55.48734,131.9546
3/24/2016 12:00:00 AM,28.48,28.63,26.09,26.99,52.25557,108.3719
4/1/2016 12:00:00 AM,27.68,28.67,26.88,28.45,55.0027,114.2723
4/8/2016 12:00:00 AM,29.16,30,28.64,29.55,57.00972,131.541
4/15/2016 12:00:00 AM,29.94,31.09,29.28,30.97,59.51981,128.1534
4/22/2016 12:00:00 AM,31.07,32.39,30.23,31.81,60.97151,124.4711
4/29/2016 12:00:00 AM,31.9,32.28,30.8,31.85,61.04316,110.2929
5/6/2016 12:00:00 AM,31.88,31.88,27.43,27.72,50.69544,51.43007
5/13/2016 12:00:00 AM,27.49,27.5,24.96,26.29,47.68154,-10.85096
5/20/2016 12:00:00 AM,26.44,27.48,25.7,26.1,47.27935,-21.09405
5/27/2016 12:00:00 AM,26.11,28.69,26.09,28.57,52.84755,4.80795
6/3/2016 12:00:00 AM,28.67,31.31,28.6,29.58,54.94314,59.91502
6/10/2016 12:00:00 AM,29.72,30.38,28.13,28.28,51.75484,15.11782
6/17/2016 12:00:00 AM,28.15,29.48,27.75,28.94,53.23845,-2.281597
6/24/2016 12:00:00 AM,29.26,31.51,28.44,29.07,53.5415,38.92562
7/1/2016 12:00:00 AM,28.6,31.11,26.35,30.83,57.55232,19.87284
7/8/2016 12:00:00 AM,30.84,31.11,30,31,57.93012,79.17223
