Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
9/16/2019 3:00:00 PM,337.65,339.6,336.63,338.18,,
9/16/2019 4:00:00 PM,338.23,339.65,337.72,337.86,,
9/17/2019 10:00:00 AM,324.36,333,324.36,331,,
9/17/2019 11:00:00 AM,331,334.73,330.11,331.2,,
9/17/2019 12:00:00 PM,331.01,334.07,330.75,330.8,,
9/17/2019 1:00:00 PM,330.8,330.91,325.34,326.56,,
9/17/2019 2:00:00 PM,326.7,327.58,323.43,324.88,,
9/17/2019 3:00:00 PM,324.88,327.31,323.98,326.41,,
9/17/2019 4:00:00 PM,326.41,330.42,325.68,328.82,,
9/18/2019 10:00:00 AM,331.07,331.89,324.6,327.02,,
9/18/2019 11:00:00 AM,327.02,330,325.12,325.42,,
9/18/2019 12:00:00 PM,325.27,327.38,321.52,321.92,,
9/18/2019 1:00:00 PM,321.92,324.46,320.45,323.02,,
9/18/2019 2:00:00 PM,323.15,324.2,319.27,324.2,,-105.1126
9/18/2019 3:00:00 PM,323.54,325.28,317.55,320.31,,-124.2861
9/18/2019 4:00:00 PM,320.31,325.88,319.76,325.85,32.99314,-60.077
9/19/2019 10:00:00 AM,328.34,328.45,321.22,326.45,34.16662,-17.44355
9/19/2019 11:00:00 AM,326.45,331.33,325.61,330.57,41.71481,93.40029
9/19/2019 12:00:00 PM,330.57,331.85,326.78,328.06,38.79637,100.7287
9/19/2019 1:00:00 PM,328.06,329.08,326,326.61,37.17818,50.6815
9/19/2019 2:00:00 PM,326.61,326.78,324.9,325.88,36.35605,6.401159
9/19/2019 3:00:00 PM,325.88,326.82,324.44,325.79,36.24962,1.55267
9/19/2019 4:00:00 PM,325.79,326.17,324.43,325,35.27347,-7.271243
9/20/2019 10:00:00 AM,324.99,330.9,323.33,325.91,37.36576,49.16615
9/20/2019 11:00:00 AM,325.91,328.2,325.14,326.17,37.98261,43.04859
9/20/2019 12:00:00 PM,325.93,328.62,320.92,321.44,31.83942,-59.59429
9/20/2019 1:00:00 PM,321.25,322.84,318.85,319.95,30.18334,-152.0066
9/20/2019 2:00:00 PM,319.95,321.24,312,316.66,26.86105,-210.4149
9/20/2019 3:00:00 PM,316.58,319.27,314.66,317.63,29.33084,-165.9799
9/20/2019 4:00:00 PM,317.84,320.87,316.71,318.61,31.83523,-105.5494
9/23/2019 10:00:00 AM,317.78,325.47,317,320,35.33567,-54.93586
9/23/2019 11:00:00 AM,320,322.25,316.56,318.29,33.0848,-73.95209
9/23/2019 12:00:00 PM,318.29,320.02,314.81,318.27,33.05825,-84.6075
9/23/2019 1:00:00 PM,318.27,321.12,317.03,317.25,31.66405,-61.72174
9/23/2019 2:00:00 PM,317.25,318.34,314.73,315.82,29.76853,-94.01575
9/23/2019 3:00:00 PM,315.82,316.77,313.28,313.62,27.08242,-115.5857
9/23/2019 4:00:00 PM,313.52,314.44,310.71,313.26,26.65854,-137.3422
9/24/2019 10:00:00 AM,313.56,315.84,307.51,309.09,22.30368,-163.3687
9/24/2019 11:00:00 AM,309.09,309.25,299.01,302.52,17.46333,-246.8298
9/24/2019 12:00:00 PM,302.52,302.72,291.64,293.98,13.39426,-247.1222
9/24/2019 1:00:00 PM,293.98,295.94,287.57,292.41,12.80361,-201.7786
9/24/2019 2:00:00 PM,292.41,295.23,291.18,293.78,16.2732,-139.6799
9/24/2019 3:00:00 PM,293.97,314.52,290.46,296.17,22.09691,-68.81348
9/24/2019 4:00:00 PM,295.73,295.88,292.63,295.47,21.62253,-91.83381
9/25/2019 10:00:00 AM,292,298.31,286.21,291,18.84096,-94.82251
9/25/2019 11:00:00 AM,291,295.5,286.07,295.08,27.9515,-81.3062
9/25/2019 12:00:00 PM,295.08,304.45,294.22,302.62,41.10852,-17.38556
