Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
6/24/2019 2:11:00 PM,293.96,293.96,293.94,293.94,,
6/24/2019 2:12:00 PM,293.94,293.99,293.94,293.99,,
6/24/2019 2:13:00 PM,293.98,294.01,293.95,293.95,,
6/24/2019 2:14:00 PM,293.96,293.97,293.94,293.95,,
6/24/2019 2:15:00 PM,293.95,293.97,293.94,293.94,,
6/24/2019 2:16:00 PM,293.94,293.98,293.94,293.95,,
6/24/2019 2:17:00 PM,293.95,294,293.95,293.98,,
6/24/2019 2:18:00 PM,293.98,293.98,293.94,293.95,,
6/24/2019 2:19:00 PM,293.95,293.95,293.89,293.91,,
6/24/2019 2:20:00 PM,293.91,293.91,293.85,293.86,,
6/24/2019 2:21:00 PM,293.85,293.88,293.84,293.87,,
6/24/2019 2:22:00 PM,293.87,293.89,293.85,293.88,,
6/24/2019 2:23:00 PM,293.88,293.94,293.87,293.88,,
6/24/2019 2:24:00 PM,293.89,293.89,293.82,293.83,,-130.2608
6/24/2019 2:25:00 PM,293.83,293.88,293.8,293.87,,-103.4214
6/24/2019 2:26:00 PM,293.87,293.88,293.82,293.82,35.71636,-100.8803
6/24/2019 2:27:00 PM,293.82,293.84,293.76,293.82,35.71636,-129.0674
6/24/2019 2:28:00 PM,293.82,293.82,293.73,293.76,33.07804,-152.4684
6/24/2019 2:29:00 PM,293.76,293.8,293.76,293.78,34.80591,-123.7378
6/24/2019 2:30:00 PM,293.78,293.82,293.77,293.82,38.24288,-81.4784
6/24/2019 2:31:00 PM,293.82,293.86,293.8,293.84,39.94633,-29.44269
6/24/2019 2:32:00 PM,293.84,293.89,293.84,293.89,44.1013,56.7179
6/24/2019 2:33:00 PM,293.9,293.94,293.89,293.92,46.49242,142.6725
6/24/2019 2:34:00 PM,293.91,293.92,293.86,293.86,42.56847,68.11909
6/24/2019 2:35:00 PM,293.86,293.89,293.86,293.86,39.0217,46.98582
6/24/2019 2:36:00 PM,293.86,293.89,293.85,293.87,39.92062,47.74281
6/24/2019 2:37:00 PM,293.87,293.92,293.82,293.92,44.33643,83.17011
6/24/2019 2:38:00 PM,293.92,293.94,293.91,293.93,45.20181,131.6456
6/24/2019 2:39:00 PM,293.92,293.93,293.88,293.88,41.70425,69.05929
6/24/2019 2:40:00 PM,293.89,293.91,293.87,293.9,43.5841,56.53052
6/24/2019 2:41:00 PM,293.89,293.91,293.84,293.84,39.46996,3.012166
6/24/2019 2:42:00 PM,293.85,293.87,293.84,293.86,41.45285,-25.79123
6/24/2019 2:43:00 PM,293.86,293.86,293.78,293.83,39.36848,-125.8038
6/24/2019 2:44:00 PM,293.83,293.84,293.77,293.79,36.71871,-185.054
6/24/2019 2:45:00 PM,293.79,293.81,293.77,293.77,35.43259,-187.1299
6/24/2019 2:46:00 PM,293.78,293.81,293.75,293.8,38.88691,-136.1041
6/24/2019 2:47:00 PM,293.8,293.83,293.78,293.83,42.21611,-71.9123
6/24/2019 2:48:00 PM,293.83,293.89,293.8,293.81,40.62792,-30.17781
6/24/2019 2:49:00 PM,293.81,293.82,293.74,293.77,37.58049,-108.2584
6/24/2019 2:50:00 PM,293.77,293.83,293.76,293.82,43.30591,-56.96677
6/24/2019 2:51:00 PM,293.82,293.88,293.82,293.88,49.31187,39.16482
6/24/2019 2:52:00 PM,293.88,293.9,293.86,293.9,51.16793,97.27747
6/24/2019 2:53:00 PM,293.9,293.93,293.87,293.89,50.18004,115.785
6/24/2019 2:54:00 PM,293.89,293.91,293.87,293.88,49.15489,99.69306
6/24/2019 2:55:00 PM,293.88,293.9,293.87,293.89,50.24945,91.62589
6/24/2019 2:56:00 PM,293.88,293.98,293.85,293.94,55.41166,129.6441
6/24/2019 2:57:00 PM,293.94,293.95,293.91,293.93,54.19891,114.1709
6/24/2019 2:58:00 PM,293.92,293.94,293.9,293.92,52.95458,87.46471
6/24/2019 2:59:00 PM,293.92,293.92,293.86,293.88,48.17885,34.94973
6/24/2019 3:00:00 PM,293.88,293.92,293.87,293.9,50.57706,43.54924
6/24/2019 3:01:00 PM,293.9,293.95,293.88,293.92,52.92671,73.07215
6/24/2019 3:02:00 PM,293.92,293.95,293.91,293.93,54.09819,95.16983
6/24/2019 3:03:00 PM,293.93,293.94,293.9,293.9,50.0647,51.15233
6/24/2019 3:04:00 PM,293.9,293.9,293.78,293.83,42.16403,-195.2967
6/24/2019 3:05:00 PM,293.83,293.86,293.8,293.86,46.09,-169.5886
6/24/2019 3:06:00 PM,293.86,293.92,293.85,293.92,52.96959,-1.513923
6/24/2019 3:07:00 PM,293.92,293.94,293.86,293.86,46.56958,-29.35011
6/24/2019 3:08:00 PM,293.86,293.86,293.81,293.82,42.85581,-155.214
6/24/2019 3:09:00 PM,293.82,293.86,293.75,293.76,37.96288,-181.6266
6/24/2019 3:10:00 PM,293.76,293.78,293.74,293.74,36.46678,-176.8185
6/24/2019 3:11:00 PM,293.74,293.8,293.66,293.73,35.71127,-160.8697
6/24/2019 3:12:00 PM,293.73,293.89,293.73,293.89,52.64986,-21.58321
6/24/2019 3:13:00 PM,293.88,293.92,293.87,293.91,54.27085,59.30301
6/24/2019 3:14:00 PM,293.91,293.94,293.89,293.91,55.89683,73.28715
6/24/2019 3:15:00 PM,293.92,293.92,293.87,293.88,52.85917,47.99635
6/24/2019 3:16:00 PM,293.88,293.9,293.84,293.85,49.93666,21.31823
6/24/2019 3:17:00 PM,293.85,293.86,293.82,293.82,47.13044,-15.1722
6/24/2019 3:18:00 PM,293.82,293.89,293.82,293.82,44.44095,0.0491073
6/24/2019 3:19:00 PM,293.82,293.84,293.81,293.82,41.86798,-29.40535
6/24/2019 3:20:00 PM,293.83,293.83,293.78,293.8,40.19548,-52.6652
6/24/2019 3:21:00 PM,293.8,293.84,293.77,293.84,44.93005,-24.18903
6/24/2019 3:22:00 PM,293.84,293.95,293.84,293.94,54.60435,113.5624
6/24/2019 3:23:00 PM,293.94,293.99,293.92,293.94,61.82629,140.1295
6/24/2019 3:24:00 PM,293.94,293.95,293.9,293.9,57.86047,81.54414
6/24/2019 3:25:00 PM,293.9,293.97,293.9,293.95,61.2104,102.2057
6/24/2019 3:26:00 PM,293.96,293.97,293.88,293.89,55.50999,53.06045
6/24/2019 3:27:00 PM,293.89,293.94,293.87,293.88,54.59646,27.24
6/24/2019 3:28:00 PM,293.88,293.91,293.86,293.91,56.88642,24.91485
6/24/2019 3:29:00 PM,293.91,293.94,293.82,293.84,50.48698,-15.99029
6/24/2019 3:30:00 PM,293.84,293.84,293.78,293.8,47.21784,-97.8557
6/24/2019 3:31:00 PM,293.8,293.86,293.76,293.77,44.87166,-102.8354
6/24/2019 3:32:00 PM,293.77,293.77,293.73,293.77,42.59251,-131.9291
6/24/2019 3:33:00 PM,293.76,293.77,293.72,293.76,41.83133,-120.3667
6/24/2019 3:34:00 PM,293.76,293.77,293.71,293.72,38.83486,-121.7284
6/24/2019 3:35:00 PM,293.72,293.73,293.69,293.72,36.0536,-119.2149
6/24/2019 3:36:00 PM,293.72,293.79,293.68,293.78,42.68293,-73.73605
6/24/2019 3:37:00 PM,293.77,293.85,293.74,293.74,39.72542,-42.97221
6/24/2019 3:38:00 PM,293.74,293.74,293.7,293.71,37.62052,-90.40163
6/24/2019 3:39:00 PM,293.7,293.74,293.7,293.74,40.98788,-73.72549
6/24/2019 3:40:00 PM,293.74,293.8,293.73,293.76,43.19179,-24.74424
6/24/2019 3:41:00 PM,293.76,293.82,293.76,293.8,47.41521,30.65167
6/24/2019 3:42:00 PM,293.8,293.84,293.77,293.77,44.72801,52.84661
6/24/2019 3:43:00 PM,293.77,293.84,293.76,293.83,50.74091,110.7197
6/24/2019 3:44:00 PM,293.83,293.89,293.83,293.85,52.59408,185.9585
6/24/2019 3:45:00 PM,293.85,293.88,293.83,293.85,54.43994,149.1985
6/24/2019 3:46:00 PM,293.85,293.88,293.75,293.76,45.80541,40.50917
6/24/2019 3:47:00 PM,293.77,293.8,293.75,293.78,47.78629,1.7594
6/24/2019 3:48:00 PM,293.78,293.86,293.78,293.85,54.11235,86.68661
6/24/2019 3:49:00 PM,293.84,293.86,293.8,293.86,54.95022,93.99796
6/24/2019 3:50:00 PM,293.86,293.86,293.71,293.71,42.41428,-64.56068
6/24/2019 3:51:00 PM,293.72,293.72,293.65,293.7,41.73215,-158.1734
6/24/2019 3:52:00 PM,293.7,293.79,293.69,293.77,48.04238,-67.99224
6/24/2019 3:53:00 PM,293.77,293.82,293.73,293.76,47.25641,-42.07358
6/24/2019 3:54:00 PM,293.76,293.81,293.72,293.79,49.90936,-37.93642
6/24/2019 3:55:00 PM,293.8,293.81,293.67,293.67,41.0212,-120.6381
6/24/2019 3:56:00 PM,293.68,293.78,293.61,293.64,39.14438,-150.8641
6/24/2019 3:57:00 PM,293.65,293.65,293.59,293.59,36.17267,-188.2979
