Date,Open,High,Low,Close,Volume ,Moving Average 50,Wilder's RSI 14,Commodity Channel Index (CCI) 14
6/26/2019 10:25:00 AM,291.12,291.21,291.04,291.07,492900,,,
6/26/2019 10:30:00 AM,291.07,291.38,291.06,291.29,509600,,,
6/26/2019 10:35:00 AM,291.29,291.51,291.29,291.51,368000,,,
6/26/2019 10:40:00 AM,291.53,291.6,291.39,291.45,343700,,,
6/26/2019 10:45:00 AM,291.45,291.53,291.37,291.41,223400,,,
6/26/2019 10:50:00 AM,291.4,291.73,291.4,291.71,381100,,,
6/26/2019 10:55:00 AM,291.72,291.78,291.44,291.44,649200,,,
6/26/2019 11:00:00 AM,291.44,291.64,291.35,291.62,307500,,,
6/26/2019 11:05:00 AM,291.62,291.81,291.58,291.77,569400,,,
6/26/2019 11:10:00 AM,291.76,291.77,291.58,291.64,317300,,,
6/26/2019 11:15:00 AM,291.64,291.68,291.23,291.25,288800,,,
6/26/2019 11:20:00 AM,291.25,291.36,291.21,291.26,285600,,,
6/26/2019 11:25:00 AM,291.26,291.4,291.2,291.34,177700,,,
6/26/2019 11:30:00 AM,291.34,291.49,291.3,291.48,200100,,,-9.600142
6/26/2019 11:35:00 AM,291.49,291.49,291.19,291.28,283000,,,-77.96105
6/26/2019 11:40:00 AM,291.28,291.36,291.16,291.25,202500,,53.71888,-115.2477
6/26/2019 11:45:00 AM,291.26,291.32,291.12,291.24,213400,,53.48066,-111.5206
6/26/2019 11:50:00 AM,291.24,291.37,291.2,291.31,172200,,54.98426,-67.60266
6/26/2019 11:55:00 AM,291.31,291.36,291.11,291.2,304400,,52.1333,-87.45948
6/26/2019 12:00:00 PM,291.2,291.46,291.18,291.46,220800,,57.71457,-15.61704
6/26/2019 12:05:00 PM,291.46,291.57,291.32,291.35,482000,,54.80327,14.88365
6/26/2019 12:10:00 PM,291.36,291.52,291.36,291.49,282200,,57.72609,45.31012
6/26/2019 12:15:00 PM,291.5,291.58,291.45,291.47,400900,,57.15767,96.40289
6/26/2019 12:20:00 PM,291.46,291.47,291.33,291.38,220500,,54.55312,42.50217
6/26/2019 12:25:00 PM,291.38,291.39,291.14,291.29,618900,,52.00126,-57.93704
6/26/2019 12:30:00 PM,291.29,291.42,291.28,291.38,381400,,54.30327,14.57096
