Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
8/23/2017 12:00:00 AM,244.34,245.05,244.16,244.56,,
8/24/2017 12:00:00 AM,245,245.18,243.75,243.99,,
8/25/2017 12:00:00 AM,244.89,245.61,244.39,244.56,,
8/28/2017 12:00:00 AM,245.17,245.2,244.09,244.57,,
8/29/2017 12:00:00 AM,243.13,245.15,242.93,244.85,,
8/30/2017 12:00:00 AM,244.86,246.32,244.62,246.01,,
8/31/2017 12:00:00 AM,246.75,247.77,246.05,247.49,,
9/1/2017 12:00:00 AM,247.98,248.33,247.67,247.84,,
9/5/2017 12:00:00 AM,247.27,247.52,244.95,246.06,,
9/6/2017 12:00:00 AM,246.87,247.28,246.23,246.9,,
9/7/2017 12:00:00 AM,247.27,247.27,246.4,246.87,,
9/8/2017 12:00:00 AM,246.54,247.11,246.3,246.58,,
9/11/2017 12:00:00 AM,248.04,249.3,248.02,249.21,,
9/12/2017 12:00:00 AM,249.64,250.09,249.42,250.05,,168.3601
9/13/2017 12:00:00 AM,249.73,250.21,249.59,250.17,,147.0473
9/14/2017 12:00:00 AM,249.83,250.32,249.6,250.09,75.06806,121.9018
9/15/2017 12:00:00 AM,248.7,249.29,248.57,249.19,69.00451,66.94842
9/18/2017 12:00:00 AM,249.62,250.12,249.28,249.72,70.51492,82.48213
9/19/2017 12:00:00 AM,250,250.07,249.6,249.97,71.22716,79.04714
9/20/2017 12:00:00 AM,250.07,250.19,248.92,250.06,71.49411,63.17816
9/21/2017 12:00:00 AM,249.87,249.98,249.19,249.39,66.54427,46.7856
9/22/2017 12:00:00 AM,249.06,249.63,249.02,249.44,66.7294,34.19124
9/25/2017 12:00:00 AM,249.16,249.55,248.08,248.93,62.90577,-5.608532
9/26/2017 12:00:00 AM,249.45,249.7,248.81,249.08,63.56704,8.136722
9/27/2017 12:00:00 AM,249.89,250.49,248.87,250.05,67.59035,56.85861
9/28/2017 12:00:00 AM,249.73,250.44,249.63,250.35,68.74014,103.8369
9/29/2017 12:00:00 AM,250.37,251.32,250.13,251.23,71.8903,211.9636
10/2/2017 12:00:00 AM,251.5,252.32,251.29,252.32,75.22122,265.87
10/3/2017 12:00:00 AM,252.48,252.89,252.23,252.86,76.69458,222.8711
10/4/2017 12:00:00 AM,252.72,253.44,252.56,253.16,77.49519,173.1221
10/5/2017 12:00:00 AM,253.54,254.68,253.2,254.66,81.00824,172.7135
10/6/2017 12:00:00 AM,254.16,254.7,253.85,254.37,78.45818,137.4311
10/9/2017 12:00:00 AM,254.65,254.7,253.65,253.95,74.78649,104.3362
