Date,Open,High,Low,Close,Moving Average 21,Moving Average 43
9/18/2019 14:11,299.73,299.78,299.53,299.56,,
9/18/2019 14:12,299.56,299.6,299.31,299.38,,
9/18/2019 14:13,299.37,299.69,299.31,299.59,,
9/18/2019 14:14,299.58,299.58,299.19,299.22,,
9/18/2019 14:15,299.22,299.33,298.7,298.85,,
9/18/2019 14:16,298.84,298.87,298.63,298.77,,
9/18/2019 14:17,298.77,298.87,298.58,298.82,,
9/18/2019 14:18,298.82,299.2,298.78,299.07,,
9/18/2019 14:19,299.06,299.12,298.96,299.07,,
9/18/2019 14:20,299.07,299.09,298.73,298.83,,
9/18/2019 14:21,298.83,298.83,298.53,298.57,,
9/18/2019 14:22,298.57,298.92,298.57,298.9,,
9/18/2019 14:23,298.9,299.03,298.86,298.99,,
9/18/2019 14:24,298.99,299,298.81,298.92,,
9/18/2019 14:25,298.94,298.95,298.81,298.84,,
9/18/2019 14:26,298.84,298.86,298.67,298.76,,
9/18/2019 14:27,298.76,298.88,298.7,298.73,,
9/18/2019 14:28,298.73,298.89,298.7,298.83,,
9/18/2019 14:29,298.83,298.88,298.77,298.79,,
9/18/2019 14:30,298.78,298.79,298.62,298.78,,
9/18/2019 14:31,298.78,298.81,298.5,298.56,298.9443,
9/18/2019 14:32,298.56,298.83,298.4,298.77,298.9067,
9/18/2019 14:33,298.77,298.77,298.49,298.57,298.8681,
9/18/2019 14:34,298.56,298.77,298.51,298.75,298.8281,
9/18/2019 14:35,298.75,299.03,298.62,298.97,298.8162,
9/18/2019 14:36,298.97,299,298.69,298.75,298.8114,
9/18/2019 14:37,298.75,298.91,298.5,298.87,298.8162,
9/18/2019 14:38,298.87,298.88,298.65,298.74,298.8124,
9/18/2019 14:39,298.73,298.77,298.53,298.54,298.7871,
9/18/2019 14:40,298.53,298.72,298.41,298.65,298.7672,
9/18/2019 14:41,298.65,298.78,298.51,298.62,298.7571,
9/18/2019 14:42,298.62,298.77,298.55,298.7,298.7633,
9/18/2019 14:43,298.68,299.03,298.62,298.98,298.7672,
9/18/2019 14:44,298.98,299,298.68,298.89,298.7624,
9/18/2019 14:45,298.89,298.93,298.76,298.93,298.7628,
9/18/2019 14:46,298.93,298.93,298.62,298.74,298.7581,
9/18/2019 14:47,298.74,298.79,298.37,298.56,298.7486,
9/18/2019 14:48,298.56,298.6,298.28,298.33,298.7295,
9/18/2019 14:49,298.32,298.42,298.24,298.35,298.7067,
9/18/2019 14:50,298.34,298.65,298.31,298.56,298.6957,
9/18/2019 14:51,298.56,298.81,298.5,298.79,298.6962,
9/18/2019 14:52,298.79,298.91,298.76,298.87,298.7109,
9/18/2019 14:53,298.87,299.11,298.85,299.02,298.7229,298.8321
9/18/2019 14:54,299.02,299.24,299.02,299.17,298.7514,298.823
9/18/2019 14:55,299.17,299.31,299.14,299.16,298.771,298.8179
9/18/2019 14:56,299.17,299.26,299.04,299.07,298.7757,298.8058
9/18/2019 14:57,299.07,299.14,299.01,299.11,298.7928,298.8033
9/18/2019 14:58,299.11,299.15,299.01,299.06,298.8019,298.8081
9/18/2019 14:59,299.06,299.09,298.98,298.98,298.8133,298.813
9/18/2019 15:00,298.98,299.07,298.95,299.07,298.8386,298.8188
9/18/2019 15:01,299.07,299.19,298.99,299.14,298.8619,298.8205
9/18/2019 15:02,299.12,299.14,299,299,298.88,298.8188
9/18/2019 15:03,299,299.04,298.82,299,298.8943,298.8228
9/18/2019 15:04,299.02,299.02,298.86,298.94,298.8924,298.8314
9/18/2019 15:05,298.94,299.12,298.94,299.04,298.8995,298.8347
9/18/2019 15:06,299.04,299.1,298.97,299.04,298.9048,298.8358
9/18/2019 15:07,299.05,299.08,299,299.08,298.921,298.8395
9/18/2019 15:08,299.07,299.28,299.07,299.26,298.9543,298.8493
9/18/2019 15:09,299.26,299.44,299.26,299.42,299.0062,298.8647
9/18/2019 15:10,299.42,299.43,299.32,299.39,299.0557,298.88
9/18/2019 15:11,299.39,299.53,299.39,299.52,299.1014,298.8961
9/18/2019 15:12,299.52,299.63,299.5,299.58,299.139,298.9144
9/18/2019 15:13,299.58,299.68,299.58,299.6,299.1738,298.9335
9/18/2019 15:14,299.6,299.62,299.54,299.55,299.199,298.9565
9/18/2019 15:15,299.55,299.56,299.47,299.55,299.2171,298.9746
9/18/2019 15:16,299.55,299.59,299.5,299.5,299.2333,298.9963
9/18/2019 15:17,299.5,299.66,299.49,299.64,299.2605,299.017
9/18/2019 15:18,299.64,299.78,299.63,299.71,299.2891,299.0342
9/18/2019 15:19,299.71,299.79,299.71,299.76,299.3224,299.0577
9/18/2019 15:20,299.76,299.88,299.75,299.85,299.3638,299.0805
9/18/2019 15:21,299.85,300,299.81,299.99,299.4076,299.1095
9/18/2019 15:22,299.99,300.01,299.84,299.84,299.4409,299.1398
9/18/2019 15:23,299.84,299.86,299.76,299.77,299.4776,299.1658
9/18/2019 15:24,299.77,299.79,299.7,299.73,299.5124,299.1916
9/18/2019 15:25,299.73,299.88,299.72,299.88,299.5571,299.2191
9/18/2019 15:26,299.88,299.96,299.86,299.94,299.6,299.2414
9/18/2019 15:27,299.94,300.07,299.92,299.98,299.6448,299.2668
9/18/2019 15:28,299.98,300.03,299.94,300.02,299.6895,299.2921
9/18/2019 15:29,300.02,300.07,299.92,299.93,299.7214,299.3198
9/18/2019 15:30,299.94,300.03,299.88,300.01,299.7495,299.3535
9/18/2019 15:31,300,300.1,300,300.08,299.7824,299.3942
9/18/2019 15:32,300.09,300.17,300.04,300.16,299.8129,299.4363
9/18/2019 15:33,300.16,300.45,300.16,300.42,299.8528,299.4795
9/18/2019 15:34,300.42,300.56,300.42,300.55,299.8981,299.5205
9/18/2019 15:35,300.55,300.83,300.54,300.81,299.9581,299.5656
9/18/2019 15:36,300.81,301,300.72,300.86,300.0205,299.6084
9/18/2019 15:37,300.86,300.9,300.68,300.69,300.0771,299.6437
9/18/2019 15:38,300.69,300.78,300.67,300.68,300.1267,299.6791
9/18/2019 15:39,300.68,300.89,300.68,300.8,300.1786,299.7193
9/18/2019 15:40,300.8,300.86,300.8,300.83,300.2295,299.7593
9/18/2019 15:41,300.84,300.94,300.83,300.9,300.2795,299.8021
9/18/2019 15:42,300.9,301.11,300.9,300.98,300.3267,299.8486
