Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
9/19/2019 2:11:00 PM,301.77,301.77,301.71,301.72,,
9/19/2019 2:12:00 PM,301.72,301.8,301.72,301.78,,
9/19/2019 2:13:00 PM,301.78,301.8,301.09,301.76,,
9/19/2019 2:14:00 PM,301.75,301.78,301.74,301.76,,
9/19/2019 2:15:00 PM,301.78,301.8,301.77,301.8,,
9/19/2019 2:16:00 PM,301.8,301.82,301.77,301.77,,
9/19/2019 2:17:00 PM,301.77,301.77,301.74,301.77,,
9/19/2019 2:18:00 PM,301.77,301.8,301.77,301.78,,
9/19/2019 2:19:00 PM,301.78,301.81,301.77,301.8,,
9/19/2019 2:20:00 PM,301.8,301.82,301.79,301.81,,
9/19/2019 2:21:00 PM,301.81,301.88,301.81,301.85,,
9/19/2019 2:22:00 PM,301.86,301.87,301.81,301.81,,
9/19/2019 2:23:00 PM,301.81,301.82,301.73,301.74,,
9/19/2019 2:24:00 PM,301.74,301.76,301.66,301.66,,-102.3075
9/19/2019 2:25:00 PM,301.66,301.73,301.63,301.73,,-86.29225
9/19/2019 2:26:00 PM,301.73,301.75,301.67,301.67,45.45555,-70.55922
9/19/2019 2:27:00 PM,301.67,301.71,301.63,301.69,47.51002,-136.6207
9/19/2019 2:28:00 PM,301.7,301.72,301.68,301.69,49.55619,-86.82469
9/19/2019 2:29:00 PM,301.7,301.7,301.61,301.68,48.53585,-107.5941
9/19/2019 2:30:00 PM,301.68,301.72,301.66,301.7,50.7212,-60.30015
9/19/2019 2:31:00 PM,301.7,301.7,301.64,301.66,46.47393,-79.86977
9/19/2019 2:32:00 PM,301.66,301.68,301.58,301.61,41.76528,-113.7452
9/19/2019 2:33:00 PM,301.61,301.64,301.54,301.56,37.65877,-147.9279
9/19/2019 2:34:00 PM,301.56,301.56,301.51,301.54,36.129,-181.5436
9/19/2019 2:35:00 PM,301.54,301.6,301.54,301.58,41.26768,-119.2977
9/19/2019 2:36:00 PM,301.58,301.63,301.52,301.52,36.51909,-114.2729
9/19/2019 2:37:00 PM,301.52,301.52,301.43,301.46,32.49263,-169.4125
9/19/2019 2:38:00 PM,301.46,301.53,301.45,301.5,37.44559,-117.8176
9/19/2019 2:39:00 PM,301.5,301.54,301.5,301.51,38.65822,-81.48216
9/19/2019 2:40:00 PM,301.52,301.53,301.48,301.53,41.11315,-74.53611
9/19/2019 2:41:00 PM,301.53,301.56,301.46,301.56,44.69064,-54.8533
9/19/2019 2:42:00 PM,301.56,301.6,301.53,301.58,47.00111,-0.3009539
9/19/2019 2:43:00 PM,301.58,301.58,301.51,301.56,44.9777,-16.98056
9/19/2019 2:44:00 PM,301.56,301.63,301.54,301.62,51.69906,69.06799
9/19/2019 2:45:00 PM,301.63,301.63,301.55,301.55,44.81924,54.99774
9/19/2019 2:46:00 PM,301.55,301.56,301.36,301.39,33.76268,-180.0067
9/19/2019 2:47:00 PM,301.39,301.48,301.37,301.47,41.52956,-141.0297
9/19/2019 2:48:00 PM,301.46,301.48,301.38,301.44,39.65164,-122.3213
9/19/2019 2:49:00 PM,301.44,301.45,301.41,301.45,40.61656,-98.35585
9/19/2019 2:50:00 PM,301.45,301.52,301.44,301.51,46.17209,-19.50105
9/19/2019 2:51:00 PM,301.51,301.59,301.5,301.52,47.05924,41.30345
9/19/2019 2:52:00 PM,301.52,301.58,301.52,301.56,50.57621,58.16697
9/19/2019 2:53:00 PM,301.56,301.62,301.55,301.58,52.28183,86.8404
9/19/2019 2:54:00 PM,301.58,301.62,301.56,301.56,50.40841,72.16396
9/19/2019 2:55:00 PM,301.56,301.59,301.55,301.56,48.53545,50.06484
9/19/2019 2:56:00 PM,301.56,301.58,301.49,301.51,44.12052,5.959641
9/19/2019 2:57:00 PM,301.5,301.61,301.46,301.58,50.85929,35.1466
9/19/2019 2:58:00 PM,301.58,301.58,301.47,301.5,44.28521,0.6619092
9/19/2019 2:59:00 PM,301.5,301.52,301.48,301.51,45.23917,-10.93306
9/19/2019 3:00:00 PM,301.51,301.55,301.5,301.54,48.10684,20.24
9/19/2019 3:01:00 PM,301.54,301.58,301.48,301.56,49.98626,29.20865
9/19/2019 3:02:00 PM,301.56,301.58,301.51,301.52,46.36663,11.12364
9/19/2019 3:03:00 PM,301.52,301.66,301.52,301.64,56.53514,167.052
9/19/2019 3:04:00 PM,301.64,301.64,301.55,301.55,49.02688,82.42625
9/19/2019 3:05:00 PM,301.54,301.58,301.38,301.48,44.12186,-160.9221
9/19/2019 3:06:00 PM,301.48,301.49,301.38,301.44,41.5616,-199.0737
9/19/2019 3:07:00 PM,301.44,301.5,301.38,301.41,39.70136,-167.7424
9/19/2019 3:08:00 PM,301.4,301.45,301.38,301.42,40.65583,-148.188
9/19/2019 3:09:00 PM,301.42,301.44,301.36,301.4,39.31544,-136.0353
9/19/2019 3:10:00 PM,301.4,301.49,301.39,301.47,46.01787,-59.85766
9/19/2019 3:11:00 PM,301.47,301.53,301.46,301.52,50.24366,10.90193
9/19/2019 3:12:00 PM,301.52,301.52,301.4,301.4,41.78725,-61.91956
9/19/2019 3:13:00 PM,301.4,301.41,301.31,301.35,38.85352,-134.9098
9/19/2019 3:14:00 PM,301.35,301.43,301.34,301.4,43.15165,-85.34255
9/19/2019 3:15:00 PM,301.4,301.42,301.09,301.38,41.8838,-161.3479
9/19/2019 3:16:00 PM,301.38,301.44,301.32,301.42,45.34513,-54.36223
9/19/2019 3:17:00 PM,301.43,301.45,301.42,301.45,47.85303,15.08569
9/19/2019 3:18:00 PM,301.45,301.48,301.44,301.46,48.69638,66.87207
9/19/2019 3:19:00 PM,301.46,301.47,301.39,301.39,43.3964,0.464114
9/19/2019 3:20:00 PM,301.39,301.45,301.39,301.44,47.76957,21.13185
9/19/2019 3:21:00 PM,301.44,301.54,301.42,301.52,53.90622,125.6047
9/19/2019 3:22:00 PM,301.51,301.52,301.46,301.5,52.25393,104.8184
9/19/2019 3:23:00 PM,301.5,301.6,301.5,301.59,58.43165,170.7161
9/19/2019 3:24:00 PM,301.6,301.64,301.58,301.62,60.27666,177.3449
9/19/2019 3:25:00 PM,301.62,301.63,301.6,301.61,59.33039,147.4078
9/19/2019 3:26:00 PM,301.6,301.63,301.58,301.61,58.34399,112.7629
9/19/2019 3:27:00 PM,301.61,301.65,301.59,301.64,60.46741,108.9949
9/19/2019 3:28:00 PM,301.64,301.66,301.61,301.63,59.38081,95.63225
9/19/2019 3:29:00 PM,301.63,301.65,301.58,301.59,55.11749,64.71245
9/19/2019 3:30:00 PM,301.59,301.6,301.46,301.49,46.19036,-18.15453
9/19/2019 3:31:00 PM,301.49,301.49,301.31,301.38,38.75584,-122.6569
9/19/2019 3:32:00 PM,301.38,301.38,301.26,301.32,35.40785,-157.5281
9/19/2019 3:33:00 PM,301.32,301.32,301.04,301.12,27.02605,-216.8583
