Date,Open,High,Low,Close,Moving Average 21,Moving Average 43,Moving Average 178,Wilder's RSI 14,Commodity Channel Index (CCI) 14
12/3/2019 2:11:00 PM,308.76,308.79,308.73,308.78,,,,,
12/3/2019 2:12:00 PM,308.78,308.78,308.72,308.72,,,,,
12/3/2019 2:13:00 PM,308.73,308.78,308.7,308.75,,,,,
12/3/2019 2:14:00 PM,308.75,308.75,308.68,308.71,,,,,
12/3/2019 2:15:00 PM,308.71,308.71,308.66,308.67,,,,,
12/3/2019 2:16:00 PM,308.67,308.71,308.65,308.67,,,,,
12/3/2019 2:17:00 PM,308.66,308.68,308.57,308.58,,,,,
12/3/2019 2:18:00 PM,308.58,308.59,308.46,308.48,,,,,
12/3/2019 2:19:00 PM,308.47,308.59,308.47,308.52,,,,,
12/3/2019 2:20:00 PM,308.53,308.55,308.48,308.48,,,,,
12/3/2019 2:21:00 PM,308.48,308.5,308.37,308.42,,,,,
12/3/2019 2:22:00 PM,308.42,308.48,308.42,308.45,,,,,
12/3/2019 2:23:00 PM,308.45,308.49,308.44,308.49,,,,,
12/3/2019 2:24:00 PM,308.49,308.49,308.43,308.48,,,,,-74.58466
12/3/2019 2:25:00 PM,308.48,308.49,308.42,308.44,,,,,-74.74301
12/3/2019 2:26:00 PM,308.44,308.48,308.37,308.38,,,,20.58441,-91.47911
12/3/2019 2:27:00 PM,308.38,308.42,308.37,308.4,,,,23.02165,-96.73568
12/3/2019 2:28:00 PM,308.4,308.51,308.38,308.51,,,,34.86919,-35.46754
12/3/2019 2:29:00 PM,308.51,308.53,308.48,308.48,,,,33.36142,7.598727
12/3/2019 2:30:00 PM,308.48,308.5,308.45,308.5,,,,35.36691,11.49854
12/3/2019 2:31:00 PM,308.48,308.5,308.38,308.39,308.5381,,,30.01443,-84.87202
12/3/2019 2:32:00 PM,308.39,308.44,308.38,308.39,308.5195,,,25.80814,-107.8228
12/3/2019 2:33:00 PM,308.39,308.4,308.32,308.38,308.5033,,,25.45846,-153.6324
12/3/2019 2:34:00 PM,308.38,308.54,308.37,308.51,308.4919,,,37.3344,65.3065
12/3/2019 2:35:00 PM,308.51,308.56,308.5,308.54,308.4838,,,39.72092,157.9328
12/3/2019 2:36:00 PM,308.54,308.54,308.46,308.47,308.4743,,,36.25128,66.39719
12/3/2019 2:37:00 PM,308.46,308.51,308.46,308.51,308.4667,,,39.50356,67.59881
12/3/2019 2:38:00 PM,308.51,308.6,308.51,308.58,308.4667,,,44.80733,152.3606
12/3/2019 2:39:00 PM,308.58,308.59,308.52,308.54,308.4695,,,42.51414,112.5723
12/3/2019 2:40:00 PM,308.54,308.56,308.5,308.54,308.4705,,,40.29334,80.14427
12/3/2019 2:41:00 PM,308.54,308.6,308.54,308.6,308.4762,,,44.94165,130.8366
12/3/2019 2:42:00 PM,308.59,308.67,308.58,308.66,308.4876,,,49.20073,163.2705
12/3/2019 2:43:00 PM,308.65,308.72,308.65,308.71,308.5,,,52.49774,173.0535
12/3/2019 2:44:00 PM,308.71,308.75,308.66,308.67,308.5086,,,49.71851,141.4609
12/3/2019 2:45:00 PM,308.66,308.68,308.6,308.64,308.5162,,,47.67877,82.15519
12/3/2019 2:46:00 PM,308.64,308.66,308.58,308.63,308.5252,,,46.9861,57.68421
12/3/2019 2:47:00 PM,308.63,308.65,308.58,308.64,308.5376,,,47.80275,46.8117
12/3/2019 2:48:00 PM,308.64,308.7,308.63,308.68,308.551,,,51.04627,84.22332
12/3/2019 2:49:00 PM,308.68,308.69,308.66,308.67,308.5586,,,50.20758,76.98685
12/3/2019 2:50:00 PM,308.68,308.69,308.65,308.66,308.5671,,,49.33205,63.1983
12/3/2019 2:51:00 PM,308.67,308.71,308.61,308.66,308.5748,,,48.42268,47.98215
12/3/2019 2:52:00 PM,308.66,308.66,308.62,308.64,308.5867,,,46.57627,9.760065
12/3/2019 2:53:00 PM,308.63,308.67,308.61,308.66,308.5995,308.5647,,48.68354,11.48225
12/3/2019 2:54:00 PM,308.67,308.69,308.58,308.6,308.61,308.5605,,43.17828,-67.54276
12/3/2019 2:55:00 PM,308.61,308.64,308.59,308.61,308.6148,308.5579,,44.30639,-110.9102
