Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
8/20/2019 11:00:00 AM,225.4,227.69,225.1,226.9,,
8/20/2019 12:00:00 PM,226.9,229.09,226.57,227.86,,
8/20/2019 1:00:00 PM,227.86,228.39,227.12,227.72,,
8/20/2019 2:00:00 PM,227.69,227.69,226.06,226.44,,
8/20/2019 3:00:00 PM,226.46,226.84,225.63,226.15,,
8/20/2019 4:00:00 PM,226.15,226.5,225.03,225.65,,
8/21/2019 10:00:00 AM,222.3,223.22,220.08,221.26,,
8/21/2019 11:00:00 AM,221.27,222.65,220.05,220.62,,
8/21/2019 12:00:00 PM,220.62,222.3,220.18,221.91,,
8/21/2019 1:00:00 PM,221.91,222.2,220.25,220.3,,
8/21/2019 2:00:00 PM,220.3,220.56,217.6,218.07,,
8/21/2019 3:00:00 PM,218.07,220.43,217.72,219.01,,
8/21/2019 4:00:00 PM,219.01,221,218.85,220.79,,
8/22/2019 10:00:00 AM,222.8,225.4,222.3,224.05,,11.33245
8/22/2019 11:00:00 AM,223.97,224.47,218.22,220.15,,-47.86119
8/22/2019 12:00:00 PM,220.15,222.85,220.14,221.95,40.10397,-24.54732
8/22/2019 1:00:00 PM,221.95,223.55,221.89,223.09,42.90657,20.39348
8/22/2019 2:00:00 PM,223.09,223.91,222.4,222.69,42.16114,41.0217
8/22/2019 3:00:00 PM,222.69,222.99,221.52,222.56,41.90631,33.59054
8/22/2019 4:00:00 PM,222.56,223.21,221.82,222.05,40.86288,56.59966
8/23/2019 10:00:00 AM,219.97,220.57,218.06,219.17,35.48898,-108.0351
8/23/2019 11:00:00 AM,219.17,221.17,218.44,220.08,38.25221,-64.94135
8/23/2019 12:00:00 PM,220.08,220.46,211.48,212.37,27.50331,-225.1119
8/23/2019 1:00:00 PM,212.37,214.25,211.35,212.99,29.22563,-209.3026
8/23/2019 2:00:00 PM,212.94,214.2,212.52,213.87,31.70558,-150.4846
8/23/2019 3:00:00 PM,213.87,214.1,212.55,213.02,30.59057,-123.8204
8/23/2019 4:00:00 PM,213.02,214.6,211,211.39,28.5193,-110.7229
8/26/2019 10:00:00 AM,213.59,214.77,211.82,213.58,34.89737,-77.13147
8/26/2019 11:00:00 AM,213.58,214.46,211.54,213.2,34.32505,-70.57674
8/26/2019 12:00:00 PM,213.2,214.71,213.06,213.58,35.46485,-51.50788
8/26/2019 1:00:00 PM,213.58,213.83,212.62,213.48,35.29126,-52.81153
8/26/2019 2:00:00 PM,213.48,213.87,212.53,213.06,34.52692,-50.70636
8/26/2019 3:00:00 PM,213.06,213.42,212.33,213.4,35.74022,-49.73137
8/26/2019 4:00:00 PM,213.4,215.02,213.36,215,41.25709,6.969251
8/27/2019 10:00:00 AM,215.74,218.24,215.38,217.44,48.51611,140.1151
8/27/2019 11:00:00 AM,217.31,218.8,216.93,217.67,49.15392,219.3782
8/27/2019 12:00:00 PM,217.69,218.24,214.55,214.71,41.95083,93.28297
8/27/2019 1:00:00 PM,214.71,214.88,212.37,212.6,37.70875,-42.86695
8/27/2019 2:00:00 PM,212.53,214.42,212.03,214.14,42.29515,-29.72832
