Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
7/2/2010 12:00:00 AM,19,30.42,17.54,19.2,,
7/9/2010 12:00:00 AM,20,20,14.98,17.4,,
7/16/2010 12:00:00 AM,17.96,21.5,16.9,20.64,,
7/23/2010 12:00:00 AM,21.2,22.25,19.5,21.29,,
7/30/2010 12:00:00 AM,21.44,21.5,19.55,19.94,,
8/6/2010 12:00:00 AM,20.4,22.18,19.52,19.59,,
8/13/2010 12:00:00 AM,19.98,19.98,17.39,18.32,,
8/20/2010 12:00:00 AM,18.5,19.59,18.26,19.1,,
8/27/2010 12:00:00 AM,19.09,20.39,18.56,19.7,,
9/3/2010 12:00:00 AM,19.7,21.3,19.33,21.05,,
9/10/2010 12:00:00 AM,20.6,21.05,19.76,20.17,,
9/17/2010 12:00:00 AM,20.89,23.16,19.8,20.23,,
9/24/2010 12:00:00 AM,20.67,21.55,19.5,20.1,,
10/1/2010 12:00:00 AM,20.28,22.15,20.05,20.6,,59.7905
10/8/2010 12:00:00 AM,20.32,21.28,20.3,20.43,,54.74036
10/15/2010 12:00:00 AM,20.35,21.03,20.03,20.54,55.06042,36.27417
10/22/2010 12:00:00 AM,20.51,20.95,20,20.72,55.70888,34.74518
10/29/2010 12:00:00 AM,20.88,21.87,20.51,21.84,59.61387,134.3176
11/5/2010 12:00:00 AM,21.94,25.33,21.05,24.44,66.90789,285.4167
11/12/2010 12:00:00 AM,24.53,30.5,24.03,29.84,76.42947,332.6576
11/19/2010 12:00:00 AM,30.3,32.94,28.42,30.99,77.88859,247.5959
11/26/2010 12:00:00 AM,31.5,36,31.5,35.32,82.32519,213.1027
12/3/2010 12:00:00 AM,35.73,36.42,30.87,31.49,69.11519,138.3975
12/10/2010 12:00:00 AM,31.35,32.92,29.56,31.52,69.15694,91.18131
12/17/2010 12:00:00 AM,31.64,31.77,27.76,31.36,68.62415,64.45847
12/23/2010 12:00:00 AM,31.6,32.86,29.92,30.09,64.38419,62.89598
12/31/2010 12:00:00 AM,28.25,28.58,25,26.63,54.5039,1.217735
1/7/2011 12:00:00 AM,26.84,28.58,25.9,28.24,57.7527,7.122155
1/14/2011 12:00:00 AM,28.17,28.71,25.61,25.75,51.61402,-15.67352
1/21/2011 12:00:00 AM,25.48,25.64,22.37,23.04,45.89615,-78.97053
1/28/2011 12:00:00 AM,23.53,25.08,23.23,24.01,48.1119,-81.68611
2/4/2011 12:00:00 AM,24.05,24.73,23.15,23.46,46.9381,-96.76666
2/11/2011 12:00:00 AM,23.26,25.25,22.79,23.25,46.4719,-97.68314
