Date,Open,High,Low,Close,Moving Average 21,Moving Average 43,Moving Average 178,Wilder's RSI 14,Commodity Channel Index (CCI) 14
12/2/2019 12:22:00 PM,335.74,335.84,335.35,335.66,,,,,
12/2/2019 12:24:00 PM,335.66,335.66,334.75,334.92,,,,,
12/2/2019 12:26:00 PM,334.92,335.43,334.9,335.25,,,,,
12/2/2019 12:28:00 PM,335.25,335.41,334.91,335.3,,,,,
12/2/2019 12:30:00 PM,335.2,335.25,333.9,335.16,,,,,
12/2/2019 12:32:00 PM,335.16,335.28,334.74,334.8,,,,,
12/2/2019 12:34:00 PM,334.75,335.1,334.66,334.75,,,,,
12/2/2019 12:36:00 PM,334.75,335.4,334.46,335.2,,,,,
12/2/2019 12:38:00 PM,335.2,335.2,334.82,334.82,,,,,
12/2/2019 12:40:00 PM,334.82,335,334.55,334.77,,,,,
12/2/2019 12:42:00 PM,334.77,335.09,334.77,334.88,,,,,
12/2/2019 12:44:00 PM,334.88,335.09,334.88,335.09,,,,,
12/2/2019 12:46:00 PM,335.09,335.33,335,335.14,,,,,
12/2/2019 12:48:00 PM,335.14,335.19,335,335.01,,,,,10.96054
12/2/2019 12:50:00 PM,335,335.18,334.84,335,,,,,5.534333
12/2/2019 12:52:00 PM,335,335.2,334.9,334.9,,,,37.97466,6.614707
12/2/2019 12:54:00 PM,334.8,334.97,334.63,334.94,,,,38.80898,-75.86415
12/2/2019 12:56:00 PM,334.94,335.15,334.85,334.98,,,,39.68274,33.25848
12/2/2019 12:58:00 PM,334.98,335.07,334.72,334.94,,,,39.08176,-41.94611
12/2/2019 1:00:00 PM,334.97,335.1,334.6,334.7,,,,35.599,-112.6532
12/2/2019 1:02:00 PM,334.7,335,334.68,334.83,335.0019,,,38.78089,-84.99087
12/2/2019 1:04:00 PM,334.83,335.36,334.83,335.2,334.98,,,46.83434,119.7997
12/2/2019 1:06:00 PM,335.2,335.63,335.13,335.27,334.9967,,,48.22158,200.5106
12/2/2019 1:08:00 PM,335.27,335.51,335.22,335.48,335.0076,,,52.24875,183.6159
12/2/2019 1:10:00 PM,335.48,335.84,335.43,335.63,335.0233,,,54.94399,204.6949
12/2/2019 1:12:00 PM,335.63,335.64,335.27,335.3,335.03,,,48.46262,97.02397
