Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
11/15/2019 11:45:00 AM,349.89,350.72,349.79,350.51,,
11/15/2019 12:00:00 PM,350.51,350.71,349.91,350.11,,
11/15/2019 12:15:00 PM,350.11,350.25,349.6,350.22,,
11/15/2019 12:30:00 PM,350.27,350.49,349.92,350.35,,
11/15/2019 12:45:00 PM,350.35,350.69,349.65,350.54,,
11/15/2019 1:00:00 PM,350.54,351.73,350.26,351,,
11/15/2019 1:15:00 PM,351,352.8,350.92,352.75,,
11/15/2019 1:30:00 PM,352.75,352.79,351.5,351.79,,
11/15/2019 1:45:00 PM,351.79,352.55,351.79,352.28,,
11/15/2019 2:00:00 PM,352.28,352.44,350.56,350.56,,
11/15/2019 2:15:00 PM,350.56,351.38,350.56,350.98,,
11/15/2019 2:30:00 PM,350.98,351.34,350.18,350.24,,
11/15/2019 2:45:00 PM,350.24,351.17,349.88,350.98,,
11/15/2019 3:00:00 PM,350.98,351.6,350.63,351.27,,25.73768
11/15/2019 3:15:00 PM,351.27,351.29,350.11,350.37,,-42.42006
11/15/2019 3:30:00 PM,350.37,352.34,350.08,352.31,58.00703,61.11274
11/15/2019 3:45:00 PM,352.31,352.31,351.12,351.92,55.91767,73.02837
11/15/2019 4:00:00 PM,351.92,352.5,351.67,352.17,56.98724,93.63586
11/18/2019 9:45:00 AM,352.32,353.15,348.48,348.48,41.12618,-142.2287
11/18/2019 10:00:00 AM,348.48,350.72,348.48,350.62,49.84465,-130.2979
11/18/2019 10:15:00 AM,350.62,351.13,349.25,349.99,47.60939,-96.78841
11/18/2019 10:30:00 AM,349.99,350.62,349.6,350.12,48.12635,-85.65659
11/18/2019 10:45:00 AM,350.12,350.48,349.47,349.52,45.87639,-104.012
11/18/2019 11:00:00 AM,349.52,349.92,348.25,348.68,42.8557,-165.3645
11/18/2019 11:15:00 AM,348.68,348.84,346.1,346.81,37.01294,-235.1384
11/18/2019 11:30:00 AM,346.81,347.99,346.18,347.9,41.9785,-176.1642
11/18/2019 11:45:00 AM,347.9,348.48,347.34,348.47,44.44499,-104.7252
11/18/2019 12:00:00 PM,348.47,349.06,348.09,348.73,45.58139,-61.7309
11/18/2019 12:15:00 PM,348.73,348.96,347.38,348.28,43.90735,-71.22472
11/18/2019 12:30:00 PM,348.28,348.7,347.24,347.36,40.62262,-80.89486
11/18/2019 12:45:00 PM,347.36,347.95,346.77,347.57,41.69494,-88.44147
11/18/2019 1:00:00 PM,347.57,348.38,346.95,348.22,45.00514,-56.49671
11/18/2019 1:15:00 PM,348.19,349.33,347.87,349.25,49.86274,16.52643
11/18/2019 1:30:00 PM,349.25,349.48,348.36,348.76,47.70405,28.49224
11/18/2019 1:45:00 PM,348.76,350.2,348.6,349.65,51.78686,87.84489
11/18/2019 2:00:00 PM,349.65,350,349.01,349.49,51.01573,98.75807
11/18/2019 2:15:00 PM,349.49,349.55,348.83,349.25,49.8175,80.94125
11/18/2019 2:30:00 PM,349.14,349.69,349,349.61,51.65188,94.67644
11/18/2019 2:45:00 PM,349.61,350,349.5,349.68,52.01921,107.9362
11/18/2019 3:00:00 PM,349.68,350.3,349.02,350.08,54.16204,102.962
11/18/2019 3:15:00 PM,350.08,350.5,349.96,350.14,54.49052,121.7821
11/18/2019 3:30:00 PM,350.17,350.81,350.06,350.41,56.01718,119.5227
11/18/2019 3:45:00 PM,350.41,350.57,349.75,350,53.10383,82.47133
11/18/2019 4:00:00 PM,349.99,350.38,349.37,349.98,52.95922,58.76357
11/19/2019 9:45:00 AM,351.75,351.79,349.56,350.08,53.63923,114.5728
11/19/2019 10:00:00 AM,350.08,350.24,347.8,348.53,43.21019,-111.3168
11/19/2019 10:15:00 AM,348.53,350.31,348.17,349.88,51.96952,-35.40324
11/19/2019 10:30:00 AM,349.88,351.41,349.7,351.32,59.19866,152.5636
11/19/2019 10:45:00 AM,351.32,355.4,351.1,354.25,69.31782,326.8867
11/19/2019 11:00:00 AM,354.25,354.38,352.21,353.17,63.10524,201.2124
11/19/2019 11:15:00 AM,353.17,355.24,353.17,355.11,68.55674,191.6289
11/19/2019 11:30:00 AM,355.11,356.49,354.7,356.08,70.87409,172.9674
11/19/2019 11:45:00 AM,355.96,356.22,355,355.29,66.57103,124.9239
11/19/2019 12:00:00 PM,355.29,356.15,354.54,355.87,68.10226,102.1166
11/19/2019 12:15:00 PM,355.87,357.36,355.87,357.35,71.66853,116.4109
11/19/2019 12:30:00 PM,357.35,357.91,356.16,356.94,69.35518,103.2955
11/19/2019 12:45:00 PM,356.97,358.6,356.9,358.51,72.95513,112.9909
11/19/2019 1:00:00 PM,358.51,359.16,358.05,358.57,73.08525,111.9344
11/19/2019 1:15:00 PM,358.57,359.79,358.57,359.52,75.12593,115.2729
11/19/2019 1:30:00 PM,359.63,359.73,358.15,358.26,67.785,94.97227
11/19/2019 1:45:00 PM,358.26,359.47,357.77,358.85,69.29787,84.20513
11/19/2019 2:00:00 PM,358.8,359.45,357.9,358.63,68.01522,74.94344
11/19/2019 2:15:00 PM,358.63,359.55,358.19,359.34,69.94839,79.65607
11/19/2019 2:30:00 PM,359.34,359.81,359,359.08,68.31986,82.10657
11/19/2019 2:45:00 PM,359.11,359.49,358.2,359.25,68.83086,61.22847
11/19/2019 3:00:00 PM,359.25,359.55,358.82,359.43,69.39371,71.41369
11/19/2019 3:15:00 PM,359.4,359.99,359.07,359.52,69.68845,86.1126
11/19/2019 3:30:00 PM,359.52,359.98,359.19,359.72,70.37135,103.0915
11/19/2019 3:45:00 PM,359.72,359.97,359.06,359.45,68.13972,81.8774
11/19/2019 4:00:00 PM,359.45,359.92,359.38,359.52,68.41927,94.44438
11/20/2019 9:45:00 AM,360,361.2,358.5,359.48,68.05191,106.1848
11/20/2019 10:00:00 AM,359.48,359.48,356.56,357.76,54.49518,-201.0297
11/20/2019 10:15:00 AM,357.76,358.22,355.5,356.27,45.95452,-262.5142
11/20/2019 10:30:00 AM,356.35,357.42,355.93,356.63,48.07214,-185.5972
11/20/2019 10:45:00 AM,356.63,357.75,354.5,354.67,39.09183,-184.8476
11/20/2019 11:00:00 AM,354.67,355.39,353.88,354.35,37.84864,-174.9707
11/20/2019 11:15:00 AM,354.35,355.29,353.66,354.15,37.05543,-140.4947
11/20/2019 11:30:00 AM,354.28,355.1,353.77,354.18,37.26778,-113.3722
11/20/2019 11:45:00 AM,354.16,354.16,352.33,352.86,32.1311,-127.0639
11/20/2019 12:00:00 PM,352.86,353.38,352.2,352.64,31.3555,-118.6169
11/20/2019 12:15:00 PM,352.64,354.22,352.27,353.61,38.41486,-85.8829
11/20/2019 12:30:00 PM,353.61,354.89,353.61,354.55,44.38403,-49.08926
11/20/2019 12:45:00 PM,354.55,355.8,354.17,355.65,50.43796,-14.11789
11/20/2019 1:00:00 PM,355.65,356,352.26,353.38,40.61326,-56.54095
11/20/2019 1:15:00 PM,353.43,353.71,349.57,350.19,31.36666,-172.0398
11/20/2019 1:30:00 PM,350.19,352.63,349.57,351.83,39.04955,-143.0539
11/20/2019 1:45:00 PM,351.83,353.1,351.6,351.81,38.99225,-85.52015
11/20/2019 2:00:00 PM,351.81,354.11,351.72,353,44.23756,-34.25871
11/20/2019 2:15:00 PM,353,353.4,351.8,351.8,40.45982,-61.71037
11/20/2019 2:30:00 PM,351.8,352.36,351.4,351.55,39.69921,-86.09989
11/20/2019 2:45:00 PM,351.62,352.41,351.44,352.03,41.9555,-64.27339
11/20/2019 3:00:00 PM,352.03,352.1,351.25,351.75,40.99198,-72.06604
11/20/2019 3:15:00 PM,351.75,352.17,351.42,351.86,41.55972,-55.88129
11/20/2019 3:30:00 PM,351.86,351.93,350.65,350.74,37.59318,-90.66469
11/20/2019 3:45:00 PM,350.74,352.44,350.74,352.22,45.05584,-40.87828
11/20/2019 4:00:00 PM,352.22,353,351.87,352.4,45.90309,14.04894
11/21/2019 9:45:00 AM,354.51,358.77,354,358.26,64.88695,321.545
11/21/2019 10:00:00 AM,358.26,359.04,356.56,356.93,59.76101,238.2948
11/21/2019 10:15:00 AM,356.93,358.01,355.82,356.5,58.16132,143.1828
11/21/2019 10:30:00 AM,356.5,358.62,356.25,357.89,61.72785,128.116
11/21/2019 10:45:00 AM,357.89,358.66,357.75,358.56,63.34957,116.7962
11/21/2019 11:00:00 AM,358.56,360.38,358.38,360,66.62315,118.777
11/21/2019 11:15:00 AM,360,360.84,358.5,358.69,61.26235,95.03114
11/21/2019 11:30:00 AM,358.69,359.39,358.06,358.06,58.81146,67.51019
11/21/2019 11:45:00 AM,358.06,358.64,357.1,357.9,58.1749,47.74721
11/21/2019 12:00:00 PM,357.9,359.58,357.9,358.57,60.1214,61.18475
11/21/2019 12:15:00 PM,358.57,359.38,358.25,359.09,61.61446,64.31359
11/21/2019 12:30:00 PM,359,359.18,357.93,358.08,57.13948,43.56688
11/21/2019 12:45:00 PM,358.08,358.23,357.1,357.37,54.16156,-11.20427
11/21/2019 1:00:00 PM,357.37,357.88,356.44,357.88,55.938,-65.73427
11/21/2019 1:15:00 PM,357.88,358.09,356.86,357.58,54.59756,-61.90446
11/21/2019 1:30:00 PM,357.58,358.25,357.47,358.21,56.93146,-20.38944
11/21/2019 1:45:00 PM,358.21,359.1,358,358.02,55.99656,10.41016
11/21/2019 2:00:00 PM,358.02,358.45,357.08,357.15,51.80187,-88.62366
11/21/2019 2:15:00 PM,357.04,357.1,356.1,356.86,50.44532,-150.2165
11/21/2019 2:30:00 PM,356.86,357.58,356.69,357,51.11097,-98.7327
11/21/2019 2:45:00 PM,357,357.16,356.34,356.66,49.37648,-123.5607
11/21/2019 3:00:00 PM,356.68,357.61,356.62,357.5,53.56881,-55.81406
11/21/2019 3:15:00 PM,357.5,357.59,356.66,356.98,50.7661,-66.73039
11/21/2019 3:30:00 PM,356.98,357.06,355.15,355.36,43.18531,-181.5023
11/21/2019 3:45:00 PM,355.36,355.48,354.64,355.4,43.41005,-207.816
11/21/2019 4:00:00 PM,355.4,355.9,354.01,354.97,41.50952,-174.051
11/22/2019 9:45:00 AM,340.16,341,333.3,334.33,12.72057,-450.2466
11/22/2019 10:00:00 AM,334.33,336.76,332.73,333.94,12.54355,-244.3015
11/22/2019 10:15:00 AM,333.94,334.04,330.11,330.71,11.15852,-177.2139
11/22/2019 10:30:00 AM,330.78,333.95,330.16,332.03,15.27575,-127.5742
11/22/2019 10:45:00 AM,332.03,332.22,330,330.67,14.52869,-106.3506
11/22/2019 11:00:00 AM,330.67,334.67,330.55,334.34,25.16467,-77.17641
11/22/2019 11:15:00 AM,334.33,334.69,332.26,334.31,25.13713,-63.35798
11/22/2019 11:30:00 AM,334.31,335,333.34,334.16,24.98989,-53.19257
11/22/2019 11:45:00 AM,334.16,334.19,331.93,332.75,23.59099,-53.81197
