Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
12/27/2017 12:00:00 AM,316,317.68,310.75,311.64,,
12/28/2017 12:00:00 AM,311.75,315.82,309.54,315.36,,
12/29/2017 12:00:00 AM,315.5,316.41,310,311.35,,
1/2/2018 12:00:00 AM,312.3,322.11,311,320.53,,
1/3/2018 12:00:00 AM,321,325.25,315.55,317.25,,
1/4/2018 12:00:00 AM,312.87,318.55,305.68,314.62,,
1/5/2018 12:00:00 AM,316.75,317.24,312,316.58,,
1/8/2018 12:00:00 AM,316,337.02,315.5,336.41,,
1/9/2018 12:00:00 AM,335,338.8,327.41,333.69,,
1/10/2018 12:00:00 AM,331.85,337,330,334.8,,
1/11/2018 12:00:00 AM,335.24,344.81,333.26,337.95,,
1/12/2018 12:00:00 AM,338.63,340.41,333.67,336.22,,
1/16/2018 12:00:00 AM,337.51,345,334.8,340.06,,
1/17/2018 12:00:00 AM,340.47,349,339.75,347.16,,118.6971
1/18/2018 12:00:00 AM,345.67,352.3,343.74,344.57,,110.9856
1/19/2018 12:00:00 AM,345,350.59,342.6,350.02,76.54218,103.4783
1/22/2018 12:00:00 AM,349.4,357.83,349.2,351.56,77.06821,122.6891
1/23/2018 12:00:00 AM,360,360.5,351,352.79,77.50215,118.4072
1/24/2018 12:00:00 AM,354.58,354.75,343.52,345.89,69.55114,67.10706
1/25/2018 12:00:00 AM,348.27,349.2,336.4,337.64,61.43558,6.663041
1/26/2018 12:00:00 AM,341.57,344,335.71,342.85,64.27091,-13.89251
1/29/2018 12:00:00 AM,339.85,350.85,338.28,349.53,67.56376,35.1328
1/30/2018 12:00:00 AM,345.14,348.27,342.17,345.82,64.03403,17.14647
1/31/2018 12:00:00 AM,347.51,356.19,345.19,354.31,68.13645,99.52484
2/1/2018 12:00:00 AM,351,359.66,348.63,349.25,63.4884,95.76244
2/2/2018 12:00:00 AM,348.44,351.95,340.51,343.75,58.79358,-30.52164
2/5/2018 12:00:00 AM,338,344.47,333,333.13,50.95781,-173.9309
2/6/2018 12:00:00 AM,325.21,336.22,323.5,333.97,51.50831,-199.4195
2/7/2018 12:00:00 AM,339,346,335.66,345,58.15114,-43.24635
2/8/2018 12:00:00 AM,343.31,348.62,314.6,315.23,41.59075,-183.1376
2/9/2018 12:00:00 AM,319.93,320.98,294.76,310.42,39.62714,-248.4256
2/12/2018 12:00:00 AM,316.13,318.08,306.25,315.73,42.83575,-156.7251
2/13/2018 12:00:00 AM,315,324.19,312.51,323.66,47.33712,-92.13146
2/14/2018 12:00:00 AM,320.84,326.17,318.52,322.31,46.66345,-66.7407
2/15/2018 12:00:00 AM,324.37,334.12,322.4,334.07,52.94548,-19.74644
2/16/2018 12:00:00 AM,332.5,343.12,331.64,335.49,53.65528,21.52517
2/20/2018 12:00:00 AM,334.47,340.84,331.5,334.77,53.21693,20.72136
2/21/2018 12:00:00 AM,336.07,339.69,333.17,333.3,52.27787,29.35527
2/22/2018 12:00:00 AM,335.53,347.44,334.75,346.17,59.08511,92.03408
2/23/2018 12:00:00 AM,347.83,354.99,347.1,352.05,61.76833,147.2228
2/26/2018 12:00:00 AM,353.5,359,352.36,357.42,64.08485,150.5336
2/27/2018 12:00:00 AM,356.25,359.99,350.01,350.99,59.44058,111.3407
2/28/2018 12:00:00 AM,352.57,355.24,342.22,343.06,54.22166,69.31962
3/1/2018 12:00:00 AM,345.01,348.67,330.07,330.93,47.37031,9.02652
3/2/2018 12:00:00 AM,326.98,335.22,322.97,335.12,49.73309,-37.70216
3/5/2018 12:00:00 AM,333,337.75,329.29,333.35,48.73769,-35.15576
3/6/2018 12:00:00 AM,333.75,336.37,327.03,328.2,45.86147,-67.51807
3/7/2018 12:00:00 AM,325.44,332.5,321.74,332.3,48.46875,-88.75175
3/8/2018 12:00:00 AM,332.94,333.3,326.27,329.1,46.5831,-81.96066
3/9/2018 12:00:00 AM,324.49,328.49,322.37,327.17,45.435,-98.68654
3/12/2018 12:00:00 AM,328.9,347.21,326.5,345.51,56.42542,8.133765
3/13/2018 12:00:00 AM,345.12,345.12,336.26,341.84,54.07809,15.68407
3/14/2018 12:00:00 AM,337.36,339.81,323.93,326.63,45.60966,-63.42891
3/15/2018 12:00:00 AM,329.38,332.85,321.1,325.6,45.09467,-83.60728
3/16/2018 12:00:00 AM,326.3,327.4,319.07,321.35,42.94019,-112.0319
3/19/2018 12:00:00 AM,316.5,320.75,309.67,313.56,39.23956,-187.2138
3/20/2018 12:00:00 AM,314.87,316.25,308.76,310.55,37.88109,-187.1657
3/21/2018 12:00:00 AM,310.25,322.44,310.19,316.53,42.16495,-111.194
3/22/2018 12:00:00 AM,313.89,318.82,308.18,309.1,38.60288,-124.3688
3/23/2018 12:00:00 AM,311.24,311.61,300.45,301.54,35.3322,-147.4329
3/26/2018 12:00:00 AM,307.41,307.59,291.36,304.18,37.32907,-137.8862
3/27/2018 12:00:00 AM,304,304.27,277.18,279.18,28.38909,-177.0249
3/28/2018 12:00:00 AM,264.58,268.68,252.1,257.78,23.255,-237.0106
3/29/2018 12:00:00 AM,256.38,270.96,248.21,266.13,28.67514,-167.3772
4/2/2018 12:00:00 AM,256,260.33,244.59,252.48,25.5041,-153.8799
4/3/2018 12:00:00 AM,269,273.35,254.49,267.53,34.15053,-93.4121
4/4/2018 12:00:00 AM,252.99,288.37,252,286.94,43.29212,-52.03146
4/5/2018 12:00:00 AM,289.34,306.26,288.2,305.72,50.4584,25.97123
4/6/2018 12:00:00 AM,300.89,309.28,295.5,299.3,48.21524,37.05585
4/9/2018 12:00:00 AM,300.37,309.5,289.21,289.66,44.98164,25.45468
4/10/2018 12:00:00 AM,298.97,307.1,293.68,304.7,50.55343,49.76784
4/11/2018 12:00:00 AM,300.11,308.98,299.66,300.93,49.20818,60.89021
4/12/2018 12:00:00 AM,302.01,303.95,293.68,294.08,46.77273,44.22472
4/13/2018 12:00:00 AM,303.5,303.95,295.98,300.34,49.24496,57.72502
4/16/2018 12:00:00 AM,299,299.66,289.01,291.21,45.89671,33.14603
4/17/2018 12:00:00 AM,288.17,292.17,282.51,287.69,44.63662,8.645144
4/18/2018 12:00:00 AM,291.08,300.24,288.16,293.35,47.14927,29.38704
4/19/2018 12:00:00 AM,291.08,301.01,288.55,300.08,50.05202,36.12389
4/20/2018 12:00:00 AM,295.17,299.98,289.75,290.24,46.06798,0.7852707
4/23/2018 12:00:00 AM,291.29,291.62,282.33,283.37,43.46661,-107.6808
4/24/2018 12:00:00 AM,285,287.09,278.46,283.46,43.51161,-164.8651
4/25/2018 12:00:00 AM,283.5,285.16,277.25,280.69,42.39309,-152.2918
4/26/2018 12:00:00 AM,278.75,285.79,276.5,285.48,45.02486,-108.3991
4/27/2018 12:00:00 AM,285.37,294.47,283.83,294.08,49.4868,-14.96794
4/30/2018 12:00:00 AM,293.61,298.73,292.5,293.9,49.39644,40.10079
5/1/2018 12:00:00 AM,293.43,300.82,293.22,299.92,52.51929,84.20759
5/2/2018 12:00:00 AM,298.68,306.85,297.78,301.15,53.15538,122.894
5/3/2018 12:00:00 AM,278.8,288.04,275.23,284.45,44.44858,-91.42921
5/4/2018 12:00:00 AM,283,296.86,279.52,294.09,49.58237,0.06032668
5/7/2018 12:00:00 AM,297.5,305.96,295.17,302.77,53.72887,112.7224
5/8/2018 12:00:00 AM,300.61,307.75,299,301.97,53.29383,111.5073
5/9/2018 12:00:00 AM,300.41,307.01,300.05,306.85,55.65271,113.219
5/10/2018 12:00:00 AM,307.54,312.99,304.11,305.02,54.54029,113.4518
5/11/2018 12:00:00 AM,307.42,308.88,299.08,301.06,52.11284,68.36359
5/14/2018 12:00:00 AM,303.32,304.94,291.62,291.97,46.9475,5.859812
