Timestamp,Open,High,Low,Close,Rsi,Cci,Volume
1/4/2013 12:00:00 AM,334400,356800,303400,306000,,,1900
1/11/2013 12:00:00 AM,314000,318980,282600,283200,,,2500
1/18/2013 12:00:00 AM,281800,286400,228800,231200,,,2900
1/25/2013 12:00:00 AM,231600,240000,202000,211200,,,2900
2/1/2013 12:00:00 AM,210000,241600,206000,212810,,,3900
2/8/2013 12:00:00 AM,225598,242400,208200,210560,,,4000
2/15/2013 12:00:00 AM,208600,212400,189400,192000,,,3700
2/22/2013 12:00:00 AM,189000,227800,174200,198200,,,4800
3/1/2013 12:00:00 AM,185000,276800,180000,225200,,,9900
3/8/2013 12:00:00 AM,231800,234000,175000,177200,,,6000
3/15/2013 12:00:00 AM,176800,178380,157200,158600,,,6500
3/22/2013 12:00:00 AM,179200,194000,156000,164760,,,9800
3/28/2013 12:00:00 AM,156200,170000,150400,153800,,,6500
4/5/2013 12:00:00 AM,152400,168600,143000,151400,,-109.0227,7500
4/12/2013 12:00:00 AM,148600,153000,125200,125600,,-135.4946,6000
4/19/2013 12:00:00 AM,127400,179000,123600,146600,21.87125,-90.77629,12900
4/26/2013 12:00:00 AM,148400,155400,123200,129666,20.54868,-104.571,6700
5/3/2013 12:00:00 AM,125800,136600,120400,121600,19.93045,-110.3147,6300
5/10/2013 12:00:00 AM,121400,125800,113200,118820,19.71035,-112.5673,5500
5/17/2013 12:00:00 AM,119200,121800,112400,113000,19.23151,-109.3445,5400
5/24/2013 12:00:00 AM,116000,132600,112600,122200,22.43915,-83.17723,7800
5/31/2013 12:00:00 AM,115000,127800,113600,126856,24.08237,-73.52205,5400
6/7/2013 12:00:00 AM,126800,156380,124400,125000,23.86531,-27.99727,8600
6/14/2013 12:00:00 AM,121660,158400,120700,146980,31.71465,11.43729,12300
6/21/2013 12:00:00 AM,139960,177500,124680,156260,34.7723,68.38633,14700
6/28/2013 12:00:00 AM,172560,179680,138534.2,143380,32.59103,88.86936,11100
7/5/2013 12:00:00 AM,138900,142338,121140,121140,29.18646,-42.38202,7100
7/12/2013 12:00:00 AM,114400,115500,95860,99640,26.32361,-157.0853,9200
7/19/2013 12:00:00 AM,97750,102420,85460,86480,24.72496,-175.5992,8800
7/26/2013 12:00:00 AM,85220,87000,78780,79220,23.86393,-180.3158,9100
8/2/2013 12:00:00 AM,80860,82800,66376.4,66660,22.40995,-167.9509,9700
8/9/2013 12:00:00 AM,66120,73960,64480,69900,23.70139,-135.5019,11400
8/16/2013 12:00:00 AM,72880,76700,66420,73460,25.17507,-102.5407,13800
8/23/2013 12:00:00 AM,74100,81360,71320,71520,24.89291,-80.93256,14000
8/30/2013 12:00:00 AM,70080,97180,69020,93900,34.07278,-46.00479,18500
9/6/2013 12:00:00 AM,85540,90680,79660,83640,32.13373,-45.02654,11800
9/13/2013 12:00:00 AM,81920,82900,65020,67320,29.27942,-68.26048,12300
9/20/2013 12:00:00 AM,64260,67080,57760,61280,28.27828,-87.84866,15300
9/27/2013 12:00:00 AM,61060,65380,59160,64280,29.56647,-85.68535,18600
10/4/2013 12:00:00 AM,69960,79420,64020,71900,32.86483,-47.13386,23700
10/11/2013 12:00:00 AM,77660,95000,62720,64920,31.41365,-21.36304,30700
10/18/2013 12:00:00 AM,69940,75380,48080,50120,28.53638,-147.2724,30500
10/25/2013 12:00:00 AM,47860,54800,47740,49880,28.49081,-182.3244,18800
11/1/2013 12:00:00 AM,50340,52500,48820,49780,28.47041,-143.9349,16400
11/8/2013 12:00:00 AM,49040,49700,44520,44560,27.36868,-135.7183,25800
11/15/2013 12:00:00 AM,44620,45380,41520,41660,26.74937,-126.5425,27200
11/22/2013 12:00:00 AM,40340,43660,36960,36980,25.73722,-123.0307,28900
11/29/2013 12:00:00 AM,36260,38740,36220,38640,26.7953,-109.1281,10000
12/6/2013 12:00:00 AM,38340,44020,37540,37920,26.61815,-87.92792,28900
12/13/2013 12:00:00 AM,37440,43400,37040,41900,29.39681,-74.21509,24700
12/20/2013 12:00:00 AM,40880,44120,35540,36960,27.98059,-78.02862,25900
12/27/2013 12:00:00 AM,36040,36279.8,31320,32520,26.73396,-99.61918,11600
1/3/2014 12:00:00 AM,32940,35360,32480,34480,28.25359,-86.07524,13800
1/10/2014 12:00:00 AM,33300,34300,30660,30820,27.12231,-97.32928,19800
1/17/2014 12:00:00 AM,31060,33980,30040,31080,27.34486,-103.52,22600
1/24/2014 12:00:00 AM,30440,37580,29200,36405,31.9298,-69.05436,27700
1/31/2014 12:00:00 AM,36055,45100,33500,43765,37.7747,32.9512,54300
2/7/2014 12:00:00 AM,44870,54205,34480,36100,34.45645,64.2911,49300
2/14/2014 12:00:00 AM,35845,36875,30050,30505,32.23082,-87.56648,35600
2/21/2014 12:00:00 AM,30050,34380,29660,32040,33.49992,-82.52296,32000
2/28/2014 12:00:00 AM,31740,34450,30500,33050,34.37081,-61.53077,42700
3/7/2014 12:00:00 AM,37150,38470,31000,32805,34.25362,-29.91465,49400
3/14/2014 12:00:00 AM,33330,39405,31625,38100,39.08728,21.79,56100
3/21/2014 12:00:00 AM,36000,36080,31300,33105,36.37077,-34.66012,47400
3/28/2014 12:00:00 AM,32850,34925,31665,31920,35.73624,-47.59983,52500
4/4/2014 12:00:00 AM,31380,31420,27270,29460,34.39474,-133.3529,43700
4/11/2014 12:00:00 AM,30055,34370,28070,33500,38.47922,-53.86031,61000
4/17/2014 12:00:00 AM,32275,35859.95,28905,29080,35.84951,-70.47848,43600
4/25/2014 12:00:00 AM,29005,30259.95,27460.05,29180.5,35.95668,-120.1019,37000
5/2/2014 12:00:00 AM,28770,29825,26300,26730,34.44559,-131.1065,37500
