Date,Open,High,Low,Close,Moving Average 50,Wilder's RSI 14,Commodity Channel Index (CCI) 14
5/16/2017 12:00:00 AM,232.6,237.8,230,232.6,,,
5/17/2017 12:00:00 AM,262,317.6,254.2,317,,,
5/18/2017 12:00:00 AM,312.8,316.8,283.8,302.6,,,
5/19/2017 12:00:00 AM,283,283,248.8,259,,,
5/22/2017 12:00:00 AM,244,244.4,233,234.8,,,
5/23/2017 12:00:00 AM,232.6,238.8,230.8,234,,,
5/24/2017 12:00:00 AM,232.6,238.6,220,222.2,,,
5/25/2017 12:00:00 AM,222.2,230,219.6,226.6,,,
5/26/2017 12:00:00 AM,228.8,228.8,218,219,,,
5/30/2017 12:00:00 AM,224.2,225.4,214.8,215.8,,,
5/31/2017 12:00:00 AM,213.6,229.6,212.4,219.8,,,
6/1/2017 12:00:00 AM,213.8,215.4,208.8,209.4,,,
6/2/2017 12:00:00 AM,210.4,212.6,206,210.2,,,
6/5/2017 12:00:00 AM,212.4,212.4,203.2,211.6,,,-83.56518
6/6/2017 12:00:00 AM,217,223.6,213.2,221.6,,,-47.4807
6/7/2017 12:00:00 AM,216.6,228.4,214.4,217,,46.54255,-40.05926
6/8/2017 12:00:00 AM,216,216.6,204.2,207,,44.42202,-93.06999
6/9/2017 12:00:00 AM,203,231.6,198.6,212.8,,45.95991,-54.42642
6/12/2017 12:00:00 AM,218.8,229.2,216,218,,47.3661,27.34018
6/13/2017 12:00:00 AM,208.4,210.4,201.8,202.8,,43.77994,-131.5672
6/14/2017 12:00:00 AM,202.6,209.2,199.6,201,,43.36127,-127.3959
6/15/2017 12:00:00 AM,216.4,218,202.4,206.2,,44.9977,-56.96767
6/16/2017 12:00:00 AM,202.4,210,201.4,202.2,,43.94587,-94.91243
6/19/2017 12:00:00 AM,195.2,195.4,187.4,189.4,,40.66975,-211.3804
6/20/2017 12:00:00 AM,194,201.6,192.6,200.2,,44.43377,-117.2635
6/21/2017 12:00:00 AM,193,200.2,191,196,,43.28373,-114.053
6/22/2017 12:00:00 AM,195.6,198,190.4,192.6,,42.32864,-109.2146
6/23/2017 12:00:00 AM,192,194.8,188,188.4,,41.12153,-114.0094
6/26/2017 12:00:00 AM,183.4,187.4,180,180.6,,38.90272,-144.2124
6/27/2017 12:00:00 AM,182,193,178.2,192.6,,43.91643,-91.57043
6/28/2017 12:00:00 AM,186,190,179.8,181.2,,40.515,-105.9682
6/29/2017 12:00:00 AM,181.8,235.8,181.4,199.8,,47.6406,59.14575
6/30/2017 12:00:00 AM,190.4,207.2,187.4,194.8,,46.04388,2.608049
7/3/2017 12:00:00 AM,188,200,186,200,,47.996,-1.81273
7/5/2017 12:00:00 AM,197,210.8,194,199.2,,47.71001,64.50443
7/6/2017 12:00:00 AM,206.4,222.6,204.6,219,,54.87645,196.2275
7/7/2017 12:00:00 AM,210.6,214.6,203.4,204.2,,49.42386,110.0697
7/10/2017 12:00:00 AM,203.2,204.2,190.8,194.4,,46.15368,0.1943161
7/11/2017 12:00:00 AM,195.4,211.4,190.8,192.8,,45.62292,19.05456
7/12/2017 12:00:00 AM,185.6,186.6,180.4,181.8,,42.04324,-112.6995
7/13/2017 12:00:00 AM,181.8,182,176.8,178,,40.8508,-120.1597
7/14/2017 12:00:00 AM,178,178.2,169,171.2,,38.7337,-135.2968
7/17/2017 12:00:00 AM,164.9,165.7,161.3,162.3,,36.09691,-164.2121
7/18/2017 12:00:00 AM,166,168.9,158.05,158.3,,34.9455,-136.276
7/19/2017 12:00:00 AM,155,155.95,151.45,154.5,,33.84112,-139.1756
7/20/2017 12:00:00 AM,152.5,157.85,151.55,152.1,,33.12902,-116.2296
7/21/2017 12:00:00 AM,153.55,154.95,148.85,148.95,,32.17212,-106.8262
7/24/2017 12:00:00 AM,148.3,148.45,142.6,143.5,,30.52911,-108.2842
7/25/2017 12:00:00 AM,143.1,146.25,142.2,145.2,,31.7008,-95.54794
7/26/2017 12:00:00 AM,143.3,146.2,141,145.55,201.396,31.95526,-87.14891
7/27/2017 12:00:00 AM,143.2,164.2,142.85,147.8,199.7,33.66617,-53.89613
7/28/2017 12:00:00 AM,154.1,158.6,150,150.95,196.379,36.08899,-40.27451
7/31/2017 12:00:00 AM,146.65,152.25,146.1,148.9,193.305,35.18822,-55.10425
8/1/2017 12:00:00 AM,145,147.4,143.45,144.8,191.021,33.39304,-78.76308
8/2/2017 12:00:00 AM,143.45,152,143.1,146.4,189.253,34.79113,-58.76211
8/3/2017 12:00:00 AM,146.95,151.25,146.5,150.1,187.575,38.03053,-23.76236
8/4/2017 12:00:00 AM,148.35,149.9,145.1,148.95,186.11,37.4085,-32.83779
8/7/2017 12:00:00 AM,148.45,149.05,145.1,145.2,184.482,35.37657,-51.58966
8/8/2017 12:00:00 AM,145.55,157.4,141.25,153.55,183.173,42.82378,54.38686
8/9/2017 12:00:00 AM,161.7,170.5,155.05,161.5,182.087,48.86578,264.1007
8/10/2017 12:00:00 AM,170.2,206.55,169.85,204.65,181.784,68.39039,367.5776
8/11/2017 12:00:00 AM,205,228.1,193.05,215.45,181.905,71.34006,264.8694
8/14/2017 12:00:00 AM,181.7,181.95,157.85,158.45,180.87,46.6158,35.21145
8/15/2017 12:00:00 AM,150.3,162.35,150,156.15,179.761,45.92417,-15.445
8/16/2017 12:00:00 AM,156.3,158.65,151.45,154.35,178.416,45.35701,-23.27255
8/17/2017 12:00:00 AM,161.95,205.95,157.85,205.75,178.191,60.3976,114.038
8/18/2017 12:00:00 AM,194.75,207.8,175.75,194.85,177.948,56.82552,100.1802
8/21/2017 12:00:00 AM,191.7,200.9,178.25,179.35,177.279,52.10618,62.63438
8/22/2017 12:00:00 AM,168.3,169.25,151.9,153.1,175.981,45.25196,-39.51649
8/23/2017 12:00:00 AM,165.2,167.45,153,155.45,175.034,45.93758,-40.99876
8/24/2017 12:00:00 AM,153.65,170.5,151.55,163.7,174.288,48.38155,-33.86916
8/25/2017 12:00:00 AM,158.1,161.35,153.15,154.4,173.252,45.86451,-59.95501
8/28/2017 12:00:00 AM,150.6,158.3,150.3,152,172.248,45.21083,-72.33896
8/29/2017 12:00:00 AM,174.5,175.95,154.55,155.95,171.579,46.56078,-37.78256
8/30/2017 12:00:00 AM,155.3,157.8,151.95,154.05,170.656,45.974,-62.67244
8/31/2017 12:00:00 AM,151.75,152.65,144.8,145.7,169.65,43.38622,-98.50511
9/1/2017 12:00:00 AM,143,145.55,141.8,144.7,168.692,43.07353,-107.2858
9/5/2017 12:00:00 AM,155,173.3,149.3,160.5,168.134,49.29208,-11.32682
9/6/2017 12:00:00 AM,154,161.5,152.5,153.25,167.587,46.76752,-42.68154
9/7/2017 12:00:00 AM,153.4,158.15,149.5,152.05,166.776,46.34443,-54.16761
9/8/2017 12:00:00 AM,155.75,161.3,154.5,159.15,166.335,49.26876,4.093981
9/11/2017 12:00:00 AM,147.7,147.7,139.3,141.05,165.16,42.85622,-170.3393
9/12/2017 12:00:00 AM,137.75,139.35,134,134,163.944,40.63761,-190.2375
9/13/2017 12:00:00 AM,134.1,134.1,124.15,124.45,162.433,37.78412,-190.7052
9/14/2017 12:00:00 AM,127.7,128.7,124.3,128,161.009,39.48518,-151.1602
