Date,Open,High,Low,Close,Moving Average 50,Wilder's RSI 14,Commodity Channel Index (CCI) 14
5/2/2019 1:25:00 PM,33.81,33.96,33.59,33.91,,,
5/2/2019 1:30:00 PM,33.94,33.97,33.7,33.82,,,
5/2/2019 1:35:00 PM,33.8,34,33.73,33.97,,,
5/2/2019 1:40:00 PM,33.97,33.97,33.47,33.7,,,
5/2/2019 1:45:00 PM,33.7,33.91,33.57,33.82,,,
5/2/2019 1:50:00 PM,33.8,34.05,33.78,33.95,,,
5/2/2019 1:55:00 PM,33.95,33.97,33.57,33.82,,,
5/2/2019 2:00:00 PM,33.82,33.91,33.59,33.76,,,
5/2/2019 2:05:00 PM,33.77,33.92,33.6,33.65,,,
5/2/2019 2:10:00 PM,33.67,33.85,33.53,33.84,,,
5/2/2019 2:15:00 PM,33.84,33.84,33.44,33.47,,,
5/2/2019 2:20:00 PM,33.47,33.52,33.28,33.34,,,
5/2/2019 2:25:00 PM,33.31,33.4,33.07,33.17,,,
5/2/2019 2:30:00 PM,33.18,33.46,33.08,33.43,,,-136.7102
5/2/2019 2:35:00 PM,33.42,33.52,33.21,33.51,,,-82.49181
5/2/2019 2:40:00 PM,33.5,33.65,33.46,33.61,,43.6441,-20.00015
5/2/2019 2:45:00 PM,33.63,33.73,33.55,33.6,,43.4458,7.145576
5/2/2019 2:50:00 PM,33.6,34.2,33.5,34.18,,55.94548,122.389
5/2/2019 2:55:00 PM,34.19,34.44,33.87,33.92,,50.5516,140.0308
5/2/2019 3:00:00 PM,33.9,34.04,33.76,34.03,,52.63235,95.47069
5/2/2019 3:05:00 PM,34.05,34.12,33.85,33.85,,48.99892,86.21851
5/2/2019 3:10:00 PM,33.85,34.08,33.57,34.05,,52.89042,67.36896
5/2/2019 3:15:00 PM,34.03,34.04,33.81,33.91,,50.01365,65.08322
5/2/2019 3:20:00 PM,33.94,33.99,33.71,33.87,,49.19038,43.69976
5/2/2019 3:25:00 PM,33.89,33.91,33.65,33.7,,45.74416,13.039
5/2/2019 3:30:00 PM,33.69,33.95,33.63,33.85,,49.13061,22.40948
5/2/2019 3:35:00 PM,33.86,34.04,33.64,34.01,,52.53392,42.06442
5/2/2019 3:40:00 PM,34.01,34.18,33.91,33.98,,51.83371,87.81992
5/2/2019 3:45:00 PM,34.01,34.28,34.01,34.13,,55.05926,144.6586
5/2/2019 3:50:00 PM,34.12,34.4,34.05,34.25,,57.51062,179.6877
5/2/2019 3:55:00 PM,34.23,34.23,33.89,33.93,,49.72182,37.45755
5/2/2019 4:00:00 PM,33.92,33.99,33.71,33.71,,45.19045,-93.6958
5/3/2019 9:35:00 AM,32.39,32.48,31.95,32.08,,26.16463,-445.6362
5/3/2019 9:40:00 AM,32.08,32.24,31.98,32.19,,28.35668,-235.8714
5/3/2019 9:45:00 AM,32.19,32.19,32.04,32.13,,27.87065,-158.0009
5/3/2019 9:50:00 AM,32.13,32.25,31.96,32.03,,27.03876,-120.8576
5/3/2019 9:55:00 AM,32.02,32.04,31.82,31.82,,25.32903,-107.8403
5/3/2019 10:00:00 AM,31.82,31.96,31.72,31.73,,24.61078,-94.07371
5/3/2019 10:05:00 AM,31.74,31.9,31.66,31.75,,25.11895,-81.79999
5/3/2019 10:10:00 AM,31.77,31.81,31.7,31.71,,24.75949,-73.18276
5/3/2019 10:15:00 AM,31.71,31.95,31.69,31.89,,29.639,-59.30367
5/3/2019 10:20:00 AM,31.89,31.96,31.69,31.96,,31.49949,-52.30334
5/3/2019 10:25:00 AM,31.96,31.96,31.76,31.83,,29.91734,-50.42901
5/3/2019 10:30:00 AM,31.83,31.85,31.75,31.77,,29.18864,-56.99641
5/3/2019 10:35:00 AM,31.77,31.77,31.6,31.61,,27.2804,-83.14818
5/3/2019 10:40:00 AM,31.62,31.7,31.59,31.7,,30.0506,-106.0969
5/3/2019 10:45:00 AM,31.7,31.7,31.57,31.61,,28.86637,-117.3667
