Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
5/17/2019 2:11:00 PM,35.57,35.7,35.52,35.7,,
5/17/2019 2:12:00 PM,35.7,35.81,35.7,35.8,,
5/17/2019 2:13:00 PM,35.8,35.81,35.72,35.73,,
5/17/2019 2:14:00 PM,35.74,35.74,35.65,35.65,,
5/17/2019 2:15:00 PM,35.65,35.69,35.63,35.67,,
5/17/2019 2:16:00 PM,35.67,35.71,35.62,35.63,,
5/17/2019 2:17:00 PM,35.63,35.72,35.61,35.7,,
5/17/2019 2:18:00 PM,35.7,35.71,35.66,35.71,,
5/17/2019 2:19:00 PM,35.71,35.71,35.61,35.63,,
5/17/2019 2:20:00 PM,35.62,35.63,35.58,35.6,,
5/17/2019 2:21:00 PM,35.6,35.69,35.56,35.56,,
5/17/2019 2:22:00 PM,35.56,35.63,35.55,35.58,,
5/17/2019 2:23:00 PM,35.55,35.56,35.46,35.54,,
5/17/2019 2:24:00 PM,35.53,35.53,35.5,35.53,,-148.3294
5/17/2019 2:25:00 PM,35.53,35.56,35.53,35.55,,-95.34081
5/17/2019 2:26:00 PM,35.58,35.62,35.57,35.62,44.2855,-25.98766
5/17/2019 2:27:00 PM,35.57,35.58,35.54,35.54,39.43233,-76.61449
5/17/2019 2:28:00 PM,35.54,35.66,35.54,35.65,47.8889,15.17965
5/17/2019 2:29:00 PM,35.6,35.61,35.56,35.56,42.64285,-36.90049
5/17/2019 2:30:00 PM,35.55,35.57,35.51,35.51,40.01978,-93.47729
5/17/2019 2:31:00 PM,35.51,35.56,35.47,35.47,38.00591,-120.5802
5/17/2019 2:32:00 PM,35.47,35.54,35.47,35.51,41.19283,-97.43197
5/17/2019 2:33:00 PM,35.51,35.6,35.51,35.6,47.70708,19.77117
5/17/2019 2:34:00 PM,35.59,35.61,35.54,35.61,48.39129,56.19043
5/17/2019 2:35:00 PM,35.61,35.68,35.56,35.68,53.02378,146.1335
5/17/2019 2:36:00 PM,35.68,35.68,35.62,35.63,49.59912,130.1572
5/17/2019 2:37:00 PM,35.63,35.63,35.57,35.57,45.77804,34.80426
5/17/2019 2:38:00 PM,35.58,35.58,35.52,35.56,45.15379,-36.244
5/17/2019 2:39:00 PM,35.53,35.53,35.48,35.53,43.24797,-100.2075
5/17/2019 2:40:00 PM,35.53,35.58,35.5,35.54,44.09512,-45.5705
5/17/2019 2:41:00 PM,35.54,35.6,35.53,35.53,43.39749,-21.94361
5/17/2019 2:42:00 PM,35.53,35.62,35.52,35.61,50.18603,37.83881
5/17/2019 2:43:00 PM,35.6,35.73,35.57,35.71,57.11027,159.0897
5/17/2019 2:44:00 PM,35.7,35.7,35.62,35.64,51.69345,110.407
5/17/2019 2:45:00 PM,35.63,35.64,35.52,35.52,43.99054,-37.81556
5/17/2019 2:46:00 PM,35.52,35.58,35.52,35.53,44.72955,-73.50556
