Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
1/4/2013 12:00:00 AM,1672000,1784000,1517000,1530000,,
1/11/2013 12:00:00 AM,1570000,1594900,1413000,1416000,,
1/18/2013 12:00:00 AM,1409000,1432000,1144000,1156000,,
1/25/2013 12:00:00 AM,1158000,1200000,1010000,1056000,,
2/1/2013 12:00:00 AM,1050000,1208000,1030000,1064050,,
2/8/2013 12:00:00 AM,1127990,1212000,1041000,1052800,,
2/15/2013 12:00:00 AM,1043000,1062000,947000,960000,,
2/22/2013 12:00:00 AM,945000,1139000,871000,991000,,
3/1/2013 12:00:00 AM,925000,1384000,900000,1126000,,
3/8/2013 12:00:00 AM,1159000,1170000,875000,886000,,
3/15/2013 12:00:00 AM,884000,891900,786000,793000,,
3/22/2013 12:00:00 AM,896000,970000,780000,823800,,
3/28/2013 12:00:00 AM,781000,850000,752000,769000,,
4/5/2013 12:00:00 AM,762000,843000,715000,757000,,-109.0227
4/12/2013 12:00:00 AM,743000,765000,626000,628000,,-135.4945
4/19/2013 12:00:00 AM,637000,895000,618000,733000,21.87125,-90.77625
4/26/2013 12:00:00 AM,742000,777000,616000,648330,20.54868,-104.571
5/3/2013 12:00:00 AM,629000,683000,602000,608000,19.93045,-110.3147
5/10/2013 12:00:00 AM,607000,629000,566000,594100,19.71035,-112.5673
5/17/2013 12:00:00 AM,596000,609000,562000,565000,19.23151,-109.3445
5/24/2013 12:00:00 AM,580000,663000,563000,611000,22.43915,-83.17722
5/31/2013 12:00:00 AM,575000,639000,568000,634280,24.08237,-73.52205
6/7/2013 12:00:00 AM,634000,781900,622000,625000,23.86531,-27.99724
6/14/2013 12:00:00 AM,608300,792000,603500,734900,31.71465,11.43722
6/21/2013 12:00:00 AM,699800,887500,623400,781300,34.7723,68.38639
6/28/2013 12:00:00 AM,862800,898400,692671.1,716900,32.59103,88.86942
7/5/2013 12:00:00 AM,694500,711690,605700,605700,29.18646,-42.382
7/12/2013 12:00:00 AM,572000,577500,479300,498200,26.32361,-157.0853
7/19/2013 12:00:00 AM,488750,512100,427300,432400,24.72496,-175.5992
7/26/2013 12:00:00 AM,426100,435000,393900,396100,23.86393,-180.3158
8/2/2013 12:00:00 AM,404300,414000,331882,333300,22.40995,-167.9509
8/9/2013 12:00:00 AM,330600,369800,322400,349500,23.70139,-135.5019
8/16/2013 12:00:00 AM,364400,383500,332100,367300,25.17507,-102.5407
