Date,Open,High,Low,Close,Volume ,Moving Average 50,Wilder's RSI 14,Commodity Channel Index (CCI) 14
6/24/2019 1:25:00 PM,32.01,32.03,32,32.02,7400,,,
6/24/2019 1:30:00 PM,32.02,32.07,32,32.06,17200,,,
6/24/2019 1:35:00 PM,32.06,32.06,32.02,32.02,23700,,,
6/24/2019 1:40:00 PM,32.02,32.03,31.93,31.95,40200,,,
6/24/2019 1:45:00 PM,31.94,32,31.94,31.99,27000,,,
6/24/2019 1:50:00 PM,31.99,32.04,31.98,32.01,27700,,,
6/24/2019 1:55:00 PM,32.01,32.08,31.98,32.07,39400,,,
6/24/2019 2:00:00 PM,32.07,32.07,32.04,32.06,33800,,,
6/24/2019 2:05:00 PM,32.06,32.08,32.03,32.05,18100,,,
6/24/2019 2:10:00 PM,32.05,32.06,32.03,32.04,9900,,,
6/24/2019 2:15:00 PM,32.06,32.06,32.02,32.05,8100,,,
6/24/2019 2:20:00 PM,32.04,32.1,32.02,32.1,14200,,,
6/24/2019 2:25:00 PM,32.1,32.13,32.06,32.12,24200,,,
6/24/2019 2:30:00 PM,32.11,32.15,32.1,32.1,58100,,,173.5457
6/24/2019 2:35:00 PM,32.1,32.12,32.08,32.09,16900,,,106.6233
6/24/2019 2:40:00 PM,32.1,32.12,32.07,32.1,18400,,59.5237,89.0429
6/24/2019 2:45:00 PM,32.1,32.17,32.09,32.12,35900,,61.49822,120.6333
6/24/2019 2:50:00 PM,32.12,32.13,32.05,32.09,40200,,57.0063,46.1537
6/24/2019 2:55:00 PM,32.08,32.08,31.96,31.97,64700,,43.36216,-134.814
6/24/2019 3:00:00 PM,31.96,31.97,31.88,31.89,55800,,37.00362,-252.8503
6/24/2019 3:05:00 PM,31.89,31.99,31.85,31.92,77400,,40.52573,-182.157
6/24/2019 3:10:00 PM,31.92,32,31.9,32,47600,,48.75368,-95.8615
6/24/2019 3:15:00 PM,31.99,32.07,31.91,31.94,112800,,43.85353,-73.60394
6/24/2019 3:20:00 PM,31.94,32.16,31.92,32.15,83800,,59.28006,36.05397
6/24/2019 3:25:00 PM,32.14,32.22,32.09,32.09,90600,,54.65909,83.49544
6/24/2019 3:30:00 PM,32.1,32.21,32.08,32.21,70500,,61.17708,102.6978
6/24/2019 3:35:00 PM,32.2,32.33,32.19,32.31,46500,,65.61346,172.0758
6/24/2019 3:40:00 PM,32.3,32.31,32.18,32.29,94900,,64.03734,136.981
6/24/2019 3:45:00 PM,32.29,32.32,32.27,32.28,54500,,63.21947,131.1221
6/24/2019 3:50:00 PM,32.29,32.32,32.17,32.24,74100,,59.92361,84.40372
6/24/2019 3:55:00 PM,32.24,32.34,32.19,32.34,81600,,64.85661,95.40412
6/24/2019 4:00:00 PM,32.34,32.35,32.13,32.13,247400,,50.7336,42.68784
6/25/2019 9:35:00 AM,32.3,32.48,32.26,32.29,243900,,58.20182,102.0683
6/25/2019 9:40:00 AM,32.28,32.73,32.25,32.67,343500,,69.87984,181.8706
6/25/2019 9:45:00 AM,32.67,32.8,32.59,32.59,206100,,65.71716,203.0296
6/25/2019 9:50:00 AM,32.59,32.64,32.4,32.61,148100,,66.25832,127.6389
6/25/2019 9:55:00 AM,32.63,32.67,32.44,32.44,158200,,57.89301,89.88202
6/25/2019 10:00:00 AM,32.45,32.48,32.4,32.44,91200,,50.96374,43.01479
6/25/2019 10:05:00 AM,32.43,32.54,32.42,32.54,109700,,54.41978,60.03041
6/25/2019 10:10:00 AM,32.54,32.54,32.4,32.41,91000,,49.53244,27.52637
6/25/2019 10:15:00 AM,32.43,32.6,32.4,32.57,141100,,54.9008,58.10921
6/25/2019 10:20:00 AM,32.6,32.7,32.55,32.68,151000,,58.19337,110.1195
6/25/2019 10:25:00 AM,32.69,32.89,32.69,32.75,146900,,60.18539,155.4315
6/25/2019 10:30:00 AM,32.75,32.75,32.51,32.53,127600,,51.82706,55.14104
6/25/2019 10:35:00 AM,32.53,32.59,32.47,32.57,155800,,53.10236,15.33675
6/25/2019 10:40:00 AM,32.57,32.71,32.51,32.7,94200,,57.07917,73.70667
6/25/2019 10:45:00 AM,32.7,32.71,32.56,32.67,109100,,55.90102,65.29208
6/25/2019 10:50:00 AM,32.67,32.84,32.57,32.84,103300,,60.83403,126.7981
6/25/2019 10:55:00 AM,32.84,32.89,32.69,32.8,147700,,59.15719,137.6173
6/25/2019 11:00:00 AM,32.8,32.92,32.77,32.77,74400,86108,57.86892,126.2231
6/25/2019 11:05:00 AM,32.78,32.87,32.74,32.76,95500,87870,57.41993,93.33472
6/25/2019 11:10:00 AM,32.76,32.82,32.57,32.59,104100,89608,50.27957,5.261177
6/25/2019 11:15:00 AM,32.59,32.6,32.51,32.55,88600,90906,48.74359,-73.5224
6/25/2019 11:20:00 AM,32.54,32.56,32.37,32.4,147400,93050,43.39068,-151.1516
6/25/2019 11:25:00 AM,32.39,32.42,32.24,32.31,124400,94998,40.51568,-198.3047
