Date,Open,High,Low,Close,Moving Average 21,Moving Average 43
9/18/2019 14:11,25.22,25.38,25.19,25.37,,
9/18/2019 14:12,25.37,25.5,25.34,25.46,,
9/18/2019 14:13,25.46,25.5,25.27,25.33,,
9/18/2019 14:14,25.34,25.57,25.34,25.53,,
9/18/2019 14:15,25.53,25.81,25.48,25.75,,
9/18/2019 14:16,25.75,25.9,25.72,25.82,,
9/18/2019 14:17,25.82,25.92,25.76,25.8,,
9/18/2019 14:18,25.8,25.8,25.58,25.68,,
9/18/2019 14:19,25.68,25.78,25.63,25.65,,
9/18/2019 14:20,25.66,25.82,25.64,25.79,,
9/18/2019 14:21,25.79,25.95,25.79,25.95,,
9/18/2019 14:22,25.95,25.95,25.7,25.71,,
9/18/2019 14:23,25.71,25.71,25.56,25.56,,
9/18/2019 14:24,25.56,25.64,25.53,25.57,,
9/18/2019 14:25,25.56,25.61,25.49,25.61,,
9/18/2019 14:26,25.61,25.75,25.6,25.68,,
9/18/2019 14:27,25.68,25.74,25.62,25.7,,
9/18/2019 14:28,25.71,25.75,25.63,25.68,,
9/18/2019 14:29,25.68,25.72,25.62,25.7,,
9/18/2019 14:30,25.7,25.83,25.67,25.7,,
9/18/2019 14:31,25.7,25.83,25.66,25.83,25.66048,
9/18/2019 14:32,25.83,25.94,25.72,25.73,25.67762,
9/18/2019 14:33,25.73,25.88,25.73,25.85,25.69619,
9/18/2019 14:34,25.86,25.87,25.72,25.72,25.71476,
9/18/2019 14:35,25.71,25.81,25.58,25.61,25.71857,
9/18/2019 14:36,25.62,25.74,25.6,25.71,25.71667,
9/18/2019 14:37,25.71,25.95,25.69,25.7,25.71095,
9/18/2019 14:38,25.7,25.82,25.68,25.73,25.70762,
9/18/2019 14:39,25.73,25.79,25.65,25.78,25.71238,
9/18/2019 14:40,25.78,25.87,25.7,25.78,25.71857,
9/18/2019 14:41,25.78,25.81,25.62,25.7,25.71429,
9/18/2019 14:42,25.68,25.74,25.6,25.65,25.7,
9/18/2019 14:43,25.66,25.72,25.44,25.45,25.68762,
9/18/2019 14:44,25.45,25.62,25.44,25.51,25.68524,
9/18/2019 14:45,25.51,25.6,25.48,25.48,25.68095,
9/18/2019 14:46,25.48,25.64,25.48,25.57,25.67905,
9/18/2019 14:47,25.58,25.91,25.58,25.87,25.6881,
9/18/2019 14:48,25.88,26.05,25.85,26,25.70238,
9/18/2019 14:49,26,26.1,25.95,26.05,25.72,
9/18/2019 14:50,26.04,26.05,25.75,25.76,25.72286,
9/18/2019 14:51,25.76,25.84,25.55,25.57,25.71667,
9/18/2019 14:52,25.57,25.57,25.42,25.42,25.69714,
9/18/2019 14:53,25.42,25.44,25.27,25.32,25.67762,25.67047
9/18/2019 14:54,25.32,25.32,25.14,25.16,25.64476,25.66558
9/18/2019 14:55,25.16,25.24,25.1,25.24,25.6219,25.66047
9/18/2019 14:56,25.24,25.31,25.18,25.26,25.60524,25.65884
9/18/2019 14:57,25.25,25.27,25.2,25.23,25.58238,25.65186
9/18/2019 14:58,25.23,25.32,25.21,25.26,25.56143,25.64046
9/18/2019 14:59,25.28,25.34,25.27,25.32,25.5419,25.62884
9/18/2019 15:00,25.36,25.39,25.34,25.36,25.5219,25.6186
9/18/2019 15:01,25.36,25.42,25.29,25.32,25.5,25.61023
9/18/2019 15:02,25.32,25.4,25.32,25.4,25.48571,25.60442
9/18/2019 15:03,25.4,25.49,25.38,25.39,25.47333,25.59512
9/18/2019 15:04,25.39,25.49,25.39,25.42,25.4719,25.58279
9/18/2019 15:05,25.42,25.42,25.29,25.36,25.46476,25.57465
9/18/2019 15:06,25.36,25.41,25.29,25.32,25.45714,25.56907
9/18/2019 15:07,25.32,25.34,25.22,25.22,25.44048,25.56093
9/18/2019 15:08,25.22,25.22,25.05,25.05,25.40143,25.54791
9/18/2019 15:09,25.06,25.06,24.92,24.94,25.35095,25.5307
9/18/2019 15:10,24.94,25,24.89,24.94,25.2981,25.51302
9/18/2019 15:11,24.94,24.94,24.84,24.84,25.25429,25.49349
9/18/2019 15:12,24.84,24.86,24.82,24.84,25.21952,25.47349
9/18/2019 15:13,24.84,24.84,24.79,24.84,25.1919,25.45349
9/18/2019 15:14,24.84,24.95,24.84,24.95,25.17429,25.43302
9/18/2019 15:15,24.94,24.99,24.92,24.92,25.16286,25.41419
9/18/2019 15:16,24.92,24.94,24.88,24.93,25.1481,25.39279
9/18/2019 15:17,24.93,24.93,24.81,24.82,25.12714,25.37186
9/18/2019 15:18,24.82,24.82,24.71,24.73,25.10333,25.35139
9/18/2019 15:19,24.72,24.73,24.7,24.72,25.07762,25.32837
9/18/2019 15:20,24.72,24.72,24.65,24.69,25.04762,25.30488
9/18/2019 15:21,24.7,24.74,24.66,24.66,25.01429,25.28
9/18/2019 15:22,24.66,24.79,24.65,24.78,24.98857,25.25674
9/18/2019 15:23,24.77,24.85,24.76,24.82,24.96095,25.23442
9/18/2019 15:24,24.82,24.89,24.8,24.84,24.93476,25.21442
9/18/2019 15:25,24.84,24.85,24.74,24.74,24.90238,25.19326
9/18/2019 15:26,24.74,24.75,24.7,24.71,24.87143,25.17605
9/18/2019 15:27,24.71,24.74,24.67,24.72,24.84286,25.15767
9/18/2019 15:28,24.74,24.75,24.72,24.72,24.81905,25.14
9/18/2019 15:29,24.72,24.75,24.69,24.74,24.80429,25.1207
9/18/2019 15:30,24.74,24.75,24.72,24.72,24.79381,25.09395
9/18/2019 15:31,24.72,24.75,24.68,24.73,24.78381,25.06442
9/18/2019 15:32,24.73,24.74,24.7,24.7,24.77714,25.03302
9/18/2019 15:33,24.7,24.7,24.44,24.44,24.75809,25.00233
9/18/2019 15:34,24.44,24.44,24.38,24.4,24.73714,24.97512
9/18/2019 15:35,24.4,24.41,24.29,24.3,24.70619,24.94907
9/18/2019 15:36,24.31,24.33,24.27,24.3,24.67667,24.92535
9/18/2019 15:37,24.3,24.34,24.27,24.32,24.64762,24.90581
9/18/2019 15:38,24.32,24.37,24.29,24.33,24.62428,24.88465
9/18/2019 15:39,24.33,24.34,24.29,24.33,24.60524,24.86302
9/18/2019 15:40,24.33,24.34,24.32,24.32,24.58619,24.84186
9/18/2019 15:41,24.32,24.34,24.27,24.28,24.56667,24.81907
9/18/2019 15:42,24.28,24.3,24.2,24.22,24.54571,24.79349
9/18/2019 15:43,24.22,24.3,24.22,24.24,24.52,24.76744
9/18/2019 15:44,24.25,24.28,24.21,24.22,24.49143,24.74186
9/18/2019 15:45,24.22,24.23,24.17,24.19,24.46048,24.71372
9/18/2019 15:46,24.18,24.28,24.16,24.27,24.4381,24.68767
9/18/2019 15:47,24.26,24.27,24.2,24.27,24.41714,24.66093
9/18/2019 15:48,24.27,24.32,24.27,24.31,24.39762,24.63651
9/18/2019 15:49,24.3,24.32,24.28,24.31,24.3781,24.61302
9/18/2019 15:50,24.31,24.31,24.25,24.29,24.35667,24.59139
9/18/2019 15:51,24.29,24.39,24.27,24.31,24.33714,24.57419
9/18/2019 15:52,24.31,24.34,24.3,24.31,24.31714,24.55953
9/18/2019 15:53,24.3,24.35,24.29,24.32,24.29905,24.54512
9/18/2019 15:54,24.32,24.35,24.31,24.31,24.29286,24.53279
9/18/2019 15:55,24.31,24.33,24.29,24.3,24.2881,24.52023
9/18/2019 15:56,24.3,24.31,24.27,24.31,24.28857,24.50791
9/18/2019 15:57,24.31,24.32,24.27,24.28,24.28762,24.49232
9/18/2019 15:58,24.29,24.31,24.28,24.3,24.28667,24.47791
9/18/2019 15:59,24.3,24.32,24.28,24.29,24.28476,24.46302
9/18/2019 16:00,24.29,24.3,24.19,24.21,24.27905,24.44884
9/19/2019 9:31,23.83,23.83,23.72,23.73,24.25095,24.42558
9/19/2019 9:32,23.72,23.72,23.65,23.65,24.22095,24.4007
9/19/2019 9:33,23.65,23.66,23.52,23.54,24.18857,24.37395
9/19/2019 9:34,23.54,23.57,23.45,23.51,24.15381,24.34721
9/19/2019 9:35,23.51,23.55,23.49,23.52,24.12048,24.31791
9/19/2019 9:36,23.53,23.57,23.51,23.56,24.09048,24.2886
9/19/2019 9:37,23.56,23.56,23.49,23.5,24.05381,24.25744
9/19/2019 9:38,23.49,23.52,23.43,23.44,24.01429,24.22721
9/19/2019 9:39,23.44,23.49,23.43,23.44,23.97286,24.19767
9/19/2019 9:40,23.44,23.47,23.42,23.43,23.93095,24.16768
9/19/2019 9:41,23.43,23.54,23.43,23.52,23.89429,24.13977
9/19/2019 9:42,23.52,23.55,23.5,23.5,23.85571,24.11093
9/19/2019 9:43,23.51,23.52,23.49,23.51,23.81762,24.08279
9/19/2019 9:44,23.51,23.54,23.5,23.53,23.78,24.05488
9/19/2019 9:45,23.53,23.54,23.5,23.52,23.74238,24.02744
