Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
7/23/2019 2:00:00 PM,25.27,25.29,24.93,25.01,,
7/23/2019 3:00:00 PM,25.01,25.13,24.79,24.89,,
7/23/2019 4:00:00 PM,24.88,24.94,24.53,24.59,,
7/24/2019 10:00:00 AM,24.97,24.99,24.39,24.52,,
7/24/2019 11:00:00 AM,24.52,24.58,24.06,24.16,,
7/24/2019 12:00:00 PM,24.16,24.36,24.14,24.23,,
7/24/2019 1:00:00 PM,24.23,24.24,23.88,23.89,,
7/24/2019 2:00:00 PM,23.89,24.09,23.86,24.01,,
7/24/2019 3:00:00 PM,24.02,24.08,23.57,23.58,,
7/24/2019 4:00:00 PM,23.58,23.64,23.43,23.63,,
7/25/2019 10:00:00 AM,23.95,24.88,23.87,24.69,,
7/25/2019 11:00:00 AM,24.69,24.76,24.28,24.38,,
7/25/2019 12:00:00 PM,24.39,24.95,24.27,24.79,,
7/25/2019 1:00:00 PM,24.79,25.35,24.75,25.05,,110.3715
7/25/2019 2:00:00 PM,25.05,25.28,24.46,24.72,,76.69817
7/25/2019 3:00:00 PM,24.72,24.72,24.25,24.66,45.92075,33.82852
7/25/2019 4:00:00 PM,24.67,25.03,24.51,24.64,45.69134,68.37124
7/26/2019 10:00:00 AM,24.08,24.1,23.72,23.76,36.94584,-83.68209
7/26/2019 11:00:00 AM,23.76,23.88,23.63,23.76,30.63179,-87.20994
7/26/2019 12:00:00 PM,23.76,23.82,23.51,23.52,29.16774,-92.70544
7/26/2019 1:00:00 PM,23.52,23.72,23.5,23.56,29.7702,-86.14468
7/26/2019 2:00:00 PM,23.56,23.71,23.49,23.58,30.09039,-77.59881
7/26/2019 3:00:00 PM,23.58,23.64,23.51,23.58,30.43196,-76.41991
7/26/2019 4:00:00 PM,23.59,23.84,23.49,23.78,33.90944,-62.45095
7/29/2019 10:00:00 AM,23.84,24.3,23.77,24.27,41.61029,-5.022492
7/29/2019 11:00:00 AM,24.27,24.37,23.95,24.07,39.58294,0.697042
7/29/2019 12:00:00 PM,24.06,24.1,23.7,23.85,37.42301,-29.19011
7/29/2019 1:00:00 PM,23.84,24.01,23.79,23.79,36.83271,-23.4021
7/29/2019 2:00:00 PM,23.79,23.87,23.73,23.86,38.06026,-23.2737
7/29/2019 3:00:00 PM,23.86,24,23.72,23.8,37.38953,-7.520545
7/29/2019 4:00:00 PM,23.81,24.09,23.77,24.03,41.63552,71.8282
7/30/2019 10:00:00 AM,24.77,25.03,24.58,24.65,51.23569,277.2146
7/30/2019 11:00:00 AM,24.66,24.74,24.4,24.56,49.95126,158.277
7/30/2019 12:00:00 PM,24.55,24.71,24.33,24.7,51.96842,126.1735
7/30/2019 1:00:00 PM,24.7,24.92,24.51,24.89,54.64033,133.1757
7/30/2019 2:00:00 PM,24.89,24.96,24.64,24.66,50.94576,105.5472
7/30/2019 3:00:00 PM,24.66,24.78,24.26,24.71,51.71017,62.42867
7/30/2019 4:00:00 PM,24.71,25.12,24.56,24.93,55.03074,97.2996
7/31/2019 10:00:00 AM,24.89,25.11,24.86,24.94,55.18161,98.22697
7/31/2019 11:00:00 AM,24.95,25.27,24.87,24.97,55.66214,96.07957
7/31/2019 12:00:00 PM,24.98,25.01,24.42,24.44,46.23119,22.95298
7/31/2019 1:00:00 PM,24.44,24.72,24.43,24.55,48.19311,3.837655
7/31/2019 2:00:00 PM,24.55,24.8,24.47,24.59,48.92297,3.888401
7/31/2019 3:00:00 PM,24.61,28.29,24.23,26.63,71.2039,353.5369
7/31/2019 4:00:00 PM,26.64,27.15,25.59,26.99,73.4084,243.3762
8/1/2019 10:00:00 AM,26.81,26.99,26.38,26.67,68.39608,170.0237
8/1/2019 11:00:00 AM,26.68,26.79,25.45,25.5,53.90389,69.6655
8/1/2019 12:00:00 PM,25.51,25.83,25.21,25.55,54.34905,25.11892
8/1/2019 1:00:00 PM,25.56,25.83,25.49,25.59,54.72575,29.65561
