Date,Open,High,Low,Close,Moving Average 21,Moving Average 43,Moving Average 178,Wilder's RSI 14,Commodity Channel Index (CCI) 14
12/3/2019 2:11:00 PM,17.64,17.66,17.63,17.64,,,,,
12/3/2019 2:12:00 PM,17.64,17.67,17.62,17.65,,,,,
12/3/2019 2:13:00 PM,17.65,17.67,17.63,17.65,,,,,
12/3/2019 2:14:00 PM,17.66,17.69,17.65,17.67,,,,,
12/3/2019 2:15:00 PM,17.68,17.71,17.67,17.7,,,,,
12/3/2019 2:16:00 PM,17.7,17.71,17.67,17.7,,,,,
12/3/2019 2:17:00 PM,17.7,17.74,17.69,17.72,,,,,
12/3/2019 2:18:00 PM,17.72,17.75,17.71,17.75,,,,,
12/3/2019 2:19:00 PM,17.75,17.75,17.69,17.71,,,,,
12/3/2019 2:20:00 PM,17.7,17.74,17.7,17.74,,,,,
12/3/2019 2:21:00 PM,17.73,17.8,17.73,17.76,,,,,
12/3/2019 2:22:00 PM,17.75,17.76,17.73,17.75,,,,,
12/3/2019 2:23:00 PM,17.75,17.8,17.75,17.77,,,,,
12/3/2019 2:24:00 PM,17.77,17.8,17.76,17.77,,,,,113.9819
12/3/2019 2:25:00 PM,17.77,17.81,17.76,17.8,,,,,121.5193
12/3/2019 2:26:00 PM,17.81,17.82,17.78,17.81,,,,81.48122,126.1169
12/3/2019 2:27:00 PM,17.81,17.82,17.78,17.78,,,,72.77369,95.49592
12/3/2019 2:28:00 PM,17.77,17.8,17.72,17.72,,,,59.15663,-3.704511
12/3/2019 2:29:00 PM,17.72,17.74,17.7,17.73,,,,60.48377,-64.25276
12/3/2019 2:30:00 PM,17.72,17.75,17.72,17.74,,,,61.81981,-44.17836
12/3/2019 2:31:00 PM,17.75,17.81,17.74,17.78,17.73048,,,66.67356,51.13488
12/3/2019 2:32:00 PM,17.79,17.8,17.76,17.78,17.73714,,,70.68673,52.5852
12/3/2019 2:33:00 PM,17.78,17.82,17.78,17.8,17.74429,,,72.47155,97.68823
12/3/2019 2:34:00 PM,17.79,17.81,17.73,17.74,17.74857,,,60.55814,-31.16168
12/3/2019 2:35:00 PM,17.74,17.75,17.72,17.73,17.75143,,,58.82251,-101.017
12/3/2019 2:36:00 PM,17.72,17.76,17.72,17.75,17.75381,,,61.21663,-69.57745
12/3/2019 2:37:00 PM,17.75,17.78,17.73,17.73,17.75524,,,57.60947,-51.85215
12/3/2019 2:38:00 PM,17.72,17.74,17.69,17.7,17.75429,,,52.60276,-128.8819
12/3/2019 2:39:00 PM,17.7,17.72,17.69,17.72,17.75286,,,55.38635,-111.5969
12/3/2019 2:40:00 PM,17.72,17.75,17.71,17.74,17.75429,,,58.04041,-46.52744
12/3/2019 2:41:00 PM,17.74,17.74,17.69,17.7,17.75238,,,51.44852,-105.4484
12/3/2019 2:42:00 PM,17.7,17.71,17.68,17.7,17.74952,,,45.84161,-121.333
12/3/2019 2:43:00 PM,17.69,17.7,17.67,17.68,17.74619,,,43.30053,-136.6124
12/3/2019 2:44:00 PM,17.68,17.72,17.68,17.71,17.74333,,,47.96008,-74.04048
12/3/2019 2:45:00 PM,17.71,17.74,17.71,17.73,17.74143,,,50.8596,-11.83911
12/3/2019 2:46:00 PM,17.73,17.75,17.7,17.71,17.73714,,,47.98061,-20.75629
12/3/2019 2:47:00 PM,17.7,17.74,17.7,17.71,17.73238,,,45.22374,-17.00451
12/3/2019 2:48:00 PM,17.71,17.71,17.67,17.68,17.72762,,,41.38294,-123.2312
12/3/2019 2:49:00 PM,17.68,17.7,17.68,17.7,17.72667,,,44.75188,-83.18167
12/3/2019 2:50:00 PM,17.7,17.72,17.7,17.71,17.72571,,,46.41003,-2.446663
12/3/2019 2:51:00 PM,17.7,17.78,17.68,17.75,17.72619,,,52.54631,146.8949
12/3/2019 2:52:00 PM,17.75,17.78,17.74,17.78,17.72619,,,56.56349,210.5667
12/3/2019 2:53:00 PM,17.78,17.79,17.75,17.75,17.72476,17.72884,,51.83762,151.3561
12/3/2019 2:54:00 PM,17.75,17.78,17.73,17.77,17.72333,17.73186,,54.56313,120.9344
12/3/2019 2:55:00 PM,17.77,17.78,17.76,17.77,17.72476,17.73465,,57.17313,119.4359
12/3/2019 2:56:00 PM,17.76,17.78,17.72,17.72,17.72429,17.73628,,49.51545,34.86927
12/3/2019 2:57:00 PM,17.72,17.73,17.7,17.73,17.72333,17.73767,,50.931,-27.86453
12/3/2019 2:58:00 PM,17.73,17.75,17.67,17.69,17.72143,17.73744,,45.44249,-76.61908
12/3/2019 2:59:00 PM,17.69,17.72,17.69,17.72,17.72238,17.73791,,49.81087,-51.33323
12/3/2019 3:00:00 PM,17.73,17.76,17.72,17.75,17.72381,17.73861,,53.7953,36.60346
12/3/2019 3:01:00 PM,17.75,17.75,17.71,17.71,17.72238,17.73767,,48.29051,-20.00019
12/3/2019 3:02:00 PM,17.71,17.77,17.7,17.76,17.72524,17.73884,,54.55109,27.94078
12/3/2019 3:03:00 PM,17.77,17.8,17.77,17.78,17.72905,17.73977,,56.80394,137.9837
12/3/2019 3:04:00 PM,17.79,17.82,17.78,17.8,17.73476,17.7407,,58.99278,154.3878
12/3/2019 3:05:00 PM,17.81,17.81,17.79,17.8,17.73905,17.74186,,61.11475,124.6874
12/3/2019 3:06:00 PM,17.8,17.8,17.76,17.8,17.74238,17.74256,,63.16731,81.86987
12/3/2019 3:07:00 PM,17.8,17.89,17.77,17.88,17.75048,17.74512,,69.99125,176.0201
12/3/2019 3:08:00 PM,17.88,17.93,17.87,17.9,17.75952,17.74744,,71.41701,202.2104
12/3/2019 3:09:00 PM,17.9,17.9,17.83,17.84,17.76714,17.74814,,61.91368,109.8226
12/3/2019 3:10:00 PM,17.83,17.89,17.83,17.87,17.77524,17.75023,,64.46026,101.5299
12/3/2019 3:11:00 PM,17.88,17.92,17.79,17.8,17.77952,17.75209,,55.18785,57.90411
12/3/2019 3:12:00 PM,17.8,17.84,17.77,17.84,17.78381,17.75465,,58.83208,23.58066
12/3/2019 3:13:00 PM,17.84,17.84,17.77,17.78,17.78381,17.75558,,52.00108,-17.1488
12/3/2019 3:14:00 PM,17.78,17.78,17.72,17.73,17.78286,17.75442,,47.09369,-106.4939
12/3/2019 3:15:00 PM,17.73,17.76,17.72,17.74,17.78143,17.75349,,48.14764,-117.0774
12/3/2019 3:16:00 PM,17.74,17.75,17.7,17.72,17.77905,17.75163,,46.16676,-138.8896
12/3/2019 3:17:00 PM,17.72,17.74,17.72,17.73,17.77952,17.75139,,47.3335,-112.264
12/3/2019 3:18:00 PM,17.73,17.76,17.7,17.72,17.77905,17.75116,,46.25391,-98.349
12/3/2019 3:19:00 PM,17.72,17.75,17.71,17.72,17.78048,17.75047,,45.14505,-82.8848
12/3/2019 3:20:00 PM,17.72,17.73,17.7,17.72,17.78048,17.75023,,44.00884,-81.4801
12/3/2019 3:21:00 PM,17.72,17.73,17.62,17.62,17.77429,17.74837,,34.62459,-127.9811
12/3/2019 3:22:00 PM,17.62,17.62,17.52,17.53,17.76571,17.74395,,28.69414,-212.2163
12/3/2019 3:23:00 PM,17.54,17.55,17.52,17.53,17.75476,17.73907,,24.22563,-202.5736
12/3/2019 3:24:00 PM,17.52,17.56,17.48,17.54,17.74333,17.73535,,25.61183,-152.9951
12/3/2019 3:25:00 PM,17.54,17.55,17.46,17.51,17.72952,17.73093,,24.18257,-130.8994
12/3/2019 3:26:00 PM,17.51,17.51,17.46,17.47,17.71381,17.72605,,22.38858,-121.6888
12/3/2019 3:27:00 PM,17.46,17.46,17.42,17.42,17.69571,17.7193,,20.35582,-124.0005
12/3/2019 3:28:00 PM,17.42,17.44,17.41,17.42,17.67381,17.71209,,18.54275,-109.1165
12/3/2019 3:29:00 PM,17.42,17.42,17.35,17.35,17.64762,17.70372,,16.34744,-119.8495
12/3/2019 3:30:00 PM,17.35,17.4,17.35,17.36,17.62476,17.69558,,17.84388,-109.1889
12/3/2019 3:31:00 PM,17.36,17.48,17.36,17.48,17.60619,17.69093,,33.26991,-61.03107
12/3/2019 3:32:00 PM,17.47,17.51,17.43,17.48,17.59095,17.68581,,44.49374,-31.52671
12/3/2019 3:33:00 PM,17.47,17.49,17.43,17.49,17.57429,17.6807,,45.31915,-24.65299
12/3/2019 3:34:00 PM,17.49,17.49,17.42,17.43,17.55762,17.67326,,41.34641,-37.05094
12/3/2019 3:35:00 PM,17.42,17.5,17.42,17.49,17.54619,17.66651,,46.40593,8.504749
12/3/2019 3:36:00 PM,17.48,17.52,17.47,17.52,17.53572,17.66116,,48.78486,71.64246
12/3/2019 3:37:00 PM,17.52,17.53,17.5,17.5,17.52524,17.65488,,47.27819,88.85056
12/3/2019 3:38:00 PM,17.5,17.54,17.5,17.53,17.51571,17.6493,,49.78347,113.1218
12/3/2019 3:39:00 PM,17.54,17.55,17.52,17.52,17.50619,17.64465,,48.94851,117.4728
12/3/2019 3:40:00 PM,17.52,17.56,17.52,17.54,17.49762,17.64023,,50.7284,116.3
12/3/2019 3:41:00 PM,17.54,17.55,17.51,17.55,17.48952,17.63698,,51.63618,96.61249
12/3/2019 3:42:00 PM,17.54,17.58,17.54,17.55,17.48619,17.63302,,52.57711,106.5993
12/3/2019 3:43:00 PM,17.55,17.58,17.55,17.57,17.4881,17.62884,,54.48472,109.6943
12/3/2019 3:44:00 PM,17.57,17.61,17.56,17.61,17.49191,17.62651,,58.11373,143.3335
12/3/2019 3:45:00 PM,17.6,17.64,17.6,17.63,17.49619,17.62349,,59.83782,167.6743
12/3/2019 3:46:00 PM,17.63,17.64,17.58,17.59,17.5,17.61907,,54.96468,114.5084
12/3/2019 3:47:00 PM,17.58,17.6,17.49,17.49,17.50095,17.61186,,45.08017,-20.38412
12/3/2019 3:48:00 PM,17.49,17.51,17.47,17.5,17.50476,17.60488,,46.1236,-94.08289
12/3/2019 3:49:00 PM,17.5,17.52,17.46,17.52,17.50952,17.59837,,48.24162,-89.21632
12/3/2019 3:50:00 PM,17.52,17.54,17.44,17.44,17.51381,17.58814,,41.25534,-133.4019
12/3/2019 3:51:00 PM,17.44,17.44,17.34,17.36,17.51381,17.57558,,35.6893,-238.95
12/3/2019 3:52:00 PM,17.36,17.45,17.36,17.44,17.51191,17.56628,,43.84792,-140.2481
12/3/2019 3:53:00 PM,17.44,17.44,17.4,17.4,17.50809,17.55535,,41.04411,-114.281
12/3/2019 3:54:00 PM,17.41,17.48,17.39,17.47,17.50714,17.54767,,47.38461,-66.16298
12/3/2019 3:55:00 PM,17.46,17.46,17.39,17.39,17.50524,17.53721,,41.84569,-87.05616
12/3/2019 3:56:00 PM,17.4,17.46,17.4,17.42,17.50191,17.52884,,44.46727,-64.29422
12/3/2019 3:57:00 PM,17.41,17.46,17.39,17.44,17.49809,17.52209,,46.20824,-53.16393
12/3/2019 3:58:00 PM,17.45,17.48,17.39,17.4,17.49333,17.51419,,43.28544,-53.04441
12/3/2019 3:59:00 PM,17.4,17.42,17.37,17.38,17.48619,17.50628,,41.85974,-87.6054
12/3/2019 4:00:00 PM,17.38,17.46,17.36,17.44,17.48238,17.49953,,47.45156,-37.58966
12/4/2019 9:31:00 AM,16.59,16.69,16.59,16.65,17.44,17.47465,,20.07488,-466.6667
12/4/2019 9:32:00 AM,16.65,16.79,16.64,16.78,17.40333,17.45279,,27.48867,-216.1131
12/4/2019 9:33:00 AM,16.78,16.82,16.75,16.79,17.36714,17.43116,,28.04162,-137.3028
12/4/2019 9:34:00 AM,16.79,16.82,16.73,16.76,17.32857,17.41116,,27.36737,-108.0831
12/4/2019 9:35:00 AM,16.76,16.78,16.72,16.72,17.28619,17.39233,,26.45403,-92.34383
12/4/2019 9:36:00 AM,16.73,16.73,16.64,16.67,17.24048,17.37233,,25.31671,-86.81715
12/4/2019 9:37:00 AM,16.67,16.67,16.52,16.53,17.19,17.34884,,22.41131,-91.01366
12/4/2019 9:38:00 AM,16.53,16.61,16.48,16.61,17.1481,17.32791,,27.52941,-80.78111
