Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
10/9/2019 3:00:00 PM,28.41,28.54,27.83,27.85,,
10/9/2019 4:00:00 PM,27.86,28.54,27.52,28.42,,
10/10/2019 10:00:00 AM,28.47,28.57,27.27,27.3,,
10/10/2019 11:00:00 AM,27.3,27.53,26.94,26.98,,
10/10/2019 12:00:00 PM,26.97,27.24,26.83,27.17,,
10/10/2019 1:00:00 PM,27.17,27.64,27.08,27.2,,
10/10/2019 2:00:00 PM,27.2,27.53,27.06,27.13,,
10/10/2019 3:00:00 PM,27.13,27.83,26.99,27.52,,
10/10/2019 4:00:00 PM,27.54,27.55,27,27.04,,
10/11/2019 10:00:00 AM,25.7,25.71,25.06,25.21,,
10/11/2019 11:00:00 AM,25.2,25.2,24.8,24.96,,
10/11/2019 12:00:00 PM,24.97,25.3,24.8,25.21,,
10/11/2019 1:00:00 PM,25.2,25.92,25.04,25.06,,
10/11/2019 2:00:00 PM,25.05,25.21,24.62,24.64,,-111.2681
10/11/2019 3:00:00 PM,24.63,24.73,24.26,24.32,,-109.7652
10/11/2019 4:00:00 PM,24.32,24.86,24,24.6,25.6372,-91.49458
10/14/2019 10:00:00 AM,24.77,24.77,24.17,24.25,24.26593,-85.0395
10/14/2019 11:00:00 AM,24.25,24.34,23.98,24.01,23.34388,-91.08753
10/14/2019 12:00:00 PM,24.01,24.07,23.87,23.94,23.06856,-92.95644
10/14/2019 1:00:00 PM,23.95,24.03,23.75,23.77,22.37826,-95.18958
10/14/2019 2:00:00 PM,23.77,24,23.76,23.77,21.67962,-90.68869
10/14/2019 3:00:00 PM,23.77,23.86,23.69,23.7,21.38358,-93.81519
10/14/2019 4:00:00 PM,23.7,23.81,23.4,23.44,20.27611,-116.0753
10/15/2019 10:00:00 AM,22.69,22.73,22.2,22.43,16.66533,-204.7443
10/15/2019 11:00:00 AM,22.43,22.44,21.99,22.08,15.6268,-189.2787
10/15/2019 12:00:00 PM,22.09,22.23,22.01,22.14,16.58643,-157.3092
10/15/2019 1:00:00 PM,22.14,22.36,22.06,22.27,18.74291,-117.2126
10/15/2019 2:00:00 PM,22.27,22.33,22.14,22.24,18.62326,-93.87127
10/15/2019 3:00:00 PM,22.24,22.28,22.14,22.26,18.99454,-78.85629
10/15/2019 4:00:00 PM,22.27,22.5,22.11,22.48,23.14813,-58.23808
10/16/2019 10:00:00 AM,22.49,22.67,22.26,22.65,26.2932,-37.72672
10/16/2019 11:00:00 AM,22.67,22.77,22.07,22.1,23.01203,-49.98346
10/16/2019 12:00:00 PM,22.1,22.39,22,22.13,23.57226,-58.77105
10/16/2019 1:00:00 PM,22.13,22.32,22.02,22.25,25.89526,-53.0883
10/16/2019 2:00:00 PM,22.27,22.39,22.15,22.34,27.67091,-34.62092
10/16/2019 3:00:00 PM,22.34,22.38,22.06,22.07,25.68272,-60.66048
10/16/2019 4:00:00 PM,22.06,22.21,22.01,22.06,25.60933,-112.1324
10/17/2019 10:00:00 AM,21.59,21.88,21.45,21.48,21.73055,-332.205
10/17/2019 11:00:00 AM,21.49,21.77,21.37,21.66,25.50169,-216.8322
10/17/2019 12:00:00 PM,21.67,22.05,21.52,21.93,30.88131,-99.73891
10/17/2019 1:00:00 PM,21.93,22.08,21.6,21.61,28.27527,-97.79329
10/17/2019 2:00:00 PM,21.61,21.75,21.57,21.69,29.86866,-99.46962
10/17/2019 3:00:00 PM,21.69,21.84,21.47,21.51,28.34297,-94.65864
10/17/2019 4:00:00 PM,21.51,21.92,21.5,21.86,35.26698,-50.2685
10/18/2019 10:00:00 AM,22,22.02,21.52,21.57,32.46758,-55.46566
10/18/2019 11:00:00 AM,21.57,22.11,21.56,21.83,37.27483,-13.76342
10/18/2019 12:00:00 PM,21.83,22.19,21.62,22.18,43.14233,42.95129
10/18/2019 1:00:00 PM,22.18,22.6,21.93,21.97,40.6833,100.8836
10/18/2019 2:00:00 PM,21.98,21.99,21.66,21.66,37.30318,-23.20616
10/18/2019 3:00:00 PM,21.66,21.79,21.62,21.69,37.84142,-45.18374
10/18/2019 4:00:00 PM,21.69,21.8,21.49,21.78,39.51884,-44.31519
10/21/2019 10:00:00 AM,21.37,21.52,21.2,21.42,35.40327,-193.7343
10/21/2019 11:00:00 AM,21.42,21.45,21.06,21.08,32.01245,-224.0939
10/21/2019 12:00:00 PM,21.07,21.21,21.07,21.11,32.62564,-184.5801
10/21/2019 1:00:00 PM,21.13,21.27,21.01,21.07,32.20852,-140.2509
