Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
2/6/2018 12:00:00 AM,146.75,150.9,72.1,76.1,,
2/7/2018 12:00:00 AM,90.8,96.85,75.1,93.25,,
2/8/2018 12:00:00 AM,94.7,140.25,94.15,139.55,,
2/9/2018 12:00:00 AM,119,147.5,109.75,116.7,,
2/12/2018 12:00:00 AM,108.8,119.4,103.3,106.55,,
2/13/2018 12:00:00 AM,112.6,114.5,104.5,106.8,,
2/14/2018 12:00:00 AM,105.25,106.45,81.5,82.5,,
2/15/2018 12:00:00 AM,77.05,85.5,76.35,78.75,,
2/16/2018 12:00:00 AM,83.15,84.2,74.7,80.95,,
2/20/2018 12:00:00 AM,86.7,92.3,83.45,87.6,,
2/21/2018 12:00:00 AM,85.75,91.2,76.35,90.3,,
2/22/2018 12:00:00 AM,85.4,91.25,82.8,87.4,,
2/23/2018 12:00:00 AM,83.25,84.5,74.05,74.1,,
2/26/2018 12:00:00 AM,70.4,72.35,67.6,67.95,,-116.6964
2/27/2018 12:00:00 AM,70.25,82.3,68.5,80.8,,-71.07663
2/28/2018 12:00:00 AM,76.75,86,76.4,85.6,52.69427,-42.58982
3/1/2018 12:00:00 AM,85.15,100.3,84.15,94.2,55.05534,19.84288
3/2/2018 12:00:00 AM,101.3,104.45,87.5,88.75,53.24179,49.52015
3/5/2018 12:00:00 AM,91.3,91.3,81.7,82.7,51.22457,-3.487674
3/6/2018 12:00:00 AM,81.9,88.15,81.7,83.6,51.51884,7.987944
3/7/2018 12:00:00 AM,88.75,89.6,81.55,82.3,51.03984,14.13657
3/8/2018 12:00:00 AM,80.45,81.8,77.5,77.7,49.29337,-59.02454
3/9/2018 12:00:00 AM,75.7,75.75,68.35,68.35,45.85851,-139.6258
3/12/2018 12:00:00 AM,70.1,73.8,69.35,72.65,47.66467,-103.0387
3/13/2018 12:00:00 AM,70.8,76.5,69.8,74.85,48.60928,-71.79771
3/14/2018 12:00:00 AM,72.95,79,72.85,77.25,49.67636,-38.22505
3/15/2018 12:00:00 AM,75.65,78.4,72.55,73.7,48.08586,-50.71657
3/16/2018 12:00:00 AM,73.05,73.2,69.25,71.8,47.21455,-90.2275
3/19/2018 12:00:00 AM,74.25,87.2,73.85,82,52.21988,9.100211
