Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
5/5/2020 2:11:00 PM,42.72,42.78,42.72,42.72,,
5/5/2020 2:12:00 PM,42.72,42.77,42.72,42.74,,
5/5/2020 2:13:00 PM,42.74,42.74,42.66,42.68,,
5/5/2020 2:14:00 PM,42.71,42.73,42.69,42.7,,
5/5/2020 2:15:00 PM,42.7,42.74,42.64,42.7,,
5/5/2020 2:16:00 PM,42.7,42.79,42.7,42.75,,
5/5/2020 2:17:00 PM,42.76,42.76,42.68,42.68,,
5/5/2020 2:18:00 PM,42.67,42.69,42.63,42.69,,
5/5/2020 2:19:00 PM,42.68,42.72,42.68,42.71,,
5/5/2020 2:20:00 PM,42.72,42.72,42.63,42.69,,
5/5/2020 2:21:00 PM,42.68,42.72,42.66,42.71,,
5/5/2020 2:22:00 PM,42.71,42.76,42.71,42.75,,
5/5/2020 2:23:00 PM,42.73,42.77,42.73,42.76,,
5/5/2020 2:24:00 PM,42.76,42.76,42.66,42.66,,-52.91138
5/5/2020 2:25:00 PM,42.68,42.71,42.66,42.71,,-47.7135
5/5/2020 2:26:00 PM,42.71,42.72,42.71,42.71,48.97937,25.15461
5/5/2020 2:27:00 PM,42.71,42.75,42.71,42.71,48.97937,51.47196
5/5/2020 2:28:00 PM,42.72,42.73,42.7,42.72,49.55437,25.03049
5/5/2020 2:29:00 PM,42.72,42.72,42.64,42.65,45.67475,-118.9188
5/5/2020 2:30:00 PM,42.66,42.66,42.62,42.65,42.12323,-171.3247
5/5/2020 2:31:00 PM,42.65,42.68,42.64,42.68,44.12827,-86.48918
5/5/2020 2:32:00 PM,42.67,42.67,42.47,42.47,34.99006,-290.8178
5/5/2020 2:33:00 PM,42.47,42.52,42.42,42.46,34.62231,-256.6674
5/5/2020 2:34:00 PM,42.47,42.58,42.47,42.58,42.43906,-120.9404
5/5/2020 2:35:00 PM,42.58,42.64,42.57,42.6,43.64814,-49.84592
5/5/2020 2:36:00 PM,42.54,42.54,42.46,42.5,39.21235,-119.4108
5/5/2020 2:37:00 PM,42.52,42.57,42.5,42.57,43.53798,-65.75565
5/5/2020 2:38:00 PM,42.56,42.56,42.51,42.52,41.27849,-68.68938
5/5/2020 2:39:00 PM,42.52,42.53,42.49,42.51,40.82209,-74.32255
5/5/2020 2:40:00 PM,42.5,42.57,42.5,42.57,44.76735,-36.11783
5/5/2020 2:41:00 PM,42.55,42.62,42.55,42.61,47.29025,17.94824
5/5/2020 2:42:00 PM,42.59,42.59,42.5,42.52,42.57781,-35.41764
5/5/2020 2:43:00 PM,42.5,42.51,42.42,42.49,41.1074,-115.9462
5/5/2020 2:44:00 PM,42.49,42.52,42.45,42.45,39.16514,-109.3733
5/5/2020 2:45:00 PM,42.45,42.49,42.39,42.41,37.2688,-156.2377
5/5/2020 2:46:00 PM,42.43,42.43,42.39,42.39,36.32182,-156.4761
5/5/2020 2:47:00 PM,42.46,42.51,42.36,42.37,35.35438,-125.0572
5/5/2020 2:48:00 PM,42.37,42.37,42.22,42.25,30.16332,-212.4757
5/5/2020 2:49:00 PM,42.25,42.25,42.2,42.2,28.29886,-203.0542
