Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
5/7/2020 2:45:00 PM,41.38,41.74,41.3,41.65,,
5/7/2020 3:00:00 PM,41.63,41.83,41.39,41.39,,
5/7/2020 3:15:00 PM,41.41,41.81,41.35,41.57,,
5/7/2020 3:30:00 PM,41.57,41.92,41.36,41.41,,
5/7/2020 3:45:00 PM,41.41,41.85,41.37,41.65,,
5/7/2020 4:00:00 PM,41.65,41.68,41.28,41.28,,
5/8/2020 9:45:00 AM,39.44,39.9,39.17,39.43,,
5/8/2020 10:00:00 AM,39.42,39.42,38.97,39.02,,
5/8/2020 10:15:00 AM,39.02,39.17,38.85,39.06,,
5/8/2020 10:30:00 AM,39.05,39.15,38.92,39.1,,
5/8/2020 10:45:00 AM,39.11,39.28,38.89,39.23,,
5/8/2020 11:00:00 AM,39.24,39.27,38.99,39.03,,
5/8/2020 11:15:00 AM,39.02,39.22,38.88,38.95,,
5/8/2020 11:30:00 AM,38.95,38.96,38.5,38.52,,-81.40662
5/8/2020 11:45:00 AM,38.52,38.58,38.22,38.23,,-89.10801
5/8/2020 12:00:00 PM,38.24,38.29,37.98,38.07,13.01654,-95.92998
5/8/2020 12:15:00 PM,38.07,38.21,37.98,38.21,15.64426,-92.93646
5/8/2020 12:30:00 PM,38.2,38.29,38.03,38.05,15.08345,-97.13473
5/8/2020 12:45:00 PM,38.04,38.05,37.75,37.75,14.06532,-117.3051
5/8/2020 1:00:00 PM,37.75,37.82,37.62,37.64,13.70016,-123.7077
5/8/2020 1:15:00 PM,37.64,37.9,37.62,37.71,15.20876,-100.2809
5/8/2020 1:30:00 PM,37.71,37.99,37.71,37.98,20.94892,-70.89056
5/8/2020 1:45:00 PM,37.96,38.29,37.84,38.2,25.38158,-35.81172
5/8/2020 2:00:00 PM,38.2,38.51,38.13,38.31,27.56853,2.500453
5/8/2020 2:15:00 PM,38.31,38.46,38.08,38.1,26.00174,-4.735831
5/8/2020 2:30:00 PM,38.1,38.14,37.92,38.02,25.40932,-35.46786
5/8/2020 2:45:00 PM,38.02,38.12,37.87,38.02,24.8008,-29.84213
5/8/2020 3:00:00 PM,38.02,38.06,37.85,37.94,24.17722,-36.87914
5/8/2020 3:15:00 PM,37.95,37.97,37.69,37.81,23.15826,-78.77079
5/8/2020 3:30:00 PM,37.82,37.95,37.58,37.67,22.07903,-99.60342
5/8/2020 3:45:00 PM,37.67,37.79,37.25,37.29,19.43202,-174.686
5/8/2020 4:00:00 PM,37.29,37.36,37,37.02,17.79918,-218.3513
5/11/2020 9:45:00 AM,38.3,38.57,37.16,37.33,25.5359,-43.92148
5/11/2020 10:00:00 AM,37.3,37.63,37.11,37.59,31.37015,-100.6411
5/11/2020 10:15:00 AM,37.59,37.6,36.77,37.02,26.47313,-143.5736
5/11/2020 10:30:00 AM,37.02,37.32,36.79,36.82,24.99853,-139.0297
5/11/2020 10:45:00 AM,36.85,36.93,36.27,36.5,22.80935,-165.009
5/11/2020 11:00:00 AM,36.52,36.59,36.23,36.56,24.15062,-149.9028
5/11/2020 11:15:00 AM,36.53,36.58,36.18,36.2,21.71284,-138.0951
5/11/2020 11:30:00 AM,36.2,36.24,35.55,35.55,18.15039,-168.5224
5/11/2020 11:45:00 AM,35.55,35.61,35.3,35.48,17.81147,-162.5464
5/11/2020 12:00:00 PM,35.48,35.53,35.3,35.42,17.50966,-133.8258
5/11/2020 12:15:00 PM,35.43,35.46,35.18,35.18,16.31855,-123.4134
5/11/2020 12:30:00 PM,35.18,35.21,34.7,34.73,14.34773,-133.0346
5/11/2020 12:45:00 PM,34.73,34.74,33.94,34.18,12.37978,-146.327
5/11/2020 1:00:00 PM,34.19,34.47,34,34.12,12.18345,-126.0746
5/11/2020 1:15:00 PM,34.12,34.31,33.83,33.98,11.71656,-120.2914
5/11/2020 1:30:00 PM,33.98,34.02,33.74,33.8,11.12618,-118.4676
5/11/2020 1:45:00 PM,33.8,33.84,33.57,33.82,11.65883,-108.6668
5/11/2020 2:00:00 PM,33.83,33.84,33.6,33.78,11.51025,-93.88627
5/11/2020 2:15:00 PM,33.78,34.13,33.68,34.01,17.98258,-69.15396
5/11/2020 2:30:00 PM,34.04,34.12,33.73,34,17.92122,-59.9759
5/11/2020 2:45:00 PM,34,34.02,33.52,33.53,15.28133,-77.09861
5/11/2020 3:00:00 PM,33.53,33.66,33.23,33.39,14.59182,-101.2328
5/11/2020 3:15:00 PM,33.4,33.4,33.11,33.23,13.82411,-118.091
5/11/2020 3:30:00 PM,33.23,33.36,33.08,33.21,13.72689,-121.744
5/11/2020 3:45:00 PM,33.23,33.57,33.15,33.24,14.69606,-98.67008
5/11/2020 4:00:00 PM,33.24,33.58,33.18,33.33,17.68336,-80.97298
5/12/2020 9:45:00 AM,31.76,32.22,31.42,32.06,11.54134,-274.594
5/12/2020 10:00:00 AM,32.06,33.49,31.97,32.6,23.67966,-120.7973
5/12/2020 10:15:00 AM,32.59,33.26,32.43,32.95,30.35078,-76.9656
5/12/2020 10:30:00 AM,32.95,33.48,32.68,33.34,36.96279,-23.61777
5/12/2020 10:45:00 AM,33.34,33.51,32.87,33.1,34.77494,-18.6425
5/12/2020 11:00:00 AM,33.11,33.61,32.73,32.82,32.36784,-30.79554
5/12/2020 11:15:00 AM,32.82,32.97,32.38,32.47,29.60888,-96.86262
5/12/2020 11:30:00 AM,32.47,32.7,32.27,32.68,33.2834,-88.55069
5/12/2020 11:45:00 AM,32.67,33.15,32.55,33.13,40.45636,-4.688587
5/12/2020 12:00:00 PM,33.14,33.4,32.98,33.05,39.64039,43.83899
5/12/2020 12:15:00 PM,33.05,33.66,33.05,33.56,46.98164,99.50505
5/12/2020 12:30:00 PM,33.56,33.77,33.02,33.09,41.92141,69.48325
5/12/2020 12:45:00 PM,33.07,33.33,32.96,33.25,44.12761,49.03875
5/12/2020 1:00:00 PM,33.25,33.48,33.14,33.21,43.68087,72.56556
