Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14,Volume 
29/01/2013 9:31:00 AM,11.46,11.47,11.42,11.45,,,379800
29/01/2013 9:32:00 AM,11.44,11.5,11.44,11.48,,,64600
29/01/2013 9:33:00 AM,11.49,11.5,11.41,11.42,,,102700
29/01/2013 9:34:00 AM,11.42,11.43,11.32,11.32,,,46300
29/01/2013 9:35:00 AM,11.33,11.42,11.32,11.38,,,106300
29/01/2013 9:36:00 AM,11.37,11.4,11.34,11.37,,,39200
29/01/2013 9:37:00 AM,11.37,11.38,11.34,11.37,,,43100
29/01/2013 9:38:00 AM,11.38,11.45,11.38,11.44,,,74100
29/01/2013 9:39:00 AM,11.45,11.45,11.43,11.44,,,27000
29/01/2013 9:40:00 AM,11.44,11.46,11.43,11.44,,,30300
29/01/2013 9:41:00 AM,11.43,11.46,11.42,11.42,,,30500
29/01/2013 9:42:00 AM,11.43,11.46,11.42,11.45,,,70000
29/01/2013 9:43:00 AM,11.45,11.46,11.42,11.44,,,89100
29/01/2013 9:44:00 AM,11.44,11.49,11.41,11.49,,84.49128,67100
29/01/2013 9:45:00 AM,11.48,11.5,11.45,11.46,,91.81168,46400
29/01/2013 9:46:00 AM,11.45,11.46,11.42,11.43,48.00005,31.9766,47500
29/01/2013 9:47:00 AM,11.43,11.43,11.4,11.43,48.00005,0.5157826,33000
29/01/2013 9:48:00 AM,11.43,11.43,11.34,11.34,43.61606,-114.385,70900
29/01/2013 9:49:00 AM,11.34,11.37,11.34,11.37,45.40597,-129.2861,49900
29/01/2013 9:50:00 AM,11.36,11.36,11.32,11.34,43.90499,-152.743,26800
29/01/2013 9:51:00 AM,11.34,11.34,11.24,11.26,40.09832,-207.1172,175000
29/01/2013 9:52:00 AM,11.25,11.29,11.24,11.24,39.18364,-170.2903,42900
29/01/2013 9:53:00 AM,11.24,11.24,11.18,11.2,37.34869,-169.6751,69400
29/01/2013 9:54:00 AM,11.2,11.22,11.19,11.2,35.55556,-138.2195,53500
29/01/2013 9:55:00 AM,11.19,11.2,11.17,11.19,35.10182,-122.3425,40900
29/01/2013 9:56:00 AM,11.19,11.19,11.17,11.18,34.62601,-105.1171,32600
29/01/2013 9:57:00 AM,11.17,11.26,11.17,11.25,40.68736,-61.95267,65500
29/01/2013 9:58:00 AM,11.22,11.27,11.2,11.26,41.52153,-42.59086,28700
29/01/2013 9:59:00 AM,11.27,11.34,11.26,11.3,44.86193,12.46514,86700
29/01/2013 10:00:00 AM,11.3,11.31,11.21,11.24,41.07203,-21.70591,64100
29/01/2013 10:01:00 AM,11.24,11.38,11.24,11.3,45.98608,52.93356,107300
29/01/2013 10:02:00 AM,11.3,11.36,11.28,11.34,49.03721,88.43799,82300
29/01/2013 10:03:00 AM,11.34,11.37,11.3,11.37,51.26091,119.8375,60300
29/01/2013 10:04:00 AM,11.37,11.44,11.36,11.43,55.44799,179.9913,95700
29/01/2013 10:05:00 AM,11.44,11.44,11.37,11.41,53.78917,137.7542,68600
29/01/2013 10:06:00 AM,11.42,11.44,11.38,11.43,55.23152,119.7369,77300
29/01/2013 10:07:00 AM,11.43,11.49,11.43,11.49,59.33231,140.8769,138100
29/01/2013 10:08:00 AM,11.49,11.54,11.49,11.53,61.84177,148.9042,152100
29/01/2013 10:09:00 AM,11.54,11.62,11.52,11.52,60.83124,142.6964,218500
29/01/2013 10:10:00 AM,11.52,11.54,11.51,11.53,61.50859,105.983,50900
29/01/2013 10:11:00 AM,11.54,11.54,11.45,11.45,53.53233,63.7863,98100
29/01/2013 10:12:00 AM,11.45,11.46,11.42,11.44,52.61385,25.44693,51900
29/01/2013 10:13:00 AM,11.44,11.44,11.41,11.42,50.7389,3.28615,24900
29/01/2013 10:14:00 AM,11.42,11.42,11.41,11.42,48.86366,-17.49932,16200
