Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 20,Volume ,,Open-Change,Open-High-Highest,Open-Low-Lowest
10/4/2011 0:00,2427,2448,2058,2058,,,100,,,,
10/5/2011 0:00,1974.6,1989,1813.8,1813.8,,,0,,(4.05),,
10/6/2011 0:00,1811.4,1878,1740,1740,,,500,,(0.13),,
10/7/2011 0:00,1705.8,1857.6,1684.8,1765.2,,,200,,(1.97),,
10/10/2011 0:00,1654.8,1656,1559.4,1559.4,,,400,,(6.25),,-5.77
10/11/2011 0:00,1570.2,1572.6,1491,1506,,,200,,0.69 ,,
10/12/2011 0:00,1394.4,1394.4,1248.6,1287.6,,,300,,(7.41),,-10.46
10/13/2011 0:00,1332,1402.2,1296.6,1296.6,,,100,,3.45 ,,
10/14/2011 0:00,1173.6,1241.4,1148.4,1168.8,,,200,,(9.49),,-2.15
10/17/2011 0:00,1157.4,1395,1157.4,1395,,,700,,(0.98),,
10/18/2011 0:00,1384.8,1477.2,1191,1302,,,900,,(0.73),,
10/19/2011 0:00,1260,1483.2,1236,1446.6,,,500,,(3.23),,
10/20/2011 0:00,1465.2,1567.8,1428,1449,,,600,,1.29 ,,
10/21/2011 0:00,1352.4,1401,1302,1302,,,500,,(6.67),,-3.73
10/24/2011 0:00,1270.2,1270.2,1138.2,1143.6,,,800,,(2.44),,
10/25/2011 0:00,1174.2,1311,1174.2,1293,29.63909,,800,,2.68 ,,
10/26/2011 0:00,1189.8,1374.6,1177.2,1190.4,27.99267,,600,,(7.98),,-1.06
10/27/2011 0:00,943.8,991.8,856.2,873,23.62123,,2400,,(20.72),,-9.28
10/28/2011 0:00,904.8,918.6,846.6,857.4,23.42759,,1200,,3.64 ,,
10/31/2011 0:00,938.4,1039.8,923.4,1039.8,30.59231,-106.6522,2700,,9.45 ,10.81,
11/1/2011 0:00,1356,1408.8,1261.8,1344.6,40.59516,-4.406388,5100,,30.41 ,3.89,
11/2/2011 0:00,1248,1351.8,1232.4,1261.8,38.95285,-16.07304,2800,,(7.18),,-1.25
11/3/2011 0:00,1188.6,1341.6,1132.2,1143,36.66115,-39.0534,3700,,(5.80),,-4.75
11/4/2011 0:00,1201.2,1271.4,1152.6,1186.2,38.08757,-31.03669,1700,,5.09 ,5.84,
11/7/2011 0:00,1199.4,1260,1164,1164.6,37.63124,-26.95197,2200,,1.11 ,,
11/8/2011 0:00,1132.8,1196.4,1050,1054.8,35.31496,-71.14758,2200,,(2.73),,
11/9/2011 0:00,1212.6,1461,1197,1445.4,47.65765,79.84368,6900,,14.96 ,20.48,
11/10/2011 0:00,1275,1425,1254,1262.4,43.47239,50.19168,4200,,(11.79),,-1.65
11/11/2011 0:00,1168.8,1170.6,1128,1157.4,41.23481,-40.22335,1900,,(7.41),,-3.49
11/14/2011 0:00,1191.6,1258.8,1186.8,1212.6,42.89877,0.2149628,1200,,2.95 ,,
11/15/2011 0:00,1256.4,1279.2,1169.4,1189.2,42.35131,-0.5401393,3200,,3.61 ,,
11/16/2011 0:00,1263.6,1320.6,1176,1304.4,46.00461,38.09284,9300,,6.26 ,4.51,
11/17/2011 0:00,1324.2,1479,1300.8,1428.6,49.70521,131.6283,5500,,1.52 ,,
11/18/2011 0:00,1347,1426.8,1330.8,1330.8,46.97507,103.16,4300,,(5.71),,-1.20
11/21/2011 0:00,1472.4,1476.6,1347.6,1363.8,48.0127,110.7533,5200,,10.64 ,0.29,
11/22/2011 0:00,1378.2,1405.2,1299.6,1306.8,46.3264,70.03935,3000,,1.06 ,,
11/23/2011 0:00,1369.2,1430.4,1350.6,1424.4,50.21169,97.16127,4300,,4.78 ,,
11/25/2011 0:00,1434,1471.2,1378.8,1461,51.39102,109.4454,1800,,0.67 ,,
11/28/2011 0:00,1266.6,1350,1244.4,1321.8,46.8461,21.96894,3300,,(13.31),,-1.75
11/29/2011 0:00,1296.6,1322.4,1240.2,1266,45.12336,-10.92887,3000,,(1.91),,
11/30/2011 0:00,1095.6,1114.2,1036.2,1041.6,38.92412,-164.4761,3400,,(13.46),,-5.42
12/1/2011 0:00,1050,1054.8,980.4,994.2,37.74453,-169.4258,1300,,0.81 ,,
12/2/2011 0:00,936.6,993,904.2,988.2,37.58924,-170.4527,4800,,(5.79),,-3.46
12/5/2011 0:00,907.2,1006.2,904.8,985.2,37.50616,-144.4533,3700,,(8.20),,-0.26
12/6/2011 0:00,985.2,997.8,951,976.2,37.24021,-121.6931,3700,,0.00 ,,
12/7/2011 0:00,1005,1083,1004.4,1038,40.36705,-85.92993,4100,,2.95 ,,
12/8/2011 0:00,1095.6,1149.6,1080,1134,44.95491,-42.88851,4000,,5.55 ,4.93,
12/9/2011 0:00,1102.8,1105.2,972.6,976.8,39.58442,-81.46052,3000,,(2.75),,
12/12/2011 0:00,1012.2,1050,979.2,979.2,39.70285,-80.55717,2200,,3.62 ,,
12/13/2011 0:00,940.2,1009.8,898.8,971.4,39.4323,-87.81259,5000,,(3.98),,
12/14/2011 0:00,968.4,1016.4,943.8,975,39.63676,-72.52764,5000,,(0.31),,
12/15/2011 0:00,907.2,927,879,902.4,36.92942,-92.60021,4500,,(6.95),,-3.11
12/16/2011 0:00,843,914.4,843,892.2,36.55167,-94.13654,5000,,(6.58),,
12/19/2011 0:00,873,888,837,872.4,35.78644,-95.07585,4500,,(2.15),,
12/20/2011 0:00,796.2,796.2,765,765.6,31.90624,-128.7874,4400,,(8.73),,-3.92
12/21/2011 0:00,750.6,772.8,662.4,664.8,28.73899,-155.8791,5700,,(1.96),,
12/22/2011 0:00,635.4,678,610.2,664.2,28.72072,-173.2499,3200,,(4.42),,
12/23/2011 0:00,645.6,709.2,643.8,696,31.21729,-147.5559,2900,,(2.80),,
12/27/2011 0:00,690,694.8,669.6,688.2,30.93112,-127.673,1700,,(0.86),,
12/28/2011 0:00,679.8,747,679.8,742.8,35.39568,-95.63197,3600,,(1.22),,
12/29/2011 0:00,733.2,734.4,705,707.4,33.86716,-88.22962,2100,,(1.29),,
12/30/2011 0:00,707.4,730.2,702,729.6,35.74123,-76.0078,1800,,0.00 ,,
1/3/2012 0:00,662.4,670.2,645,652.8,32.32817,-96.26965,3800,,(9.21),,-2.63
1/4/2012 0:00,671.4,682.2,625.8,627.6,31.2729,-90.62372,4900,,2.85 ,,
1/5/2012 0:00,644.4,657,597,598.8,30.06502,-93.85502,7000,,2.68 ,,
1/6/2012 0:00,588.6,612,567.6,579.6,29.25381,-100.8265,5600,,(1.70),,
1/9/2012 0:00,568.8,578.4,556.2,562.2,28.50324,-107.0402,3700,,(1.86),,
1/10/2012 0:00,528,544.8,517.8,538.8,27.48203,-118.8441,5100,,(6.08),,-1.93
1/11/2012 0:00,547.8,559.2,544.8,554.4,29.3006,-106.2426,4300,,1.67 ,,
1/12/2012 0:00,550.2,590.4,538.8,540,28.58793,-98.94295,7000,,(0.76),,
1/13/2012 0:00,566.4,601.2,564,568.8,32.14278,-79.33467,12600,,4.89 ,,
1/17/2012 0:00,532.2,566.4,514.8,560.4,31.64795,-96.5836,8100,,(6.43),,-3.27
1/18/2012 0:00,553.2,565.8,518.4,520.8,29.35366,-100.2707,11800,,(1.28),,
1/19/2012 0:00,505.8,516.6,489.6,491.4,27.74549,-122.6161,12300,,(2.88),,
1/20/2012 0:00,496.2,500.4,459.6,462.6,26.22953,-133.6063,13100,,0.98 ,,
1/23/2012 0:00,460.2,465.6,432,438,24.97431,-144.0045,13600,,(0.52),,
1/24/2012 0:00,459.6,463.2,436.8,441,25.4429,-127.4924,12900,,4.93 ,,
1/25/2012 0:00,441,452.4,401.4,404.4,23.51343,-138.3105,21000,,0.00 ,,
1/26/2012 0:00,387,416.4,384.6,404.4,21.73811,-139.8216,13900,,(4.30),,
1/27/2012 0:00,415.8,418.2,383.4,387.6,20.95597,-131.7903,12600,,2.82 ,,
1/30/2012 0:00,415.8,421.2,399.6,410.4,24.90492,-106.9733,12600,,7.28 ,1.30,
1/31/2012 0:00,391.8,418.2,388.8,409.8,24.86971,-99.53848,8300,,(4.53),,
2/1/2012 0:00,393,399,376.8,388.2,23.57736,-104.6128,10800,,(4.10),,
2/2/2012 0:00,373.8,378,364.2,364.8,22.22966,-110.6714,12000,,(3.71),,
2/3/2012 0:00,334.2,340.8,326.4,326.4,20.19011,-132.8338,15200,,(8.39),,-2.33
2/6/2012 0:00,331.2,333,318,318.6,19.79287,-127.2201,7400,,1.47 ,,
2/7/2012 0:00,320.4,332.4,317.4,323.4,20.82524,-116.4416,9500,,0.56 ,,
2/8/2012 0:00,323.4,342.6,320.4,338.4,24.11247,-97.80738,11200,,0.00 ,,
2/9/2012 0:00,342,372.6,336.6,372,31.0211,-67.17078,15700,,1.06 ,,
2/10/2012 0:00,411.6,481.2,403.8,435.6,41.81829,21.00444,28000,,10.65 ,16.91,
2/13/2012 0:00,388.8,400.2,369,369.6,35.59214,-41.37858,16600,,(10.74),,-5.09
2/14/2012 0:00,381,437.4,379.8,391.8,38.88803,-2.05927,29300,,3.08 ,,
2/15/2012 0:00,398.4,442.2,397.8,436.2,44.95494,46.07942,44700,,1.68 ,,
2/16/2012 0:00,454.8,471,397.8,400.8,41.42394,53.43435,41000,,4.26 ,,
2/17/2012 0:00,400.8,400.8,400.8,400.8,38.19328,19.48589,0,,0.00 ,,
2/21/2012 0:00,380.4,400.8,378,388.8,37.13597,1.336844,28400,,(5.09),,-0.63
2/22/2012 0:00,394.2,397.2,366,367.8,35.2946,-19.13538,38900,,1.39 ,,
2/23/2012 0:00,368.4,375,316.2,321.6,31.58417,-98.80844,84800,,0.16 ,,
2/24/2012 0:00,312.6,346.8,307.8,343.8,35.11407,-96.68224,91900,,(2.80),,
2/27/2012 0:00,367.8,370.2,328.2,349.2,35.97934,-54.99154,113900,,6.98 ,0.65,
2/28/2012 0:00,357.6,359.4,339,341.4,35.24816,-54.31229,69100,,2.41 ,,
2/29/2012 0:00,330,345.6,317.4,329.4,34.10002,-79.88488,156400,,(3.34),,
3/1/2012 0:00,326.4,328.8,312.6,317.4,32.94437,-93.17889,110900,,(0.91),,
3/2/2012 0:00,316.2,327,310.8,322.2,33.90922,-83.33333,90600,,(0.38),,
3/5/2012 0:00,327,332.4,316.2,319.2,33.58397,-76.60128,137100,,1.49 ,,
3/6/2012 0:00,359.4,373.8,346.2,367.8,43.10479,-2.732902,214800,,12.59 ,4.01,
3/7/2012 0:00,358.2,363,330.6,332.4,38.74768,-47.56546,168600,,(2.61),,
3/8/2012 0:00,312.8,316.9,301,305.1,35.74676,-112.7214,239900,,(5.90),,-3.77
3/9/2012 0:00,295.7,297.4,280.5,292.9,34.46226,-128.8118,349600,,(3.08),,
3/12/2012 0:00,285,286,263.9,265.9,31.74367,-152.582,379000,,(2.70),,
3/13/2012 0:00,250.6,254.3,237.4,241.7,29.4976,-179.1666,493800,,(5.75),,-5.27
3/14/2012 0:00,237.8,269.6,236.9,256.9,32.71777,-145.7063,412600,,(1.61),,
3/15/2012 0:00,262.4,266.7,248.6,248.6,31.86198,-132.2573,377900,,2.14 ,,
3/16/2012 0:00,245,254.3,243.9,247.7,31.76496,-128.9782,292500,,(1.45),,
3/19/2012 0:00,244.2,246.5,214.5,218.5,28.71025,-144.1198,555700,,(1.41),,
3/20/2012 0:00,227.3,230.9,197.2,197.4,26.7113,-149.127,568600,,4.03 ,,
3/21/2012 0:00,189.2,195,173.4,178,24.9886,-162.8898,570000,,(4.15),,
3/22/2012 0:00,192.6,199.4,177.8,181.7,25.96925,-134.8973,550900,,8.20 ,3.53,
3/23/2012 0:00,180,185.6,155.4,156.6,23.70521,-141.0716,575900,,(0.94),,
3/26/2012 0:00,144.9,145,126,127.5,21.37818,-159.9023,375600,,(7.47),,-13.04
3/27/2012 0:00,131.4,153.4,130.4,152.8,27.99615,-130.2637,410800,,3.06 ,,
3/28/2012 0:00,152.2,182,147.5,154.6,28.45755,-100.0815,696900,,(0.39),,
3/29/2012 0:00,173.9,173.9,150.2,153.8,28.37054,-91.09006,529900,,12.48 ,,
3/30/2012 0:00,140.7,152.8,140,145.6,27.44423,-95.15342,384200,,(8.52),,-0.50
4/2/2012 0:00,147.3,148.4,135,145.2,27.39723,-89.65974,421900,,1.17 ,,
4/3/2012 0:00,143.8,158.7,141.4,150.2,29.03302,-75.15369,544400,,(0.96),,
4/4/2012 0:00,164.7,172.4,154,157,31.30004,-55.78269,714800,,9.65 ,4.68,
4/5/2012 0:00,164.6,166.4,155.5,163.6,33.51982,-49.69144,500400,,4.84 ,,
4/9/2012 0:00,183.9,185,170.9,184.4,40.08973,-15.83249,553800,,12.41 ,0.60,
4/10/2012 0:00,186.6,215,181.1,214.2,48.01608,34.51336,730700,,1.19 ,,
4/11/2012 0:00,192.5,206.6,188.3,204,45.78329,34.16104,458500,,(10.13),,-2.18
4/12/2012 0:00,199.7,201,167.7,169,39.06971,-1.398908,663500,,(2.11),,
4/13/2012 0:00,166.5,186.4,166.4,185.9,43.38659,10.039,652600,,(1.48),,
