Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 20,Volume 
11/15/2012 10:00,29.38,29.74,28.37,29.58,,,1355300
11/15/2012 11:00,29.69,29.98,28.75,29.41,,,1430300
11/15/2012 12:00,29.45,31.12,29.37,30.92,,,1613200
11/15/2012 13:00,30.92,31.93,30.65,31.3,,,1460700
11/15/2012 14:00,31.29,31.49,29.72,30,,,1241300
11/15/2012 15:00,30.01,31.05,29.96,30.75,,,1380100
11/15/2012 16:00,30.8,31.68,29.65,30.07,,,2309800
11/16/2012 10:00,29.28,30.55,29.1,30.38,,,1188300
11/16/2012 11:00,30.42,31.24,29.82,30.7,,,1614100
11/16/2012 12:00,30.7,31.48,28.55,28.69,,,2350300
11/16/2012 13:00,28.65,28.66,27.43,28.38,,,1742900
11/16/2012 14:00,28.43,29.03,28.08,28.16,,,974400
11/16/2012 15:00,28.18,29.16,27.73,27.86,,,1146200
11/16/2012 16:00,27.84,28.06,27.22,27.37,,,1755900
11/19/2012 10:00,25.37,25.45,23.92,24.17,,,2649300
11/19/2012 11:00,24.19,24.42,23.86,24.1,27.20466,,1690800
11/19/2012 12:00,24.1,24.18,23.86,23.94,26.82019,,1298600
11/19/2012 13:00,23.94,23.94,23.36,23.55,25.86081,,1134700
11/19/2012 14:00,23.55,23.86,23.4,23.62,26.36992,,941500
11/19/2012 15:00,23.6,23.61,23.08,23.12,25.04691,-125.6621,1226900
11/19/2012 16:00,23.14,23.23,22.62,22.69,23.93474,-116.6803,1345100
11/20/2012 10:00,22.05,22.73,21.97,22.19,22.674,-111.5051,1460800
11/20/2012 11:00,22.19,22.34,21.94,22.33,23.88298,-99.87553,1446000
11/20/2012 12:00,22.31,22.58,21.74,21.8,22.45184,-92.98343,1077300
11/20/2012 13:00,21.79,22.15,21.72,21.93,23.66021,-86.85983,934600
11/20/2012 14:00,21.93,22.78,21.93,22.43,28.28855,-71.39141,1704000
11/20/2012 15:00,22.44,22.58,21.92,22.12,27.18796,-70.97996,793900
11/20/2012 16:00,22.08,22.13,21.66,21.77,25.95992,-76.68871,882200
11/21/2012 10:00,21.61,21.8,20.92,21.42,24.75573,-89.07904,1057500
11/21/2012 11:00,21.39,21.79,21.38,21.62,26.84402,-80.65355,1319300
11/21/2012 12:00,21.6,21.88,21.37,21.63,26.95316,-76.51173,597900
11/21/2012 13:00,21.65,21.74,21.48,21.62,26.90993,-74.17173,421100
11/21/2012 14:00,21.6,22.04,21.59,21.87,29.93632,-60.44718,382100
11/21/2012 15:00,21.86,22.04,21.76,22.02,31.76202,-49.29668,334700
11/21/2012 16:00,22.02,22.45,21.99,22.04,32.01639,-25.74972,951700
11/23/2012 10:00,20.96,21.41,20.86,21.33,28.0228,-118.8218,746100
11/23/2012 11:00,21.32,21.37,21.01,21.12,26.95196,-121.1987,1023400
11/23/2012 12:00,21.13,21.29,21.04,21.24,28.63027,-113.4514,525700
11/23/2012 13:00,21.23,21.3,20.18,20.18,23.49512,-188.725,1387700
11/26/2012 10:00,20.91,21.17,20.44,20.45,27.0827,-151.8266,906000
11/26/2012 11:00,20.44,20.55,19.79,20.3,26.3436,-191.4005,1580700
11/26/2012 12:00,20.29,20.77,20.23,20.23,25.98718,-138.945,1167300
11/26/2012 13:00,20.26,20.6,20,20.09,25.25135,-138.9185,948700
11/26/2012 14:00,20.09,20.32,19.86,20.1,25.41381,-133.8453,947100
11/26/2012 15:00,20.13,20.32,19.99,20.2,27.11963,-110.9825,489600
11/26/2012 16:00,20.19,20.32,19.77,19.82,24.79865,-116.1856,1248700
